,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
0,0,イントロダクション,名詞,一般,*,*,イントロダクション,38
1,0,本科,名詞,一般,*,*,本科,38
2,0,目,名詞,接尾,一般,*,目,51
4,0,目的,名詞,一般,*,*,目的,38
6,0,理解,名詞,サ変接続,*,*,理解,36
9,0,安全,名詞,形容動詞語幹,*,*,安全,40
11,0,大学,名詞,一般,*,*,大学,38
13,0,廃棄物,名詞,固有名詞,一般,*,廃棄物,41
15,0,種類,名詞,一般,*,*,種類,38
17,0,処理,名詞,サ変接続,*,*,処理,36
18,0,廃棄,名詞,サ変接続,*,*,廃棄,36
19,0,物,名詞,接尾,一般,*,物,51
21,0,種類,名詞,一般,*,*,種類,38
23,0,処理,名詞,サ変接続,*,*,処理,36
25,0,大学,名詞,一般,*,*,大学,38
26,0,規則,名詞,一般,*,*,規則,38
28,0,学習,名詞,サ変接続,*,*,学習,36
31,0,安全,名詞,形容動詞語幹,*,*,安全,40
35,0,直接,名詞,副詞可能,*,*,直接,67
36,0,関連,名詞,サ変接続,*,*,関連,36
38,0,安全,名詞,形容動詞語幹,*,*,安全,40
39,0,管理,名詞,サ変接続,*,*,管理,36
40,0,野外,名詞,一般,*,*,野外,38
41,0,実習,名詞,サ変接続,*,*,実習,36
43,0,化学実験,名詞,固有名詞,一般,*,化学実験,41
45,0,高圧,名詞,一般,*,*,高圧,38
47,0,高温,名詞,一般,*,*,高温,38
50,0,電圧,名詞,一般,*,*,電圧,38
51,0,等,名詞,接尾,一般,*,等,51
53,0,安全,名詞,形容動詞語幹,*,*,安全,40
54,0,管理,名詞,サ変接続,*,*,管理,36
56,0,学習,名詞,サ変接続,*,*,学習,36
59,0,データ,名詞,一般,*,*,データ,38
60,0,解析,名詞,サ変接続,*,*,解析,36
62,0,正規分布,名詞,固有名詞,一般,*,正規分布,41
63,0,正規分布,名詞,固有名詞,一般,*,正規分布,41
65,0,基礎,名詞,一般,*,*,基礎,38
67,0,簡単,名詞,形容動詞語幹,*,*,簡単,40
69,0,応用,名詞,サ変接続,*,*,応用,36
71,0,学習,名詞,サ変接続,*,*,学習,36
74,0,データ,名詞,一般,*,*,データ,38
75,0,解析,名詞,サ変接続,*,*,解析,36
77,0,最小二乗法,名詞,固有名詞,一般,*,最小二乗法,41
79,0,主成分分析,名詞,固有名詞,一般,*,主成分分析,41
80,0,実験,名詞,サ変接続,*,*,実験,36
82,0,観測,名詞,サ変接続,*,*,観測,36
83,0,データ,名詞,一般,*,*,データ,38
85,0,最小二乗法,名詞,固有名詞,一般,*,最小二乗法,41
87,0,主成分分析,名詞,固有名詞,一般,*,主成分分析,41
89,0,適用,名詞,サ変接続,*,*,適用,36
91,0,方法,名詞,一般,*,*,方法,38
93,0,学習,名詞,サ変接続,*,*,学習,36
96,0,データ,名詞,一般,*,*,データ,38
97,0,解析,名詞,サ変接続,*,*,解析,36
99,0,フーリエ,名詞,固有名詞,人名,姓,フーリエ,43
100,0,展開,名詞,サ変接続,*,*,展開,36
101,0,実験,名詞,サ変接続,*,*,実験,36
103,0,観測,名詞,サ変接続,*,*,観測,36
104,0,データ,名詞,一般,*,*,データ,38
106,0,フーリエ,名詞,一般,*,*,フーリエ,38
107,0,展開,名詞,サ変接続,*,*,展開,36
109,0,適用,名詞,サ変接続,*,*,適用,36
111,0,方法,名詞,一般,*,*,方法,38
113,0,学習,名詞,サ変接続,*,*,学習,36
116,0,データ,名詞,一般,*,*,データ,38
117,0,解析,名詞,サ変接続,*,*,解析,36
119,0,多項式,名詞,一般,*,*,多項式,38
120,0,近似,名詞,サ変接続,*,*,近似,36
122,0,AIC,名詞,固有名詞,組織,*,AIC,45
123,0,実験,名詞,サ変接続,*,*,実験,36
125,0,観測,名詞,サ変接続,*,*,観測,36
126,0,データ,名詞,一般,*,*,データ,38
128,0,多項式,名詞,一般,*,*,多項式,38
129,0,近似,名詞,サ変接続,*,*,近似,36
131,0,適用,名詞,サ変接続,*,*,適用,36
133,0,方法,名詞,一般,*,*,方法,38
136,0,最適,名詞,一般,*,*,最適,38
137,0,次数,名詞,一般,*,*,次数,38
139,0,推定,名詞,サ変接続,*,*,推定,36
140,0,法,名詞,接尾,一般,*,法,51
142,0,学習,名詞,サ変接続,*,*,学習,36
145,0,データ,名詞,一般,*,*,データ,38
146,0,解析,名詞,サ変接続,*,*,解析,36
148,0,フィッシャー,名詞,固有名詞,人名,姓,フィッシャー,43
149,0,統計,名詞,サ変接続,*,*,統計,36
150,0,方位,名詞,一般,*,*,方位,38
151,0,データ,名詞,一般,*,*,データ,38
153,0,基礎的,名詞,固有名詞,一般,*,基礎的,41
154,0,解析,名詞,サ変接続,*,*,解析,36
155,0,方法,名詞,一般,*,*,方法,38
157,0,学習,名詞,サ変接続,*,*,学習,36
160,0,安全,名詞,形容動詞語幹,*,*,安全,40
161,0,管理,名詞,サ変接続,*,*,管理,36
163,0,総論,名詞,一般,*,*,総論,38
164,0,本科,名詞,一般,*,*,本科,38
165,0,目,名詞,接尾,一般,*,目,51
167,0,目的,名詞,一般,*,*,目的,38
169,0,理解,名詞,サ変接続,*,*,理解,36
172,0,安全,名詞,形容動詞語幹,*,*,安全,40
173,0,管理,名詞,サ変接続,*,*,管理,36
175,0,廃棄物,名詞,固有名詞,一般,*,廃棄物,41
177,0,処理,名詞,サ変接続,*,*,処理,36
178,0,廃棄,名詞,サ変接続,*,*,廃棄,36
179,0,物,名詞,接尾,一般,*,物,51
181,0,種類,名詞,一般,*,*,種類,38
183,0,処理,名詞,サ変接続,*,*,処理,36
185,0,大学,名詞,一般,*,*,大学,38
186,0,規則,名詞,一般,*,*,規則,38
188,0,学習,名詞,サ変接続,*,*,学習,36
191,0,安全,名詞,形容動詞語幹,*,*,安全,40
192,0,管理,名詞,サ変接続,*,*,管理,36
194,0,実験,名詞,サ変接続,*,*,実験,36
196,0,リスク,名詞,一般,*,*,リスク,38
197,0,野外,名詞,一般,*,*,野外,38
198,0,実習,名詞,サ変接続,*,*,実習,36
200,0,化学実験,名詞,固有名詞,一般,*,化学実験,41
202,0,高圧,名詞,一般,*,*,高圧,38
204,0,高温,名詞,一般,*,*,高温,38
207,0,電圧,名詞,一般,*,*,電圧,38
208,0,等,名詞,接尾,一般,*,等,51
210,0,安全,名詞,形容動詞語幹,*,*,安全,40
211,0,管理,名詞,サ変接続,*,*,管理,36
213,0,学習,名詞,サ変接続,*,*,学習,36
216,0,データ,名詞,一般,*,*,データ,38
217,0,解析,名詞,サ変接続,*,*,解析,36
219,0,正規分布,名詞,固有名詞,一般,*,正規分布,41
220,0,正規分布,名詞,固有名詞,一般,*,正規分布,41
222,0,基礎,名詞,一般,*,*,基礎,38
224,0,簡単,名詞,形容動詞語幹,*,*,簡単,40
226,0,応用,名詞,サ変接続,*,*,応用,36
228,0,学習,名詞,サ変接続,*,*,学習,36
231,0,データ,名詞,一般,*,*,データ,38
232,0,解析,名詞,サ変接続,*,*,解析,36
234,0,誤差,名詞,一般,*,*,誤差,38
235,0,実験,名詞,サ変接続,*,*,実験,36
237,0,観測,名詞,サ変接続,*,*,観測,36
238,0,データ,名詞,一般,*,*,データ,38
240,0,誤差,名詞,一般,*,*,誤差,38
242,0,種類,名詞,一般,*,*,種類,38
244,0,誤差,名詞,一般,*,*,誤差,38
246,0,伝播,名詞,サ変接続,*,*,伝播,36
248,0,学習,名詞,サ変接続,*,*,学習,36
251,0,データ,名詞,一般,*,*,データ,38
252,0,解析,名詞,サ変接続,*,*,解析,36
254,0,最小二乗法,名詞,固有名詞,一般,*,最小二乗法,41
255,0,実験,名詞,サ変接続,*,*,実験,36
257,0,観測,名詞,サ変接続,*,*,観測,36
258,0,データ,名詞,一般,*,*,データ,38
260,0,最小二乗法,名詞,固有名詞,一般,*,最小二乗法,41
262,0,適用,名詞,サ変接続,*,*,適用,36
264,0,方法,名詞,一般,*,*,方法,38
266,0,学習,名詞,サ変接続,*,*,学習,36
269,0,データ,名詞,一般,*,*,データ,38
270,0,解析,名詞,サ変接続,*,*,解析,36
272,0,主成分分析,名詞,固有名詞,一般,*,主成分分析,41
273,0,実験,名詞,サ変接続,*,*,実験,36
275,0,観測,名詞,サ変接続,*,*,観測,36
276,0,データ,名詞,一般,*,*,データ,38
278,0,主成分分析,名詞,固有名詞,一般,*,主成分分析,41
280,0,適用,名詞,サ変接続,*,*,適用,36
282,0,方法,名詞,一般,*,*,方法,38
284,0,学習,名詞,サ変接続,*,*,学習,36
287,0,データ,名詞,一般,*,*,データ,38
288,0,解析,名詞,サ変接続,*,*,解析,36
290,0,多項式,名詞,一般,*,*,多項式,38
291,0,近似,名詞,サ変接続,*,*,近似,36
293,0,モデル,名詞,一般,*,*,モデル,38
295,0,選択,名詞,サ変接続,*,*,選択,36
296,0,実験,名詞,サ変接続,*,*,実験,36
298,0,観測,名詞,サ変接続,*,*,観測,36
299,0,データ,名詞,一般,*,*,データ,38
301,0,多項式,名詞,一般,*,*,多項式,38
302,0,近似,名詞,サ変接続,*,*,近似,36
304,0,適用,名詞,サ変接続,*,*,適用,36
306,0,方法,名詞,一般,*,*,方法,38
309,0,最適,名詞,一般,*,*,最適,38
310,0,次数,名詞,一般,*,*,次数,38
312,0,推定,名詞,サ変接続,*,*,推定,36
313,0,法,名詞,接尾,一般,*,法,51
315,0,学習,名詞,サ変接続,*,*,学習,36
318,0,イントロダクション,名詞,一般,*,*,イントロダクション,38
319,0,本科,名詞,一般,*,*,本科,38
320,0,目,名詞,接尾,一般,*,目,51
322,0,目的,名詞,一般,*,*,目的,38
324,0,理解,名詞,サ変接続,*,*,理解,36
327,0,安全,名詞,形容動詞語幹,*,*,安全,40
329,0,大学,名詞,一般,*,*,大学,38
331,0,廃棄物,名詞,固有名詞,一般,*,廃棄物,41
333,0,種類,名詞,一般,*,*,種類,38
335,0,処理,名詞,サ変接続,*,*,処理,36
336,0,廃棄,名詞,サ変接続,*,*,廃棄,36
337,0,物,名詞,接尾,一般,*,物,51
