,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
0,0,地球,名詞,一般,*,*,地球,38
1,0,惑星,名詞,一般,*,*,惑星,38
2,0,物質,名詞,一般,*,*,物質,38
3,0,学,名詞,接尾,一般,*,学,51
4,0,序論,名詞,一般,*,*,序論,38
5,0,地球史,名詞,固有名詞,一般,*,地球史,41
6,0,概論,名詞,サ変接続,*,*,概論,36
7,0,地球,名詞,一般,*,*,地球,38
8,0,物質,名詞,一般,*,*,物質,38
9,0,学,名詞,接尾,一般,*,学,51
10,0,地球科学,名詞,固有名詞,一般,*,地球科学,41
11,0,序論,名詞,一般,*,*,序論,38
12,0,地球史,名詞,固有名詞,一般,*,地球史,41
13,0,概論,名詞,サ変接続,*,*,概論,36
14,0,地球,名詞,一般,*,*,地球,38
15,0,物質,名詞,一般,*,*,物質,38
16,0,学,名詞,接尾,一般,*,学,51
17,0,地球,名詞,一般,*,*,地球,38
18,0,惑星,名詞,一般,*,*,惑星,38
19,0,物質,名詞,一般,*,*,物質,38
20,0,学,名詞,接尾,一般,*,学,51
21,0,序論,名詞,一般,*,*,序論,38
22,0,地球史,名詞,固有名詞,一般,*,地球史,41
23,0,概論,名詞,サ変接続,*,*,概論,36
24,0,地球,名詞,一般,*,*,地球,38
25,0,物質,名詞,一般,*,*,物質,38
26,0,学,名詞,接尾,一般,*,学,51
27,0,地球科学,名詞,固有名詞,一般,*,地球科学,41
28,0,序論,名詞,一般,*,*,序論,38
29,0,地球史,名詞,固有名詞,一般,*,地球史,41
30,0,概論,名詞,サ変接続,*,*,概論,36
31,0,地球,名詞,一般,*,*,地球,38
32,0,物質,名詞,一般,*,*,物質,38
33,0,学,名詞,接尾,一般,*,学,51
34,0,地球科学,名詞,固有名詞,一般,*,地球科学,41
35,0,序論,名詞,一般,*,*,序論,38
36,0,地球史,名詞,固有名詞,一般,*,地球史,41
37,0,概論,名詞,サ変接続,*,*,概論,36
38,0,地球,名詞,一般,*,*,地球,38
39,0,物質,名詞,一般,*,*,物質,38
40,0,学,名詞,接尾,一般,*,学,51
