,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
0,0,地球,名詞,一般,*,*,地球,38
1,0,惑星科学,名詞,固有名詞,一般,*,惑星科学,41
3,0,研究,名詞,サ変接続,*,*,研究,36
5,0,必要,名詞,形容動詞語幹,*,*,必要,40
7,0,なる,動詞,自立,*,*,なる,31
8,0,数値解析,名詞,固有名詞,一般,*,数値解析,41
10,0,数値,名詞,一般,*,*,数値,38
11,0,実験,名詞,サ変接続,*,*,実験,36
13,0,行う,動詞,自立,*,*,行う,31
14,0,ため,名詞,非自立,副詞可能,*,ため,66
16,0,基礎,名詞,一般,*,*,基礎,38
17,0,的,名詞,接尾,形容動詞語幹,*,的,52
19,0,数値計算,名詞,固有名詞,一般,*,数値計算,41
23,0,行う,動詞,自立,*,*,行う,31
24,0,力,名詞,一般,*,*,力,38
26,0,習得,名詞,サ変接続,*,*,習得,36
28,0,目標,名詞,一般,*,*,目標,38
32,0,具体的,名詞,固有名詞,一般,*,具体的,41
36,0,UNIX,名詞,固有名詞,一般,*,UNIX,41
38,0,数値計算,名詞,固有名詞,一般,*,数値計算,41
39,0,法,名詞,接尾,一般,*,法,51
41,0,基礎,名詞,一般,*,*,基礎,38
42,0,的,名詞,接尾,形容動詞語幹,*,的,52
44,0,講義,名詞,サ変接続,*,*,講義,36
46,0,演習,名詞,サ変接続,*,*,演習,36
48,0,計算,名詞,サ変接続,*,*,計算,36
49,0,結果,名詞,副詞可能,*,*,結果,67
51,0,グラフ,名詞,一般,*,*,グラフ,38
52,0,作成,名詞,サ変接続,*,*,作成,36
54,0,実践,名詞,サ変接続,*,*,実践,36
59,0,数値計算,名詞,固有名詞,一般,*,数値計算,41
61,0,地球,名詞,一般,*,*,地球,38
63,0,宇宙,名詞,一般,*,*,宇宙,38
66,0,過程,名詞,一般,*,*,過程,38
68,0,応用,名詞,サ変接続,*,*,応用,36
70,0,力,名詞,一般,*,*,力,38
72,0,計算,名詞,サ変接続,*,*,計算,36
73,0,結果,名詞,副詞可能,*,*,結果,67
75,0,物理的,名詞,固有名詞,一般,*,物理的,41
76,0,解釈,名詞,サ変接続,*,*,解釈,36
78,0,与える,動詞,自立,*,*,与える,31
79,0,力,名詞,一般,*,*,力,38
81,0,身,名詞,一般,*,*,身,38
83,0,つける,動詞,自立,*,*,つける,31
86,0,目標,名詞,一般,*,*,目標,38
90,0,地球,名詞,一般,*,*,地球,38
91,0,惑星科学,名詞,固有名詞,一般,*,惑星科学,41
93,0,研究,名詞,サ変接続,*,*,研究,36
95,0,必要,名詞,形容動詞語幹,*,*,必要,40
97,0,なる,動詞,自立,*,*,なる,31
98,0,数値解析,名詞,固有名詞,一般,*,数値解析,41
100,0,数値,名詞,一般,*,*,数値,38
101,0,実験,名詞,サ変接続,*,*,実験,36
103,0,行う,動詞,自立,*,*,行う,31
104,0,ため,名詞,非自立,副詞可能,*,ため,66
106,0,基礎,名詞,一般,*,*,基礎,38
107,0,的,名詞,接尾,形容動詞語幹,*,的,52
109,0,数値計算,名詞,固有名詞,一般,*,数値計算,41
113,0,行う,動詞,自立,*,*,行う,31
114,0,力,名詞,一般,*,*,力,38
116,0,習得,名詞,サ変接続,*,*,習得,36
118,0,目標,名詞,一般,*,*,目標,38
122,0,具体的,名詞,固有名詞,一般,*,具体的,41
126,0,UNIX,名詞,固有名詞,一般,*,UNIX,41
128,0,プログラミング言語,名詞,固有名詞,一般,*,プログラミング言語,41
138,0,数値計算,名詞,固有名詞,一般,*,数値計算,41
139,0,法,名詞,接尾,一般,*,法,51
141,0,基礎,名詞,一般,*,*,基礎,38
142,0,的,名詞,接尾,形容動詞語幹,*,的,52
144,0,講義,名詞,サ変接続,*,*,講義,36
146,0,演習,名詞,サ変接続,*,*,演習,36
148,0,計算,名詞,サ変接続,*,*,計算,36
149,0,結果,名詞,副詞可能,*,*,結果,67
151,0,グラフ,名詞,一般,*,*,グラフ,38
152,0,作成,名詞,サ変接続,*,*,作成,36
154,0,実践,名詞,サ変接続,*,*,実践,36
159,0,数値計算,名詞,固有名詞,一般,*,数値計算,41
161,0,地球,名詞,一般,*,*,地球,38
163,0,宇宙,名詞,一般,*,*,宇宙,38
166,0,過程,名詞,一般,*,*,過程,38
