,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
0,0,研究,名詞,サ変接続,*,*,研究,36
1,0,プロジェクト,名詞,一般,*,*,プロジェクト,38
3,0,地球,名詞,一般,*,*,地球,38
4,0,惑星科学,名詞,固有名詞,一般,*,惑星科学,41
5,0,系,名詞,接尾,一般,*,系,51
7,0,学士,名詞,一般,*,*,学士,38
8,0,特定,名詞,サ変接続,*,*,特定,36
9,0,課題研究,名詞,固有名詞,一般,*,課題研究,41
11,0,地球,名詞,一般,*,*,地球,38
12,0,惑星科学,名詞,固有名詞,一般,*,惑星科学,41
13,0,系,名詞,接尾,一般,*,系,51
15,0,研究,名詞,サ変接続,*,*,研究,36
16,0,プロジェクト,名詞,一般,*,*,プロジェクト,38
18,0,地球,名詞,一般,*,*,地球,38
19,0,惑星科学,名詞,固有名詞,一般,*,惑星科学,41
20,0,系,名詞,接尾,一般,*,系,51
22,0,学士,名詞,一般,*,*,学士,38
23,0,特定,名詞,サ変接続,*,*,特定,36
24,0,課題研究,名詞,固有名詞,一般,*,課題研究,41
26,0,地球,名詞,一般,*,*,地球,38
27,0,惑星科学,名詞,固有名詞,一般,*,惑星科学,41
28,0,系,名詞,接尾,一般,*,系,51
