,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
0,0,情報源,名詞,固有名詞,一般,*,情報源,41
1,0,符号化,名詞,固有名詞,一般,*,符号化,41
2,0,通信路,名詞,固有名詞,一般,*,通信路,41
3,0,符号化,名詞,固有名詞,一般,*,符号化,41
4,0,情報量,名詞,固有名詞,一般,*,情報量,41
5,0,情報源,名詞,固有名詞,一般,*,情報源,41
6,0,符号化,名詞,固有名詞,一般,*,符号化,41
7,0,定理,名詞,一般,*,*,定理,38
8,0,通信路,名詞,固有名詞,一般,*,通信路,41
9,0,符号化,名詞,固有名詞,一般,*,符号化,41
10,0,定理,名詞,一般,*,*,定理,38
11,0,暗号,名詞,一般,*,*,暗号,38
12,0,情報源,名詞,固有名詞,一般,*,情報源,41
13,0,符号化,名詞,固有名詞,一般,*,符号化,41
14,0,通信路,名詞,固有名詞,一般,*,通信路,41
15,0,符号化,名詞,固有名詞,一般,*,符号化,41
16,0,情報量,名詞,固有名詞,一般,*,情報量,41
17,0,情報源,名詞,固有名詞,一般,*,情報源,41
18,0,符号化,名詞,固有名詞,一般,*,符号化,41
19,0,定理,名詞,一般,*,*,定理,38
20,0,通信路,名詞,固有名詞,一般,*,通信路,41
21,0,符号化,名詞,固有名詞,一般,*,符号化,41
22,0,定理,名詞,一般,*,*,定理,38
23,0,暗号,名詞,一般,*,*,暗号,38
24,0,情報源,名詞,固有名詞,一般,*,情報源,41
25,0,符号化,名詞,固有名詞,一般,*,符号化,41
26,0,通信路,名詞,固有名詞,一般,*,通信路,41
27,0,符号化,名詞,固有名詞,一般,*,符号化,41
28,0,情報量,名詞,固有名詞,一般,*,情報量,41
29,0,情報源,名詞,固有名詞,一般,*,情報源,41
30,0,符号化,名詞,固有名詞,一般,*,符号化,41
31,0,定理,名詞,一般,*,*,定理,38
32,0,通信路,名詞,固有名詞,一般,*,通信路,41
33,0,符号化,名詞,固有名詞,一般,*,符号化,41
34,0,定理,名詞,一般,*,*,定理,38
35,0,暗号,名詞,一般,*,*,暗号,38
36,0,情報源,名詞,固有名詞,一般,*,情報源,41
37,0,符号化,名詞,固有名詞,一般,*,符号化,41
38,0,通信路,名詞,固有名詞,一般,*,通信路,41
39,0,符号化,名詞,固有名詞,一般,*,符号化,41
40,0,情報量,名詞,固有名詞,一般,*,情報量,41
41,0,情報源,名詞,固有名詞,一般,*,情報源,41
42,0,符号化,名詞,固有名詞,一般,*,符号化,41
43,0,定理,名詞,一般,*,*,定理,38
44,0,通信路,名詞,固有名詞,一般,*,通信路,41
45,0,符号化,名詞,固有名詞,一般,*,符号化,41
46,0,定理,名詞,一般,*,*,定理,38
47,0,暗号,名詞,一般,*,*,暗号,38
