,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
0,0,ハフマン符号,名詞,固有名詞,一般,*,ハフマン符号,41
2,0,符号化,名詞,固有名詞,一般,*,符号化,41
3,0,ハフマン符号,名詞,固有名詞,一般,*,ハフマン符号,41
5,0,符号化,名詞,固有名詞,一般,*,符号化,41
7,0,説明,名詞,サ変接続,*,*,説明,36
9,0,ハフマン符号,名詞,固有名詞,一般,*,ハフマン符号,41
11,0,復号,名詞,サ変接続,*,*,復号,36
12,0,化,名詞,接尾,サ変接続,*,化,50
13,1,ハフマン符号,名詞,固有名詞,一般,*,ハフマン符号,41
15,1,復号,名詞,サ変接続,*,*,復号,36
16,1,化,名詞,接尾,サ変接続,*,化,50
18,1,説明,名詞,サ変接続,*,*,説明,36
20,1,算術符号,名詞,固有名詞,一般,*,算術符号,41
22,1,符号化,名詞,固有名詞,一般,*,符号化,41
23,2,算術符号,名詞,固有名詞,一般,*,算術符号,41
25,2,符号化,名詞,固有名詞,一般,*,符号化,41
27,2,説明,名詞,サ変接続,*,*,説明,36
29,2,算術符号,名詞,固有名詞,一般,*,算術符号,41
31,2,復号,名詞,サ変接続,*,*,復号,36
32,2,化,名詞,接尾,サ変接続,*,化,50
33,3,算術符号,名詞,固有名詞,一般,*,算術符号,41
35,3,復号,名詞,サ変接続,*,*,復号,36
36,3,化,名詞,接尾,サ変接続,*,化,50
38,3,説明,名詞,サ変接続,*,*,説明,36
41,3,符号,名詞,一般,*,*,符号,38
43,3,符号化,名詞,固有名詞,一般,*,符号化,41
45,4,符号,名詞,一般,*,*,符号,38
47,4,符号化,名詞,固有名詞,一般,*,符号化,41
49,4,説明,名詞,サ変接続,*,*,説明,36
52,4,符号,名詞,一般,*,*,符号,38
54,4,復号,名詞,サ変接続,*,*,復号,36
55,4,化,名詞,接尾,サ変接続,*,化,50
57,5,符号,名詞,一般,*,*,符号,38
59,5,復号,名詞,サ変接続,*,*,復号,36
60,5,化,名詞,接尾,サ変接続,*,化,50
62,5,説明,名詞,サ変接続,*,*,説明,36
64,5,共通鍵暗号,名詞,固有名詞,一般,*,共通鍵暗号,41
66,5,暗号化,名詞,固有名詞,一般,*,暗号化,41
67,6,共通鍵暗号,名詞,固有名詞,一般,*,共通鍵暗号,41
69,6,暗号化,名詞,固有名詞,一般,*,暗号化,41
71,6,説明,名詞,サ変接続,*,*,説明,36
73,6,共通鍵暗号,名詞,固有名詞,一般,*,共通鍵暗号,41
75,6,復号,名詞,サ変接続,*,*,復号,36
76,6,化,名詞,接尾,サ変接続,*,化,50
77,7,共通鍵暗号,名詞,固有名詞,一般,*,共通鍵暗号,41
79,7,復号,名詞,サ変接続,*,*,復号,36
80,7,化,名詞,接尾,サ変接続,*,化,50
82,7,説明,名詞,サ変接続,*,*,説明,36
84,7,公開鍵暗号,名詞,固有名詞,一般,*,公開鍵暗号,41
86,7,暗号化,名詞,固有名詞,一般,*,暗号化,41
87,8,公開鍵暗号,名詞,固有名詞,一般,*,公開鍵暗号,41
89,8,暗号化,名詞,固有名詞,一般,*,暗号化,41
91,8,説明,名詞,サ変接続,*,*,説明,36
93,8,公開鍵暗号,名詞,固有名詞,一般,*,公開鍵暗号,41
95,8,復号,名詞,サ変接続,*,*,復号,36
96,8,化,名詞,接尾,サ変接続,*,化,50
97,9,公開鍵暗号,名詞,固有名詞,一般,*,公開鍵暗号,41
99,9,復号,名詞,サ変接続,*,*,復号,36
100,9,化,名詞,接尾,サ変接続,*,化,50
102,9,説明,名詞,サ変接続,*,*,説明,36
104,9,公開鍵暗号,名詞,固有名詞,一般,*,公開鍵暗号,41
106,9,応用,名詞,サ変接続,*,*,応用,36
107,10,公開鍵暗号,名詞,固有名詞,一般,*,公開鍵暗号,41
109,10,応用,名詞,サ変接続,*,*,応用,36
111,10,説明,名詞,サ変接続,*,*,説明,36
113,10,ハミング符号,名詞,固有名詞,一般,*,ハミング符号,41
115,10,符号化,名詞,固有名詞,一般,*,符号化,41
116,11,ハミング符号,名詞,固有名詞,一般,*,ハミング符号,41
118,11,符号化,名詞,固有名詞,一般,*,符号化,41
120,11,説明,名詞,サ変接続,*,*,説明,36
122,11,ハミング符号,名詞,固有名詞,一般,*,ハミング符号,41
124,11,復号,名詞,サ変接続,*,*,復号,36
125,11,化,名詞,接尾,サ変接続,*,化,50
126,12,ハミング符号,名詞,固有名詞,一般,*,ハミング符号,41
