,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
0,0,論理回路,名詞,固有名詞,一般,*,論理回路,41
1,0,理論,名詞,一般,*,*,理論,38
2,0,計算機,名詞,固有名詞,一般,*,計算機,41
3,0,論理,名詞,一般,*,*,論理,38
4,0,設計,名詞,サ変接続,*,*,設計,36
6,0,情報通信,名詞,固有名詞,一般,*,情報通信,41
8,0,論理回路,名詞,固有名詞,一般,*,論理回路,41
9,0,理論,名詞,一般,*,*,理論,38
10,0,計算機,名詞,固有名詞,一般,*,計算機,41
11,0,論理,名詞,一般,*,*,論理,38
12,0,設計,名詞,サ変接続,*,*,設計,36
14,0,情報通信,名詞,固有名詞,一般,*,情報通信,41
16,0,論理回路,名詞,固有名詞,一般,*,論理回路,41
17,0,理論,名詞,一般,*,*,理論,38
18,0,計算機,名詞,固有名詞,一般,*,計算機,41
19,0,論理,名詞,一般,*,*,論理,38
20,0,設計,名詞,サ変接続,*,*,設計,36
22,0,情報通信,名詞,固有名詞,一般,*,情報通信,41
