,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
2,0,講義,名詞,サ変接続,*,*,講義,36
4,0,履修,名詞,サ変接続,*,*,履修,36
8,0,次,名詞,一般,*,*,次,38
10,0,能力,名詞,一般,*,*,能力,38
12,0,修得,名詞,サ変接続,*,*,修得,36
17,0,交流,名詞,サ変接続,*,*,交流,36
18,0,回路,名詞,一般,*,*,回路,38
20,0,電圧,名詞,一般,*,*,電圧,38
22,0,電流,名詞,一般,*,*,電流,38
24,0,電力,名詞,一般,*,*,電力,38
26,0,瞬時,名詞,一般,*,*,瞬時,38
27,0,値,名詞,接尾,一般,*,値,51
29,0,実効値,名詞,固有名詞,一般,*,実効値,41
31,0,説明,名詞,サ変接続,*,*,説明,36
36,0,表現,名詞,サ変接続,*,*,表現,36
37,0,できる,動詞,自立,*,*,できる,31
40,0,インピーダンス,名詞,固有名詞,一般,*,インピーダンス,41
42,0,アドミタンス,名詞,固有名詞,一般,*,アドミタンス,41
44,0,計算,名詞,サ変接続,*,*,計算,36
48,0,できる,動詞,自立,*,*,できる,31
51,0,インピーダンス,名詞,固有名詞,一般,*,インピーダンス,41
52,0,軌跡,名詞,一般,*,*,軌跡,38
54,0,リアクタンス,名詞,固有名詞,一般,*,リアクタンス,41
55,0,線,名詞,接尾,一般,*,線,51
56,0,図,名詞,接尾,一般,*,図,51
58,0,描く,動詞,自立,*,*,描く,31
61,0,できる,動詞,自立,*,*,できる,31
64,0,キルヒホッフの法則,名詞,固有名詞,一般,*,キルヒホッフの法則,41
66,0,基づい,動詞,自立,*,*,基づく,31
68,0,回路,名詞,一般,*,*,回路,38
70,0,電流,名詞,一般,*,*,電流,38
72,0,電圧,名詞,一般,*,*,電圧,38
74,0,求める,動詞,自立,*,*,求める,31
77,0,できる,動詞,自立,*,*,できる,31
80,0,与え,動詞,自立,*,*,与える,31
83,0,回路,名詞,一般,*,*,回路,38
85,0,節点,名詞,一般,*,*,節点,38
86,0,方程式,名詞,一般,*,*,方程式,38
88,0,閉路,名詞,一般,*,*,閉路,38
89,0,方程式,名詞,一般,*,*,方程式,38
91,0,立て,動詞,自立,*,*,立てる,31
93,0,回路,名詞,一般,*,*,回路,38
95,0,電流,名詞,一般,*,*,電流,38
97,0,電圧,名詞,一般,*,*,電圧,38
99,0,求める,動詞,自立,*,*,求める,31
102,0,できる,動詞,自立,*,*,できる,31
105,0,複雑,名詞,形容動詞語幹,*,*,複雑,40
107,0,回路,名詞,一般,*,*,回路,38
109,0,単純,名詞,形容動詞語幹,*,*,単純,40
111,0,等価,名詞,一般,*,*,等価,38
112,0,回路,名詞,一般,*,*,回路,38
114,0,表す,動詞,自立,*,*,表す,31
117,0,できる,動詞,自立,*,*,できる,31
120,0,講義,名詞,サ変接続,*,*,講義,36
122,0,履修,名詞,サ変接続,*,*,履修,36
126,0,次,名詞,一般,*,*,次,38
128,0,能力,名詞,一般,*,*,能力,38
130,0,修得,名詞,サ変接続,*,*,修得,36
135,0,交流,名詞,サ変接続,*,*,交流,36
136,0,回路,名詞,一般,*,*,回路,38
138,0,電圧,名詞,一般,*,*,電圧,38
140,0,電流,名詞,一般,*,*,電流,38
142,0,電力,名詞,一般,*,*,電力,38
144,0,瞬時,名詞,一般,*,*,瞬時,38
145,0,値,名詞,接尾,一般,*,値,51
147,0,実効値,名詞,固有名詞,一般,*,実効値,41
149,0,説明,名詞,サ変接続,*,*,説明,36
154,0,表現,名詞,サ変接続,*,*,表現,36
155,0,できる,動詞,自立,*,*,できる,31
158,0,インピーダンス,名詞,固有名詞,一般,*,インピーダンス,41
160,0,アドミタンス,名詞,固有名詞,一般,*,アドミタンス,41
162,0,計算,名詞,サ変接続,*,*,計算,36
166,0,できる,動詞,自立,*,*,できる,31
169,0,インピーダンス,名詞,固有名詞,一般,*,インピーダンス,41
170,0,軌跡,名詞,一般,*,*,軌跡,38
172,0,リアクタンス,名詞,固有名詞,一般,*,リアクタンス,41
173,0,線,名詞,接尾,一般,*,線,51
174,0,図,名詞,接尾,一般,*,図,51
176,0,描く,動詞,自立,*,*,描く,31
179,0,できる,動詞,自立,*,*,できる,31
182,0,キルヒホッフの法則,名詞,固有名詞,一般,*,キルヒホッフの法則,41
184,0,基づい,動詞,自立,*,*,基づく,31
186,0,回路,名詞,一般,*,*,回路,38
188,0,電流,名詞,一般,*,*,電流,38
190,0,電圧,名詞,一般,*,*,電圧,38
192,0,求める,動詞,自立,*,*,求める,31
195,0,できる,動詞,自立,*,*,できる,31
198,0,与え,動詞,自立,*,*,与える,31
201,0,回路,名詞,一般,*,*,回路,38
203,0,節点,名詞,一般,*,*,節点,38
204,0,方程式,名詞,一般,*,*,方程式,38
206,0,閉路,名詞,一般,*,*,閉路,38
207,0,方程式,名詞,一般,*,*,方程式,38
209,0,立て,動詞,自立,*,*,立てる,31
211,0,回路,名詞,一般,*,*,回路,38
213,0,電流,名詞,一般,*,*,電流,38
215,0,電圧,名詞,一般,*,*,電圧,38
217,0,求める,動詞,自立,*,*,求める,31
220,0,できる,動詞,自立,*,*,できる,31
223,0,複雑,名詞,形容動詞語幹,*,*,複雑,40
225,0,回路,名詞,一般,*,*,回路,38
227,0,単純,名詞,形容動詞語幹,*,*,単純,40
229,0,等価,名詞,一般,*,*,等価,38
230,0,回路,名詞,一般,*,*,回路,38
232,0,表す,動詞,自立,*,*,表す,31
235,0,できる,動詞,自立,*,*,できる,31
238,0,講義,名詞,サ変接続,*,*,講義,36
240,0,履修,名詞,サ変接続,*,*,履修,36
244,0,次,名詞,一般,*,*,次,38
246,0,能力,名詞,一般,*,*,能力,38
248,0,修得,名詞,サ変接続,*,*,修得,36
