,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
0,0,基礎,名詞,一般,*,*,基礎,38
1,0,集積回路,名詞,固有名詞,一般,*,集積回路,41
2,0,計算機,名詞,固有名詞,一般,*,計算機,41
3,0,論理,名詞,一般,*,*,論理,38
4,0,設計,名詞,サ変接続,*,*,設計,36
6,0,情報通信,名詞,固有名詞,一般,*,情報通信,41
8,0,情報,名詞,一般,*,*,情報,38
9,0,実験,名詞,サ変接続,*,*,実験,36
13,0,システム設計,名詞,固有名詞,一般,*,システム設計,41
15,0,レイアウト,名詞,サ変接続,*,*,レイアウト,36
16,0,設計,名詞,サ変接続,*,*,設計,36
17,0,システム,名詞,一般,*,*,システム,38
18,0,LSI,名詞,固有名詞,一般,*,LSI,41
19,0,設計,名詞,サ変接続,*,*,設計,36
21,0,システム設計,名詞,固有名詞,一般,*,システム設計,41
23,0,システム,名詞,一般,*,*,システム,38
24,0,LSI,名詞,固有名詞,一般,*,LSI,41
25,0,設計,名詞,サ変接続,*,*,設計,36
27,0,組み込み,名詞,一般,*,*,組み込み,38
28,0,ソフトウェア,名詞,一般,*,*,ソフトウェア,38
29,0,設計,名詞,サ変接続,*,*,設計,36
31,0,基礎,名詞,一般,*,*,基礎,38
32,0,集積回路,名詞,固有名詞,一般,*,集積回路,41
33,0,計算機,名詞,固有名詞,一般,*,計算機,41
34,0,論理,名詞,一般,*,*,論理,38
35,0,設計,名詞,サ変接続,*,*,設計,36
37,0,情報通信,名詞,固有名詞,一般,*,情報通信,41
39,0,情報,名詞,一般,*,*,情報,38
40,0,実験,名詞,サ変接続,*,*,実験,36
44,0,システム設計,名詞,固有名詞,一般,*,システム設計,41
46,0,レイアウト,名詞,サ変接続,*,*,レイアウト,36
47,0,設計,名詞,サ変接続,*,*,設計,36
48,0,システム,名詞,一般,*,*,システム,38
49,0,LSI,名詞,固有名詞,一般,*,LSI,41
50,0,設計,名詞,サ変接続,*,*,設計,36
52,0,システム設計,名詞,固有名詞,一般,*,システム設計,41
54,0,システム,名詞,一般,*,*,システム,38
55,0,LSI,名詞,固有名詞,一般,*,LSI,41
56,0,設計,名詞,サ変接続,*,*,設計,36
58,0,組み込み,名詞,一般,*,*,組み込み,38
59,0,ソフトウェア,名詞,一般,*,*,ソフトウェア,38
60,0,設計,名詞,サ変接続,*,*,設計,36
62,0,基礎,名詞,一般,*,*,基礎,38
63,0,集積回路,名詞,固有名詞,一般,*,集積回路,41
64,0,計算機,名詞,固有名詞,一般,*,計算機,41
65,0,論理,名詞,一般,*,*,論理,38
66,0,設計,名詞,サ変接続,*,*,設計,36
68,0,情報通信,名詞,固有名詞,一般,*,情報通信,41
70,0,情報,名詞,一般,*,*,情報,38
71,0,実験,名詞,サ変接続,*,*,実験,36
75,0,システム設計,名詞,固有名詞,一般,*,システム設計,41
77,0,レイアウト,名詞,サ変接続,*,*,レイアウト,36
78,0,設計,名詞,サ変接続,*,*,設計,36
79,0,システム,名詞,一般,*,*,システム,38
80,0,LSI,名詞,固有名詞,一般,*,LSI,41
81,0,設計,名詞,サ変接続,*,*,設計,36
83,0,システム設計,名詞,固有名詞,一般,*,システム設計,41
85,0,システム,名詞,一般,*,*,システム,38
86,0,LSI,名詞,固有名詞,一般,*,LSI,41
87,0,設計,名詞,サ変接続,*,*,設計,36
89,0,組み込み,名詞,一般,*,*,組み込み,38
90,0,ソフトウェア,名詞,一般,*,*,ソフトウェア,38
91,0,設計,名詞,サ変接続,*,*,設計,36
93,0,基礎,名詞,一般,*,*,基礎,38
94,0,集積回路,名詞,固有名詞,一般,*,集積回路,41
95,0,計算機,名詞,固有名詞,一般,*,計算機,41
96,0,論理,名詞,一般,*,*,論理,38
97,0,設計,名詞,サ変接続,*,*,設計,36
99,0,情報通信,名詞,固有名詞,一般,*,情報通信,41
101,0,情報,名詞,一般,*,*,情報,38
102,0,実験,名詞,サ変接続,*,*,実験,36
106,0,システム設計,名詞,固有名詞,一般,*,システム設計,41
108,0,レイアウト,名詞,サ変接続,*,*,レイアウト,36
109,0,設計,名詞,サ変接続,*,*,設計,36
110,0,システム,名詞,一般,*,*,システム,38
111,0,LSI,名詞,固有名詞,一般,*,LSI,41
112,0,設計,名詞,サ変接続,*,*,設計,36
114,0,システム設計,名詞,固有名詞,一般,*,システム設計,41
116,0,システム,名詞,一般,*,*,システム,38
117,0,LSI,名詞,固有名詞,一般,*,LSI,41
118,0,設計,名詞,サ変接続,*,*,設計,36
120,0,組み込み,名詞,一般,*,*,組み込み,38
121,0,ソフトウェア,名詞,一般,*,*,ソフトウェア,38
122,0,設計,名詞,サ変接続,*,*,設計,36
