,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
0,0,離散,名詞,サ変接続,*,*,離散,36
1,0,時間,名詞,副詞可能,*,*,時間,67
2,0,信号,名詞,一般,*,*,信号,38
3,0,離散,名詞,サ変接続,*,*,離散,36
4,0,時間,名詞,副詞可能,*,*,時間,67
5,0,システム,名詞,一般,*,*,システム,38
6,0,線形,名詞,一般,*,*,線形,38
8,0,不変,名詞,一般,*,*,不変,38
12,0,システム,名詞,一般,*,*,システム,38
13,0,インパルス,名詞,一般,*,*,インパルス,38
14,0,応答,名詞,サ変接続,*,*,応答,36
15,0,周波数特性,名詞,固有名詞,一般,*,周波数特性,41
16,0,標本化定理,名詞,固有名詞,一般,*,標本化定理,41
17,0,離散,名詞,サ変接続,*,*,離散,36
18,0,時間,名詞,副詞可能,*,*,時間,67
19,0,フーリエ変換,名詞,固有名詞,一般,*,フーリエ変換,41
20,0,離散フーリエ変換,名詞,固有名詞,一般,*,離散フーリエ変換,41
22,0,変換,名詞,サ変接続,*,*,変換,36
23,0,伝達関数,名詞,固有名詞,一般,*,伝達関数,41
24,0,ディジタルフィルタ,名詞,固有名詞,一般,*,ディジタルフィルタ,41
30,0,信号処理,名詞,固有名詞,一般,*,信号処理,41
31,0,離散,名詞,サ変接続,*,*,離散,36
32,0,時間,名詞,副詞可能,*,*,時間,67
33,0,信号,名詞,一般,*,*,信号,38
34,0,離散,名詞,サ変接続,*,*,離散,36
35,0,時間,名詞,副詞可能,*,*,時間,67
36,0,システム,名詞,一般,*,*,システム,38
37,0,線形,名詞,一般,*,*,線形,38
39,0,不変,名詞,一般,*,*,不変,38
43,0,システム,名詞,一般,*,*,システム,38
44,0,インパルス,名詞,一般,*,*,インパルス,38
45,0,応答,名詞,サ変接続,*,*,応答,36
46,0,周波数特性,名詞,固有名詞,一般,*,周波数特性,41
47,0,標本化定理,名詞,固有名詞,一般,*,標本化定理,41
48,0,離散,名詞,サ変接続,*,*,離散,36
49,0,時間,名詞,副詞可能,*,*,時間,67
50,0,フーリエ変換,名詞,固有名詞,一般,*,フーリエ変換,41
51,0,離散フーリエ変換,名詞,固有名詞,一般,*,離散フーリエ変換,41
53,0,変換,名詞,サ変接続,*,*,変換,36
54,0,伝達関数,名詞,固有名詞,一般,*,伝達関数,41
55,0,ディジタルフィルタ,名詞,固有名詞,一般,*,ディジタルフィルタ,41
61,0,信号処理,名詞,固有名詞,一般,*,信号処理,41
62,0,離散,名詞,サ変接続,*,*,離散,36
63,0,時間,名詞,副詞可能,*,*,時間,67
64,0,信号,名詞,一般,*,*,信号,38
65,0,離散,名詞,サ変接続,*,*,離散,36
66,0,時間,名詞,副詞可能,*,*,時間,67
67,0,システム,名詞,一般,*,*,システム,38
68,0,線形,名詞,一般,*,*,線形,38
70,0,不変,名詞,一般,*,*,不変,38
74,0,システム,名詞,一般,*,*,システム,38
75,0,インパルス,名詞,一般,*,*,インパルス,38
76,0,応答,名詞,サ変接続,*,*,応答,36
77,0,周波数特性,名詞,固有名詞,一般,*,周波数特性,41
78,0,標本化定理,名詞,固有名詞,一般,*,標本化定理,41
79,0,離散,名詞,サ変接続,*,*,離散,36
80,0,時間,名詞,副詞可能,*,*,時間,67
81,0,フーリエ変換,名詞,固有名詞,一般,*,フーリエ変換,41
82,0,離散フーリエ変換,名詞,固有名詞,一般,*,離散フーリエ変換,41
84,0,変換,名詞,サ変接続,*,*,変換,36
85,0,伝達関数,名詞,固有名詞,一般,*,伝達関数,41
86,0,ディジタルフィルタ,名詞,固有名詞,一般,*,ディジタルフィルタ,41
92,0,信号処理,名詞,固有名詞,一般,*,信号処理,41
93,0,離散,名詞,サ変接続,*,*,離散,36
94,0,時間,名詞,副詞可能,*,*,時間,67
95,0,信号,名詞,一般,*,*,信号,38
96,0,離散,名詞,サ変接続,*,*,離散,36
97,0,時間,名詞,副詞可能,*,*,時間,67
98,0,システム,名詞,一般,*,*,システム,38
99,0,線形,名詞,一般,*,*,線形,38
101,0,不変,名詞,一般,*,*,不変,38
105,0,システム,名詞,一般,*,*,システム,38
106,0,インパルス,名詞,一般,*,*,インパルス,38
107,0,応答,名詞,サ変接続,*,*,応答,36
108,0,周波数特性,名詞,固有名詞,一般,*,周波数特性,41
109,0,標本化定理,名詞,固有名詞,一般,*,標本化定理,41
110,0,離散,名詞,サ変接続,*,*,離散,36
111,0,時間,名詞,副詞可能,*,*,時間,67
112,0,フーリエ変換,名詞,固有名詞,一般,*,フーリエ変換,41
113,0,離散フーリエ変換,名詞,固有名詞,一般,*,離散フーリエ変換,41
115,0,変換,名詞,サ変接続,*,*,変換,36
116,0,伝達関数,名詞,固有名詞,一般,*,伝達関数,41
117,0,ディジタルフィルタ,名詞,固有名詞,一般,*,ディジタルフィルタ,41
123,0,信号処理,名詞,固有名詞,一般,*,信号処理,41
