,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
0,0,ユークリッド,名詞,固有名詞,人名,姓,ユークリッド,43
1,0,空間,名詞,一般,*,*,空間,38
4,0,内,名詞,接尾,一般,*,内,51
6,0,指示,名詞,サ変接続,*,*,指示,36
8,0,開集合,名詞,固有名詞,一般,*,開集合,41
10,0,閉集合,名詞,固有名詞,一般,*,閉集合,41
11,0,理解度,名詞,固有名詞,一般,*,理解度,41
12,0,確認,名詞,サ変接続,*,*,確認,36
13,0,総合,名詞,サ変接続,*,*,総合,36
14,0,演習,名詞,サ変接続,*,*,演習,36
16,0,講義,名詞,サ変接続,*,*,講義,36
17,0,内容,名詞,一般,*,*,内容,38
19,0,流れ,名詞,一般,*,*,流れ,38
21,0,説明,名詞,サ変接続,*,*,説明,36
31,1,内容,名詞,一般,*,*,内容,38
33,1,演習,名詞,サ変接続,*,*,演習,36
34,1,形式,名詞,一般,*,*,形式,38
36,1,確認,名詞,サ変接続,*,*,確認,36
37,1,距離空間,名詞,固有名詞,一般,*,距離空間,41
38,1,位相空間,名詞,固有名詞,一般,*,位相空間,41
39,1,理解度,名詞,固有名詞,一般,*,理解度,41
40,1,確認,名詞,サ変接続,*,*,確認,36
41,1,総合,名詞,サ変接続,*,*,総合,36
42,1,演習,名詞,サ変接続,*,*,演習,36
44,1,講義,名詞,サ変接続,*,*,講義,36
45,1,内容,名詞,一般,*,*,内容,38
47,1,流れ,名詞,一般,*,*,流れ,38
49,1,説明,名詞,サ変接続,*,*,説明,36
59,2,内容,名詞,一般,*,*,内容,38
61,2,演習,名詞,サ変接続,*,*,演習,36
62,2,形式,名詞,一般,*,*,形式,38
64,2,確認,名詞,サ変接続,*,*,確認,36
65,2,点,名詞,接尾,一般,*,点,51
66,2,列,名詞,一般,*,*,列,38
68,2,収束,名詞,サ変接続,*,*,収束,36
69,2,連続写像,名詞,固有名詞,一般,*,連続写像,41
70,2,理解度,名詞,固有名詞,一般,*,理解度,41
71,2,確認,名詞,サ変接続,*,*,確認,36
72,2,総合,名詞,サ変接続,*,*,総合,36
73,2,演習,名詞,サ変接続,*,*,演習,36
75,2,講義,名詞,サ変接続,*,*,講義,36
76,2,内容,名詞,一般,*,*,内容,38
78,2,流れ,名詞,一般,*,*,流れ,38
80,2,説明,名詞,サ変接続,*,*,説明,36
90,3,内容,名詞,一般,*,*,内容,38
92,3,演習,名詞,サ変接続,*,*,演習,36
93,3,形式,名詞,一般,*,*,形式,38
95,3,確認,名詞,サ変接続,*,*,確認,36
96,3,コーシー列,名詞,固有名詞,一般,*,コーシー列,41
98,3,部分,名詞,一般,*,*,部分,38
99,3,列,名詞,一般,*,*,列,38
100,3,連続関数,名詞,固有名詞,一般,*,連続関数,41
102,3,最小化,名詞,固有名詞,一般,*,最小化,41
103,3,理解度,名詞,固有名詞,一般,*,理解度,41
104,3,確認,名詞,サ変接続,*,*,確認,36
105,3,総合,名詞,サ変接続,*,*,総合,36
106,3,演習,名詞,サ変接続,*,*,演習,36
108,3,講義,名詞,サ変接続,*,*,講義,36
109,3,内容,名詞,一般,*,*,内容,38
111,3,流れ,名詞,一般,*,*,流れ,38
113,3,説明,名詞,サ変接続,*,*,説明,36
126,4,内容,名詞,一般,*,*,内容,38
128,4,演習,名詞,サ変接続,*,*,演習,36
129,4,形式,名詞,一般,*,*,形式,38
131,4,確認,名詞,サ変接続,*,*,確認,36
132,4,凸,名詞,一般,*,*,凸,38
133,4,集合,名詞,サ変接続,*,*,集合,36
134,4,凸関数,名詞,固有名詞,一般,*,凸関数,41
135,4,理解度,名詞,固有名詞,一般,*,理解度,41
136,4,確認,名詞,サ変接続,*,*,確認,36
137,4,総合,名詞,サ変接続,*,*,総合,36
138,4,演習,名詞,サ変接続,*,*,演習,36
140,4,講義,名詞,サ変接続,*,*,講義,36
141,4,内容,名詞,一般,*,*,内容,38
143,4,流れ,名詞,一般,*,*,流れ,38
145,4,説明,名詞,サ変接続,*,*,説明,36
157,5,内容,名詞,一般,*,*,内容,38
159,5,演習,名詞,サ変接続,*,*,演習,36
160,5,形式,名詞,一般,*,*,形式,38
162,5,確認,名詞,サ変接続,*,*,確認,36
163,5,ユークリッド,名詞,固有名詞,人名,姓,ユークリッド,43
164,5,空間,名詞,一般,*,*,空間,38
167,5,内,名詞,接尾,一般,*,内,51
169,5,指示,名詞,サ変接続,*,*,指示,36
171,5,開集合,名詞,固有名詞,一般,*,開集合,41
173,5,閉集合,名詞,固有名詞,一般,*,閉集合,41
174,5,理解度,名詞,固有名詞,一般,*,理解度,41
175,5,確認,名詞,サ変接続,*,*,確認,36
176,5,総合,名詞,サ変接続,*,*,総合,36
177,5,演習,名詞,サ変接続,*,*,演習,36
179,5,講義,名詞,サ変接続,*,*,講義,36
