,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
0,0,オペレーションズ・リサーチ,名詞,固有名詞,一般,*,オペレーションズ・リサーチ,41
1,0,応用,名詞,サ変接続,*,*,応用,36
2,0,モデル,名詞,一般,*,*,モデル,38
3,0,化,名詞,接尾,サ変接続,*,化,50
5,0,OR,名詞,一般,*,*,OR,38
6,0,オペレーションズ・リサーチ,名詞,固有名詞,一般,*,オペレーションズ・リサーチ,41
7,0,応用,名詞,サ変接続,*,*,応用,36
8,0,モデル,名詞,一般,*,*,モデル,38
9,0,化,名詞,接尾,サ変接続,*,化,50
11,0,OR,名詞,一般,*,*,OR,38
12,0,オペレーションズ・リサーチ,名詞,固有名詞,一般,*,オペレーションズ・リサーチ,41
13,0,応用,名詞,サ変接続,*,*,応用,36
14,0,モデル,名詞,一般,*,*,モデル,38
15,0,化,名詞,接尾,サ変接続,*,化,50
17,0,OR,名詞,一般,*,*,OR,38
18,0,オペレーションズ・リサーチ,名詞,固有名詞,一般,*,オペレーションズ・リサーチ,41
19,0,応用,名詞,サ変接続,*,*,応用,36
20,0,モデル,名詞,一般,*,*,モデル,38
21,0,化,名詞,接尾,サ変接続,*,化,50
23,0,OR,名詞,一般,*,*,OR,38
24,0,オペレーションズ・リサーチ,名詞,固有名詞,一般,*,オペレーションズ・リサーチ,41
25,0,応用,名詞,サ変接続,*,*,応用,36
26,0,モデル,名詞,一般,*,*,モデル,38
27,0,化,名詞,接尾,サ変接続,*,化,50
29,0,OR,名詞,一般,*,*,OR,38
