,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
0,0,最適化問題,名詞,固有名詞,一般,*,最適化問題,41
1,0,確率,名詞,一般,*,*,確率,38
2,0,的,名詞,接尾,形容動詞語幹,*,的,52
3,0,モデル,名詞,一般,*,*,モデル,38
4,0,ゲーム理論,名詞,固有名詞,一般,*,ゲーム理論,41
5,0,最適化問題,名詞,固有名詞,一般,*,最適化問題,41
6,0,確率,名詞,一般,*,*,確率,38
7,0,的,名詞,接尾,形容動詞語幹,*,的,52
8,0,モデル,名詞,一般,*,*,モデル,38
9,0,ゲーム理論,名詞,固有名詞,一般,*,ゲーム理論,41
10,0,最適化問題,名詞,固有名詞,一般,*,最適化問題,41
11,0,確率,名詞,一般,*,*,確率,38
12,0,的,名詞,接尾,形容動詞語幹,*,的,52
13,0,モデル,名詞,一般,*,*,モデル,38
14,0,ゲーム理論,名詞,固有名詞,一般,*,ゲーム理論,41
15,0,最適化問題,名詞,固有名詞,一般,*,最適化問題,41
16,0,確率,名詞,一般,*,*,確率,38
17,0,的,名詞,接尾,形容動詞語幹,*,的,52
18,0,モデル,名詞,一般,*,*,モデル,38
19,0,ゲーム理論,名詞,固有名詞,一般,*,ゲーム理論,41
20,0,最適化問題,名詞,固有名詞,一般,*,最適化問題,41
21,0,確率,名詞,一般,*,*,確率,38
22,0,的,名詞,接尾,形容動詞語幹,*,的,52
23,0,モデル,名詞,一般,*,*,モデル,38
24,0,ゲーム理論,名詞,固有名詞,一般,*,ゲーム理論,41
