,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
0,0,名目,名詞,一般,*,*,名目,38
1,0,GDP,名詞,固有名詞,一般,*,GDP,41
2,0,実質,名詞,一般,*,*,実質,38
3,0,GDP,名詞,固有名詞,一般,*,GDP,41
4,0,GDPデフレーター,名詞,固有名詞,一般,*,GDPデフレーター,41
5,0,消費者物価指数,名詞,固有名詞,一般,*,消費者物価指数,41
7,0,CPI,名詞,固有名詞,一般,*,CPI,41
9,0,失業率,名詞,固有名詞,一般,*,失業率,41
10,0,消費,名詞,サ変接続,*,*,消費,36
12,0,決定,名詞,サ変接続,*,*,決定,36
13,0,貯蓄,名詞,サ変接続,*,*,貯蓄,36
15,0,決定,名詞,サ変接続,*,*,決定,36
16,0,投資,名詞,サ変接続,*,*,投資,36
18,0,決定,名詞,サ変接続,*,*,決定,36
19,0,長期,名詞,一般,*,*,長期,38
21,0,マクロ,名詞,一般,*,*,マクロ,38
22,0,経済,名詞,一般,*,*,経済,38
23,0,均衡,名詞,サ変接続,*,*,均衡,36
24,0,短期,名詞,一般,*,*,短期,38
26,0,マクロ,名詞,一般,*,*,マクロ,38
27,0,経済,名詞,一般,*,*,経済,38
28,0,均衡,名詞,サ変接続,*,*,均衡,36
29,0,IS-LM,名詞,固有名詞,一般,*,IS-LM,41
30,0,モデル,名詞,一般,*,*,モデル,38
31,0,名目,名詞,一般,*,*,名目,38
32,0,GDP,名詞,固有名詞,一般,*,GDP,41
33,0,実質,名詞,一般,*,*,実質,38
34,0,GDP,名詞,固有名詞,一般,*,GDP,41
35,0,GDPデフレーター,名詞,固有名詞,一般,*,GDPデフレーター,41
36,0,消費者物価指数,名詞,固有名詞,一般,*,消費者物価指数,41
38,0,CPI,名詞,固有名詞,一般,*,CPI,41
40,0,失業率,名詞,固有名詞,一般,*,失業率,41
41,0,消費,名詞,サ変接続,*,*,消費,36
43,0,決定,名詞,サ変接続,*,*,決定,36
44,0,貯蓄,名詞,サ変接続,*,*,貯蓄,36
46,0,決定,名詞,サ変接続,*,*,決定,36
47,0,投資,名詞,サ変接続,*,*,投資,36
49,0,決定,名詞,サ変接続,*,*,決定,36
50,0,長期,名詞,一般,*,*,長期,38
