,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
1,0,定常状態,名詞,固有名詞,一般,*,定常状態,41
2,0,黄金,名詞,一般,*,*,黄金,38
3,0,率,名詞,接尾,一般,*,率,51
4,0,技術,名詞,一般,*,*,技術,38
5,0,進歩,名詞,サ変接続,*,*,進歩,36
6,0,均斉,名詞,一般,*,*,均斉,38
7,0,成長,名詞,サ変接続,*,*,成長,36
8,0,経路,名詞,一般,*,*,経路,38
9,0,収束,名詞,サ変接続,*,*,収束,36
10,0,経常収支,名詞,固有名詞,一般,*,経常収支,41
11,0,赤字,名詞,一般,*,*,赤字,38
12,0,対外債務残高,名詞,固有名詞,一般,*,対外債務残高,41
13,0,摩擦,名詞,サ変接続,*,*,摩擦,36
14,0,的,名詞,接尾,形容動詞語幹,*,的,52
15,0,失業,名詞,サ変接続,*,*,失業,36
16,0,構造,名詞,一般,*,*,構造,38
17,0,的,名詞,接尾,形容動詞語幹,*,的,52
18,0,失業,名詞,サ変接続,*,*,失業,36
19,0,リカードの等価定理,名詞,固有名詞,一般,*,リカードの等価定理,41
20,0,フィリップス曲線,名詞,固有名詞,一般,*,フィリップス曲線,41
21,0,時間,名詞,副詞可能,*,*,時間,67
23,0,整合性,名詞,固有名詞,一般,*,整合性,41
24,0,予備,名詞,一般,*,*,予備,38
25,0,的,名詞,接尾,形容動詞語幹,*,的,52
26,0,貯蓄,名詞,サ変接続,*,*,貯蓄,36
28,0,定常状態,名詞,固有名詞,一般,*,定常状態,41
29,0,黄金,名詞,一般,*,*,黄金,38
30,0,率,名詞,接尾,一般,*,率,51
31,0,技術,名詞,一般,*,*,技術,38
32,0,進歩,名詞,サ変接続,*,*,進歩,36
33,0,均斉,名詞,一般,*,*,均斉,38
34,0,成長,名詞,サ変接続,*,*,成長,36
35,0,経路,名詞,一般,*,*,経路,38
36,0,収束,名詞,サ変接続,*,*,収束,36
37,0,経常収支,名詞,固有名詞,一般,*,経常収支,41
38,0,赤字,名詞,一般,*,*,赤字,38
39,0,対外債務残高,名詞,固有名詞,一般,*,対外債務残高,41
40,0,摩擦,名詞,サ変接続,*,*,摩擦,36
41,0,的,名詞,接尾,形容動詞語幹,*,的,52
42,0,失業,名詞,サ変接続,*,*,失業,36
43,0,構造,名詞,一般,*,*,構造,38
44,0,的,名詞,接尾,形容動詞語幹,*,的,52
45,0,失業,名詞,サ変接続,*,*,失業,36
46,0,リカードの等価定理,名詞,固有名詞,一般,*,リカードの等価定理,41
47,0,フィリップス曲線,名詞,固有名詞,一般,*,フィリップス曲線,41
48,0,時間,名詞,副詞可能,*,*,時間,67
50,0,整合性,名詞,固有名詞,一般,*,整合性,41
51,0,予備,名詞,一般,*,*,予備,38
52,0,的,名詞,接尾,形容動詞語幹,*,的,52
53,0,貯蓄,名詞,サ変接続,*,*,貯蓄,36
55,0,定常状態,名詞,固有名詞,一般,*,定常状態,41
56,0,黄金,名詞,一般,*,*,黄金,38
57,0,率,名詞,接尾,一般,*,率,51
58,0,技術,名詞,一般,*,*,技術,38
59,0,進歩,名詞,サ変接続,*,*,進歩,36
60,0,均斉,名詞,一般,*,*,均斉,38
61,0,成長,名詞,サ変接続,*,*,成長,36
62,0,経路,名詞,一般,*,*,経路,38
63,0,収束,名詞,サ変接続,*,*,収束,36
64,0,経常収支,名詞,固有名詞,一般,*,経常収支,41
65,0,赤字,名詞,一般,*,*,赤字,38
66,0,対外債務残高,名詞,固有名詞,一般,*,対外債務残高,41
67,0,摩擦,名詞,サ変接続,*,*,摩擦,36
68,0,的,名詞,接尾,形容動詞語幹,*,的,52
69,0,失業,名詞,サ変接続,*,*,失業,36
70,0,構造,名詞,一般,*,*,構造,38
71,0,的,名詞,接尾,形容動詞語幹,*,的,52
72,0,失業,名詞,サ変接続,*,*,失業,36
73,0,リカードの等価定理,名詞,固有名詞,一般,*,リカードの等価定理,41
74,0,フィリップス曲線,名詞,固有名詞,一般,*,フィリップス曲線,41
75,0,時間,名詞,副詞可能,*,*,時間,67
77,0,整合性,名詞,固有名詞,一般,*,整合性,41
78,0,予備,名詞,一般,*,*,予備,38
79,0,的,名詞,接尾,形容動詞語幹,*,的,52
80,0,貯蓄,名詞,サ変接続,*,*,貯蓄,36
82,0,定常状態,名詞,固有名詞,一般,*,定常状態,41
83,0,黄金,名詞,一般,*,*,黄金,38
84,0,率,名詞,接尾,一般,*,率,51
85,0,技術,名詞,一般,*,*,技術,38
86,0,進歩,名詞,サ変接続,*,*,進歩,36
87,0,均斉,名詞,一般,*,*,均斉,38
88,0,成長,名詞,サ変接続,*,*,成長,36
89,0,経路,名詞,一般,*,*,経路,38
90,0,収束,名詞,サ変接続,*,*,収束,36
91,0,経常収支,名詞,固有名詞,一般,*,経常収支,41
92,0,赤字,名詞,一般,*,*,赤字,38
93,0,対外債務残高,名詞,固有名詞,一般,*,対外債務残高,41
94,0,摩擦,名詞,サ変接続,*,*,摩擦,36
95,0,的,名詞,接尾,形容動詞語幹,*,的,52
96,0,失業,名詞,サ変接続,*,*,失業,36
97,0,構造,名詞,一般,*,*,構造,38
98,0,的,名詞,接尾,形容動詞語幹,*,的,52
99,0,失業,名詞,サ変接続,*,*,失業,36
100,0,リカードの等価定理,名詞,固有名詞,一般,*,リカードの等価定理,41
101,0,フィリップス曲線,名詞,固有名詞,一般,*,フィリップス曲線,41
102,0,時間,名詞,副詞可能,*,*,時間,67
104,0,整合性,名詞,固有名詞,一般,*,整合性,41
105,0,予備,名詞,一般,*,*,予備,38
106,0,的,名詞,接尾,形容動詞語幹,*,的,52
107,0,貯蓄,名詞,サ変接続,*,*,貯蓄,36
109,0,定常状態,名詞,固有名詞,一般,*,定常状態,41
110,0,黄金,名詞,一般,*,*,黄金,38
111,0,率,名詞,接尾,一般,*,率,51
112,0,技術,名詞,一般,*,*,技術,38
113,0,進歩,名詞,サ変接続,*,*,進歩,36
114,0,均斉,名詞,一般,*,*,均斉,38
115,0,成長,名詞,サ変接続,*,*,成長,36
116,0,経路,名詞,一般,*,*,経路,38
117,0,収束,名詞,サ変接続,*,*,収束,36
118,0,経常収支,名詞,固有名詞,一般,*,経常収支,41
119,0,赤字,名詞,一般,*,*,赤字,38
120,0,対外債務残高,名詞,固有名詞,一般,*,対外債務残高,41
121,0,摩擦,名詞,サ変接続,*,*,摩擦,36
122,0,的,名詞,接尾,形容動詞語幹,*,的,52
123,0,失業,名詞,サ変接続,*,*,失業,36
124,0,構造,名詞,一般,*,*,構造,38
125,0,的,名詞,接尾,形容動詞語幹,*,的,52
126,0,失業,名詞,サ変接続,*,*,失業,36
127,0,リカードの等価定理,名詞,固有名詞,一般,*,リカードの等価定理,41
128,0,フィリップス曲線,名詞,固有名詞,一般,*,フィリップス曲線,41
129,0,時間,名詞,副詞可能,*,*,時間,67
131,0,整合性,名詞,固有名詞,一般,*,整合性,41
132,0,予備,名詞,一般,*,*,予備,38
133,0,的,名詞,接尾,形容動詞語幹,*,的,52
134,0,貯蓄,名詞,サ変接続,*,*,貯蓄,36
