,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
0,0,確率変数,名詞,固有名詞,一般,*,確率変数,41
2,0,独立,名詞,サ変接続,*,*,独立,36
3,0,性,名詞,接尾,一般,*,性,51
4,0,条件,名詞,一般,*,*,条件,38
5,0,付,名詞,接尾,一般,*,付,51
6,0,確率,名詞,一般,*,*,確率,38
7,0,ベイズ,名詞,一般,*,*,ベイズ,38
9,0,公式,名詞,形容動詞語幹,*,*,公式,40
11,0,変量,名詞,一般,*,*,変量,38
14,0,変量,名詞,一般,*,*,変量,38
15,0,確率分布,名詞,固有名詞,一般,*,確率分布,41
16,0,モーメント,名詞,一般,*,*,モーメント,38
17,0,母関数,名詞,固有名詞,一般,*,母関数,41
18,0,特性関数,名詞,固有名詞,一般,*,特性関数,41
19,0,大数の法則,名詞,固有名詞,一般,*,大数の法則,41
20,0,中心極限定理,名詞,固有名詞,一般,*,中心極限定理,41
23,0,定理,名詞,一般,*,*,定理,38
24,0,デルタ,名詞,一般,*,*,デルタ,38
25,0,法,名詞,接尾,一般,*,法,51
26,0,最尤法,名詞,一般,*,*,最尤法,38
27,0,信頼,名詞,サ変接続,*,*,信頼,36
28,0,区間,名詞,一般,*,*,区間,38
29,0,線形回帰,名詞,固有名詞,一般,*,線形回帰,41
35,0,パネル,名詞,一般,*,*,パネル,38
36,0,分析,名詞,サ変接続,*,*,分析,36
38,0,FE,名詞,固有名詞,一般,*,FE,41
43,0,パラメトリック,名詞,固有名詞,一般,*,パラメトリック,41
44,0,法,名詞,接尾,一般,*,法,51
45,0,漸近,名詞,サ変接続,*,*,漸近,36
46,0,理論,名詞,一般,*,*,理論,38
47,0,線形回帰,名詞,固有名詞,一般,*,線形回帰,41
48,0,非線形回帰,名詞,固有名詞,一般,*,非線形回帰,41
50,0,パラメトリック,名詞,固有名詞,一般,*,パラメトリック,41
51,0,回帰,名詞,サ変接続,*,*,回帰,36
52,0,経済史,名詞,固有名詞,一般,*,経済史,41
53,0,数量経済史,名詞,固有名詞,一般,*,数量経済史,41
54,0,確率変数,名詞,固有名詞,一般,*,確率変数,41
56,0,独立,名詞,サ変接続,*,*,独立,36
57,0,性,名詞,接尾,一般,*,性,51
58,0,条件,名詞,一般,*,*,条件,38
59,0,付,名詞,接尾,一般,*,付,51
60,0,確率,名詞,一般,*,*,確率,38
61,0,ベイズ,名詞,一般,*,*,ベイズ,38
63,0,公式,名詞,形容動詞語幹,*,*,公式,40
65,0,変量,名詞,一般,*,*,変量,38
68,0,変量,名詞,一般,*,*,変量,38
69,0,確率分布,名詞,固有名詞,一般,*,確率分布,41
70,0,モーメント,名詞,一般,*,*,モーメント,38
71,0,母関数,名詞,固有名詞,一般,*,母関数,41
72,0,特性関数,名詞,固有名詞,一般,*,特性関数,41
73,0,大数の法則,名詞,固有名詞,一般,*,大数の法則,41
74,0,中心極限定理,名詞,固有名詞,一般,*,中心極限定理,41
77,0,定理,名詞,一般,*,*,定理,38
78,0,デルタ,名詞,一般,*,*,デルタ,38
79,0,法,名詞,接尾,一般,*,法,51
80,0,最尤法,名詞,一般,*,*,最尤法,38
81,0,信頼,名詞,サ変接続,*,*,信頼,36
82,0,区間,名詞,一般,*,*,区間,38
83,0,線形回帰,名詞,固有名詞,一般,*,線形回帰,41
84,0,パネル,名詞,一般,*,*,パネル,38
85,0,分析,名詞,サ変接続,*,*,分析,36
87,0,パラメトリック,名詞,固有名詞,一般,*,パラメトリック,41
88,0,法,名詞,接尾,一般,*,法,51
89,0,経済史,名詞,固有名詞,一般,*,経済史,41
90,0,数量経済史,名詞,固有名詞,一般,*,数量経済史,41
