,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
0,0,還元論,名詞,固有名詞,一般,*,還元論,41
4,0,全体論,名詞,固有名詞,一般,*,全体論,41
5,0,的,名詞,接尾,形容動詞語幹,*,的,52
8,0,現象,名詞,一般,*,*,現象,38
10,0,法則,名詞,一般,*,*,法則,38
15,0,背後,名詞,一般,*,*,背後,38
17,0,ある,動詞,自立,*,*,ある,31
18,0,構造,名詞,一般,*,*,構造,38
20,0,注目,名詞,サ変接続,*,*,注目,36
25,0,システム,名詞,一般,*,*,システム,38
30,0,見方,名詞,一般,*,*,見方,38
32,0,できる,動詞,自立,*,*,できる,31
34,0,コンピュータ,名詞,一般,*,*,コンピュータ,38
35,0,内,名詞,接尾,一般,*,内,51
40,0,データ処理,名詞,固有名詞,一般,*,データ処理,41
42,0,行わ,動詞,自立,*,*,行う,31
48,0,理解,名詞,サ変接続,*,*,理解,36
53,0,入出力,名詞,サ変接続,*,*,入出力,36
54,0,システム,名詞,一般,*,*,システム,38
56,0,様々,名詞,形容動詞語幹,*,*,様々,40
58,0,内部,名詞,一般,*,*,内部,38
59,0,表現,名詞,サ変接続,*,*,表現,36
61,0,理解,名詞,サ変接続,*,*,理解,36
66,0,還元論,名詞,固有名詞,一般,*,還元論,41
70,0,全体論,名詞,固有名詞,一般,*,全体論,41
71,0,的,名詞,接尾,形容動詞語幹,*,的,52
74,0,現象,名詞,一般,*,*,現象,38
76,0,法則,名詞,一般,*,*,法則,38
81,0,背後,名詞,一般,*,*,背後,38
83,0,ある,動詞,自立,*,*,ある,31
84,0,構造,名詞,一般,*,*,構造,38
86,0,注目,名詞,サ変接続,*,*,注目,36
91,0,システム,名詞,一般,*,*,システム,38
96,0,見方,名詞,一般,*,*,見方,38
98,0,できる,動詞,自立,*,*,できる,31
100,0,コンピュータ,名詞,一般,*,*,コンピュータ,38
101,0,内,名詞,接尾,一般,*,内,51
106,0,データ処理,名詞,固有名詞,一般,*,データ処理,41
108,0,行わ,動詞,自立,*,*,行う,31
114,0,理解,名詞,サ変接続,*,*,理解,36
119,0,入出力,名詞,サ変接続,*,*,入出力,36
120,0,システム,名詞,一般,*,*,システム,38
122,0,様々,名詞,形容動詞語幹,*,*,様々,40
124,0,内部,名詞,一般,*,*,内部,38
125,0,表現,名詞,サ変接続,*,*,表現,36
127,0,理解,名詞,サ変接続,*,*,理解,36
132,0,還元論,名詞,固有名詞,一般,*,還元論,41
136,0,全体論,名詞,固有名詞,一般,*,全体論,41
137,0,的,名詞,接尾,形容動詞語幹,*,的,52
140,0,現象,名詞,一般,*,*,現象,38
142,0,法則,名詞,一般,*,*,法則,38
147,0,背後,名詞,一般,*,*,背後,38
149,0,ある,動詞,自立,*,*,ある,31
150,0,構造,名詞,一般,*,*,構造,38
152,0,注目,名詞,サ変接続,*,*,注目,36
157,0,システム,名詞,一般,*,*,システム,38
162,0,見方,名詞,一般,*,*,見方,38
164,0,できる,動詞,自立,*,*,できる,31
166,0,コンピュータ,名詞,一般,*,*,コンピュータ,38
167,0,内,名詞,接尾,一般,*,内,51
172,0,データ処理,名詞,固有名詞,一般,*,データ処理,41
174,0,行わ,動詞,自立,*,*,行う,31
180,0,理解,名詞,サ変接続,*,*,理解,36
185,0,入出力,名詞,サ変接続,*,*,入出力,36
186,0,システム,名詞,一般,*,*,システム,38
188,0,様々,名詞,形容動詞語幹,*,*,様々,40
190,0,内部,名詞,一般,*,*,内部,38
191,0,表現,名詞,サ変接続,*,*,表現,36
193,0,理解,名詞,サ変接続,*,*,理解,36
