,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
0,0,プレゼンテーション,名詞,一般,*,*,プレゼンテーション,38
2,0,仕方,名詞,ナイ形容詞語幹,*,*,仕方,37
4,0,良い,形容詞,自立,*,*,良い,10
5,0,プレゼンテーション,名詞,一般,*,*,プレゼンテーション,38
8,0,理解,名詞,サ変接続,*,*,理解,36
9,0,統一,名詞,サ変接続,*,*,統一,36
10,0,試験,名詞,サ変接続,*,*,試験,36
13,0,議論,名詞,サ変接続,*,*,議論,36
15,1,スピーカー,名詞,一般,*,*,スピーカー,38
18,1,役割,名詞,一般,*,*,役割,38
21,1,イントロダクション,名詞,一般,*,*,イントロダクション,38
23,1,イントロダクション,名詞,一般,*,*,イントロダクション,38
25,1,ため,名詞,非自立,副詞可能,*,ため,66
27,1,表現,名詞,サ変接続,*,*,表現,36
28,1,テンプレート,名詞,一般,*,*,テンプレート,38
30,1,習得,名詞,サ変接続,*,*,習得,36
31,1,投票,名詞,サ変接続,*,*,投票,36
32,1,マシーン,名詞,固有名詞,一般,*,MACHINE,41
35,1,議論,名詞,サ変接続,*,*,議論,36
37,2,スピーカー,名詞,一般,*,*,スピーカー,38
40,2,役割,名詞,一般,*,*,役割,38
43,2,イントロダクション,名詞,一般,*,*,イントロダクション,38
44,2,復習,名詞,サ変接続,*,*,復習,36
46,2,同性結婚,名詞,固有名詞,一般,*,同性結婚,41
49,2,議論,名詞,サ変接続,*,*,議論,36
51,3,スピーカー,名詞,一般,*,*,スピーカー,38
54,3,役割,名詞,一般,*,*,役割,38
57,3,パワーポイント,名詞,固有名詞,一般,*,PowerPoint,41
58,3,作成,名詞,サ変接続,*,*,作成,36
60,3,良い,形容詞,自立,*,*,良い,10
61,3,パワーポイント,名詞,固有名詞,一般,*,PowerPoint,41
63,3,学ぶ,動詞,自立,*,*,学ぶ,31
64,3,グローバル化,名詞,固有名詞,一般,*,グローバル化,41
67,3,議論,名詞,サ変接続,*,*,議論,36
69,4,スピーカー,名詞,一般,*,*,スピーカー,38
72,4,役割,名詞,一般,*,*,役割,38
75,4,パワーポイント,名詞,固有名詞,一般,*,PowerPoint,41
76,4,作成,名詞,サ変接続,*,*,作成,36
78,4,復習,名詞,サ変接続,*,*,復習,36
80,4,自作,名詞,サ変接続,*,*,自作,36
82,4,プレゼンテーション,名詞,一般,*,*,プレゼンテーション,38
83,4,準備,名詞,サ変接続,*,*,準備,36
85,5,スピーカー,名詞,一般,*,*,スピーカー,38
88,5,役割,名詞,一般,*,*,役割,38
91,5,英,名詞,固有名詞,地域,国,英,47
92,5,作文,名詞,サ変接続,*,*,作文,36
94,5,良い,形容詞,自立,*,*,良い,10
95,5,スピーチ,名詞,サ変接続,*,*,スピーチ,36
96,5,原稿,名詞,一般,*,*,原稿,38
98,5,学ぶ,動詞,自立,*,*,学ぶ,31
99,5,プレゼンテーション,名詞,一般,*,*,プレゼンテーション,38
101,6,オーディエンス,名詞,一般,*,*,オーディエンス,38
104,6,役割,名詞,一般,*,*,役割,38
106,6,評価,名詞,サ変接続,*,*,評価,36
108,6,まとめ,名詞,一般,*,*,まとめ,38
110,6,試験,名詞,サ変接続,*,*,試験,36
111,6,総合,名詞,サ変接続,*,*,総合,36
112,6,問題,名詞,ナイ形容詞語幹,*,*,問題,37
113,6,演習,名詞,サ変接続,*,*,演習,36
114,6,シーン,名詞,一般,*,*,シーン,38
116,6,シーン,名詞,一般,*,*,シーン,38
119,6,予習,名詞,サ変接続,*,*,予習,36
120,6,シーン,名詞,一般,*,*,シーン,38
122,6,シーン,名詞,一般,*,*,シーン,38
125,6,予習,名詞,サ変接続,*,*,予習,36
126,6,シーン,名詞,一般,*,*,シーン,38
128,6,シーン,名詞,一般,*,*,シーン,38
131,6,予習,名詞,サ変接続,*,*,予習,36
132,6,シーン,名詞,一般,*,*,シーン,38
134,6,シーン,名詞,一般,*,*,シーン,38
137,6,予習,名詞,サ変接続,*,*,予習,36
138,6,シーン,名詞,一般,*,*,シーン,38
140,6,シーン,名詞,一般,*,*,シーン,38
143,6,予習,名詞,サ変接続,*,*,予習,36
144,6,シーン,名詞,一般,*,*,シーン,38
146,6,シーン,名詞,一般,*,*,シーン,38
149,6,予習,名詞,サ変接続,*,*,予習,36
150,6,シーン,名詞,一般,*,*,シーン,38
152,6,シーン,名詞,一般,*,*,シーン,38
155,6,予習,名詞,サ変接続,*,*,予習,36
156,6,期末テスト,名詞,固有名詞,一般,*,期末テスト,41
158,6,解説,名詞,サ変接続,*,*,解説,36
159,6,期末テスト,名詞,固有名詞,一般,*,期末テスト,41
161,6,準備,名詞,サ変接続,*,*,準備,36
168,6,Practice,名詞,固有名詞,人名,一般,PRACTICE,42
170,6,and,名詞,固有名詞,人名,一般,AND,42
172,6,on,名詞,固有名詞,一般,*,ON,41
173,6,the,名詞,一般,*,*,the,38
178,6,to,名詞,固有名詞,一般,*,TO,41
180,6,and,名詞,固有名詞,人名,一般,AND,42
183,6,mini,名詞,固有名詞,人名,一般,mini,42
192,6,Forward,名詞,固有名詞,人名,一般,FORWARD,42
198,6,The,名詞,固有名詞,人名,一般,The The,42
199,6,Real,名詞,固有名詞,人名,一般,REAL,42
200,6,Me,名詞,固有名詞,人名,一般,Me,42
204,6,on,名詞,固有名詞,一般,*,ON,41
212,6,and,名詞,固有名詞,人名,一般,AND,42
214,6,in,名詞,一般,*,*,in,38
223,6,and,名詞,固有名詞,人名,一般,AND,42
225,6,response,名詞,固有名詞,人名,一般,Response,42
232,6,Life,名詞,固有名詞,人名,一般,Life,42
234,6,Practice,名詞,固有名詞,人名,一般,PRACTICE,42
236,6,and,名詞,固有名詞,人名,一般,AND,42
238,6,on,名詞,固有名詞,一般,*,ON,41
239,6,the,名詞,一般,*,*,the,38
244,6,to,名詞,固有名詞,一般,*,TO,41
246,6,and,名詞,固有名詞,人名,一般,AND,42
249,6,mini,名詞,固有名詞,人名,一般,mini,42
259,6,Final,名詞,固有名詞,一般,*,Final,41
261,6,on,名詞,固有名詞,一般,*,ON,41
264,6,-1,名詞,固有名詞,一般,*,−1,41
268,6,and,名詞,固有名詞,人名,一般,AND,42
270,6,in,名詞,一般,*,*,in,38
273,6,-1,名詞,固有名詞,一般,*,−1,41
279,6,and,名詞,固有名詞,人名,一般,AND,42
281,6,response,名詞,固有名詞,人名,一般,Response,42
286,6,on,名詞,固有名詞,一般,*,ON,41
291,6,choice,名詞,固有名詞,人名,一般,CHOICE,42
297,6,on,名詞,固有名詞,一般,*,ON,41
302,6,choice,名詞,固有名詞,人名,一般,CHOICE,42
305,6,fe,名詞,固有名詞,人名,一般,Fe,42
306,6,ed,名詞,固有名詞,人名,一般,Ed,42
307,6,ba,名詞,固有名詞,一般,*,BA,41
308,6,ck,名詞,固有名詞,人名,一般,CK,42
309,6,Unit7,名詞,固有名詞,人名,一般,UNIT7,42
310,6,イチロー,名詞,固有名詞,人名,名,イチロー,44
313,6,8番,名詞,固有名詞,一般,*,8番,41
316,6,語彙,名詞,一般,*,*,語彙,38
317,6,問題,名詞,ナイ形容詞語幹,*,*,問題,37
319,6,予習,名詞,サ変接続,*,*,予習,36
320,7,学習,名詞,サ変接続,*,*,学習,36
323,7,英文,名詞,一般,*,*,英文,38
325,7,復習,名詞,サ変接続,*,*,復習,36
326,8,リスニング,名詞,一般,*,*,リスニング,38
328,8,音読,名詞,サ変接続,*,*,音読,36
330,8,正確,名詞,形容動詞語幹,*,*,正確,40
332,8,発音,名詞,サ変接続,*,*,発音,36
334,8,スペリング,名詞,一般,*,*,スペリング,38
336,8,習得,名詞,サ変接続,*,*,習得,36
339,8,おしゃれ,名詞,サ変接続,*,*,おしゃれ,36
340,8,女子,名詞,一般,*,*,女子,38
342,8,農業,名詞,一般,*,*,農業,38
345,8,18歳選挙権,名詞,固有名詞,一般,*,18歳選挙権,41
348,8,副業,名詞,一般,*,*,副業,38
350,8,ススメ,名詞,固有名詞,一般,*,ススメ!,41
352,8,労働,名詞,サ変接続,*,*,労働,36
353,8,形態,名詞,一般,*,*,形態,38
355,8,多様化,名詞,固有名詞,一般,*,多様化,41
358,8,自転車シェアリング,名詞,固有名詞,一般,*,自転車シェアリング,41
360,8,魅力,名詞,一般,*,*,魅力,38
363,8,着物,名詞,一般,*,*,着物,38
365,8,つなげる,動詞,自立,*,*,つなげる,31
366,8,世界,名詞,一般,*,*,世界,38
371,8,掃除,名詞,サ変接続,*,*,掃除,36
372,8,まとめ,名詞,一般,*,*,まとめ,38
374,8,期末試験,名詞,固有名詞,一般,*,期末試験,41
375,8,Class,名詞,固有名詞,一般,*,Class,41
382,8,the,名詞,一般,*,*,the,38
388,8,the,名詞,一般,*,*,the,38
401,8,to,名詞,固有名詞,一般,*,TO,41
404,8,access,名詞,固有名詞,一般,*,access,41
405,8,e-learning,名詞,固有名詞,一般,*,e-Learning,41
407,8,memorize,名詞,固有名詞,一般,*,MEMORIZE,41
408,8,un,名詞,固有名詞,一般,*,UN,41
409,8,familiar,名詞,固有名詞,一般,*,familiar,41
426,8,BT,名詞,固有名詞,一般,*,BT,41
427,8,est,名詞,固有名詞,一般,*,EST,41
430,8,three,名詞,固有名詞,一般,*,THREE,41
433,8,for,名詞,固有名詞,一般,*,for,41
436,8,test,名詞,固有名詞,一般,*,test,41
438,8,and,名詞,固有名詞,人名,一般,AND,42
445,8,Ecuador,名詞,固有名詞,一般,*,Ecuador,41
448,8,pp,名詞,固有名詞,一般,*,PP,41
451,8,-4,名詞,固有名詞,一般,*,−4,41
461,8,Spain,名詞,固有名詞,一般,*,Spain,41
464,8,pp,名詞,固有名詞,一般,*,PP,41
467,8,-4,名詞,固有名詞,一般,*,−4,41
473,8,National,名詞,固有名詞,一般,*,National,41
476,8,Tanzania,名詞,固有名詞,一般,*,Tanzania,41
479,8,pp,名詞,固有名詞,一般,*,PP,41
489,8,Turkey,名詞,固有名詞,一般,*,Turkey,41
493,8,pp,名詞,固有名詞,一般,*,PP,41
504,8,Germany,名詞,固有名詞,一般,*,Germany,41
507,8,pp,名詞,固有名詞,一般,*,PP,41
518,8,Vietnam,名詞,固有名詞,一般,*,Vietnam,41
521,8,pp,名詞,固有名詞,一般,*,PP,41
529,8,Westminster,名詞,固有名詞,一般,*,Westminster,41
531,8,and,名詞,固有名詞,人名,一般,AND,42
534,8,U.K.,名詞,固有名詞,人名,一般,U.K.,42
537,8,pp,名詞,固有名詞,一般,*,PP,41
546,8,National,名詞,固有名詞,一般,*,National,41
549,8,Venezuela,名詞,固有名詞,一般,*,Venezuela,41
551,9,期末試験,名詞,固有名詞,一般,*,期末試験,41
553,9,pp,名詞,固有名詞,一般,*,PP,41
559,9,導入,名詞,サ変接続,*,*,導入,36
561,9,英文,名詞,一般,*,*,英文,38
562,9,エッセイ,名詞,一般,*,*,エッセイ,38
564,9,ライティング,名詞,固有名詞,一般,*,ライティング,41
566,9,概要,名詞,一般,*,*,概要,38
568,10,トピック,名詞,一般,*,*,トピック,38
570,10,アイデア,名詞,一般,*,*,アイデア,38
572,10,論点,名詞,一般,*,*,論点,38
574,10,膨らま,動詞,自立,*,*,膨らむ,31
576,10,マッピング,名詞,サ変接続,*,*,マッピング,36
578,10,アイデア,名詞,一般,*,*,アイデア,38
580,10,膨らま,動詞,自立,*,*,膨らむ,31
582,10,パラグラフ,名詞,一般,*,*,パラグラフ,38
584,10,ライティング,名詞,固有名詞,一般,*,ライティング,41
585,10,パラグラフ,名詞,一般,*,*,パラグラフ,38
587,10,書く,動詞,自立,*,*,書く,31
588,10,主張,名詞,サ変接続,*,*,主張,36
590,10,根拠,名詞,一般,*,*,根拠,38
592,10,支える,動詞,自立,*,*,支える,31
593,10,パラグラフ,名詞,一般,*,*,パラグラフ,38
594,10,内,名詞,接尾,一般,*,内,51
596,10,論理,名詞,一般,*,*,論理,38
598,10,強化,名詞,サ変接続,*,*,強化,36
601,10,書き直す,動詞,自立,*,*,書き直す,31
602,10,序論,名詞,一般,*,*,序論,38
603,10,序論,名詞,一般,*,*,序論,38
605,10,パラグラフ,名詞,一般,*,*,パラグラフ,38
607,10,書く,動詞,自立,*,*,書く,31
608,10,結論,名詞,サ変接続,*,*,結論,36
609,10,結論,名詞,サ変接続,*,*,結論,36
611,10,パラグラフ,名詞,一般,*,*,パラグラフ,38
613,10,書く,動詞,自立,*,*,書く,31
614,10,必要,名詞,形容動詞語幹,*,*,必要,40
616,10,論,名詞,一般,*,*,論,38
618,10,引用,名詞,サ変接続,*,*,引用,36
620,10,本論,名詞,一般,*,*,本論,38
622,10,中,名詞,非自立,副詞可能,*,中,66
624,10,適切,名詞,形容動詞語幹,*,*,適切,40
626,10,引用,名詞,サ変接続,*,*,引用,36
628,10,行う,動詞,自立,*,*,行う,31
631,10,稿,名詞,一般,*,*,稿,38
633,10,完成,名詞,サ変接続,*,*,完成,36
635,10,推敲,名詞,サ変接続,*,*,推敲,36
637,10,エッセイ,名詞,一般,*,*,エッセイ,38
638,10,全体,名詞,副詞可能,*,*,全体,67
640,10,推敲,名詞,サ変接続,*,*,推敲,36
643,10,エッセイ,名詞,一般,*,*,エッセイ,38
645,10,最終,名詞,一般,*,*,最終,38
646,10,チェック,名詞,サ変接続,*,*,チェック,36
648,10,提出,名詞,サ変接続,*,*,提出,36
649,10,なし,形容詞,自立,*,*,ない,10
654,10,内容,名詞,一般,*,*,内容,38
656,10,理解,名詞,サ変接続,*,*,理解,36
663,11,内容,名詞,一般,*,*,内容,38
665,11,理解,名詞,サ変接続,*,*,理解,36
672,12,内容,名詞,一般,*,*,内容,38
674,12,理解,名詞,サ変接続,*,*,理解,36
677,13,Lesson 1,名詞,固有名詞,一般,*,Lesson 1,41
681,13,内容,名詞,一般,*,*,内容,38
683,13,理解,名詞,サ変接続,*,*,理解,36
686,14,Lesson 1,名詞,固有名詞,一般,*,Lesson 1,41
690,14,内容,名詞,一般,*,*,内容,38
692,14,理解,名詞,サ変接続,*,*,理解,36
695,15,Lesson 1,名詞,固有名詞,一般,*,Lesson 1,41
699,15,内容,名詞,一般,*,*,内容,38
701,15,理解,名詞,サ変接続,*,*,理解,36
708,16,学習,名詞,サ変接続,*,*,学習,36
709,16,内容,名詞,一般,*,*,内容,38
711,16,復習,名詞,サ変接続,*,*,復習,36
714,17,英語,名詞,一般,*,*,英語,38
716,17,プレゼンテーション,名詞,一般,*,*,プレゼンテーション,38
718,17,体験,名詞,サ変接続,*,*,体験,36
723,18,the c,名詞,固有名詞,一般,*,THE C,41
727,18,リサーチ,名詞,サ変接続,*,*,リサーチ,36
729,18,プロジェクト,名詞,一般,*,*,プロジェクト,38
731,18,議題,名詞,一般,*,*,議題,38
733,18,選び,動詞,自立,*,*,選ぶ,31
735,18,アンケート,名詞,一般,*,*,アンケート,38
737,18,作成,名詞,サ変接続,*,*,作成,36
738,18,関心,名詞,一般,*,*,関心,38
740,18,ある,動詞,自立,*,*,ある,31
741,18,議題,名詞,一般,*,*,議題,38
743,18,選び,動詞,自立,*,*,選ぶ,31
745,18,クラスメート,名詞,一般,*,*,クラスメート,38
748,18,アンケート,名詞,一般,*,*,アンケート,38
749,18,内容,名詞,一般,*,*,内容,38
751,18,考える,動詞,自立,*,*,考える,31
753,19,リサーチ,名詞,サ変接続,*,*,リサーチ,36
755,19,プロジェクト,名詞,一般,*,*,プロジェクト,38
757,19,アンケート調査,名詞,固有名詞,一般,*,アンケート調査,41
758,19,英語,名詞,一般,*,*,英語,38
761,19,アンケート調査,名詞,固有名詞,一般,*,アンケート調査,41
763,19,行う,動詞,自立,*,*,行う,31
765,20,リサーチ,名詞,サ変接続,*,*,リサーチ,36
767,20,プロジェクト,名詞,一般,*,*,プロジェクト,38
769,20,アンケート調査,名詞,固有名詞,一般,*,アンケート調査,41
773,20,データ分析,名詞,固有名詞,一般,*,データ分析,41
775,20,リサーチ,名詞,サ変接続,*,*,リサーチ,36
777,20,ペーパー,名詞,一般,*,*,ペーパー,38
778,20,作成,名詞,サ変接続,*,*,作成,36
779,20,プレゼンテーション,名詞,一般,*,*,プレゼンテーション,38
781,20,ため,名詞,非自立,副詞可能,*,ため,66
783,20,リサーチ,名詞,サ変接続,*,*,リサーチ,36
785,20,ペーパー,名詞,一般,*,*,ペーパー,38
787,20,作成,名詞,サ変接続,*,*,作成,36
790,20,提出,名詞,サ変接続,*,*,提出,36
793,21,プレゼンテーション,名詞,一般,*,*,プレゼンテーション,38
795,21,スキル,名詞,一般,*,*,スキル,38
796,21,上手,名詞,形容動詞語幹,*,*,上手,40
798,21,プレゼンテーション,名詞,一般,*,*,プレゼンテーション,38
