,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
0,0,講義,名詞,サ変接続,*,*,講義,36
1,0,概要,名詞,一般,*,*,概要,38
2,0,宗教,名詞,一般,*,*,宗教,38
10,0,自身,名詞,一般,*,*,自身,38
12,0,宗教,名詞,一般,*,*,宗教,38
14,0,考え,名詞,一般,*,*,考え,38
17,0,レポート,名詞,サ変接続,*,*,レポート,36
19,0,したためる,動詞,自立,*,*,したためる,31
21,1,宗教,名詞,一般,*,*,宗教,38
29,1,宗教,名詞,一般,*,*,宗教,38
31,1,カルト,名詞,一般,*,*,カルト,38
35,1,宗教,名詞,一般,*,*,宗教,38
37,1,カルト,名詞,一般,*,*,カルト,38
41,1,宗教,名詞,一般,*,*,宗教,38
43,1,カルト,名詞,一般,*,*,カルト,38
46,1,違い,名詞,ナイ形容詞語幹,*,*,違い,37
48,1,議論,名詞,サ変接続,*,*,議論,36
51,2,宗教,名詞,一般,*,*,宗教,38
53,2,カルト,名詞,一般,*,*,カルト,38
57,2,先週,名詞,副詞可能,*,*,先週,67
59,2,議論,名詞,サ変接続,*,*,議論,36
61,2,報告,名詞,サ変接続,*,*,報告,36
63,2,行う,動詞,自立,*,*,行う,31
65,3,宗教,名詞,一般,*,*,宗教,38
67,3,自分探し,名詞,固有名詞,一般,*,自分探し,41
71,3,宗教的,名詞,固有名詞,一般,*,宗教的,41
74,3,宗教,名詞,一般,*,*,宗教,38
75,3,的,名詞,接尾,形容動詞語幹,*,的,52
77,3,自分らしさ,名詞,固有名詞,一般,*,自分らしさ,41
79,3,VTR,名詞,固有名詞,一般,*,VTR,41
81,3,見,動詞,自立,*,*,見る,31
84,3,自ら,名詞,副詞可能,*,*,自ら,67
87,3,自分らしさ,名詞,固有名詞,一般,*,自分らしさ,41
89,3,核,名詞,一般,*,*,核,38
92,3,議論,名詞,サ変接続,*,*,議論,36
95,4,まとめ,名詞,一般,*,*,まとめ,38
97,4,宗教,名詞,一般,*,*,宗教,38
99,4,自分探し,名詞,固有名詞,一般,*,自分探し,41
103,4,先週,名詞,副詞可能,*,*,先週,67
105,4,議論,名詞,サ変接続,*,*,議論,36
107,4,報告,名詞,サ変接続,*,*,報告,36
109,4,行う,動詞,自立,*,*,行う,31
111,5,講義,名詞,サ変接続,*,*,講義,36
112,5,概要,名詞,一般,*,*,概要,38
113,5,宗教,名詞,一般,*,*,宗教,38
121,5,自身,名詞,一般,*,*,自身,38
123,5,宗教,名詞,一般,*,*,宗教,38
125,5,考え,名詞,一般,*,*,考え,38
128,5,レポート,名詞,サ変接続,*,*,レポート,36
130,5,したためる,動詞,自立,*,*,したためる,31
132,6,宗教,名詞,一般,*,*,宗教,38
140,6,宗教,名詞,一般,*,*,宗教,38
142,6,カルト,名詞,一般,*,*,カルト,38
146,6,宗教,名詞,一般,*,*,宗教,38
148,6,カルト,名詞,一般,*,*,カルト,38
152,6,宗教,名詞,一般,*,*,宗教,38
154,6,カルト,名詞,一般,*,*,カルト,38
157,6,違い,名詞,ナイ形容詞語幹,*,*,違い,37
159,6,議論,名詞,サ変接続,*,*,議論,36
162,7,宗教,名詞,一般,*,*,宗教,38
164,7,カルト,名詞,一般,*,*,カルト,38
168,7,先週,名詞,副詞可能,*,*,先週,67
170,7,議論,名詞,サ変接続,*,*,議論,36
172,7,報告,名詞,サ変接続,*,*,報告,36
174,7,行う,動詞,自立,*,*,行う,31
176,8,宗教,名詞,一般,*,*,宗教,38
178,8,自分探し,名詞,固有名詞,一般,*,自分探し,41
182,8,宗教的,名詞,固有名詞,一般,*,宗教的,41
185,8,宗教,名詞,一般,*,*,宗教,38
186,8,的,名詞,接尾,形容動詞語幹,*,的,52
188,8,自分らしさ,名詞,固有名詞,一般,*,自分らしさ,41
190,8,VTR,名詞,固有名詞,一般,*,VTR,41
192,8,見,動詞,自立,*,*,見る,31
195,8,自ら,名詞,副詞可能,*,*,自ら,67
198,8,自分らしさ,名詞,固有名詞,一般,*,自分らしさ,41
200,8,核,名詞,一般,*,*,核,38
