,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
0,0,論文,名詞,一般,*,*,論文,38
1,0,形式,名詞,一般,*,*,形式,38
2,0,書く,動詞,自立,*,*,書く,31
3,0,技術,名詞,一般,*,*,技術,38
4,0,内容,名詞,一般,*,*,内容,38
5,0,書く,動詞,自立,*,*,書く,31
6,0,習慣,名詞,一般,*,*,習慣,38
7,0,論文,名詞,一般,*,*,論文,38
8,0,形式,名詞,一般,*,*,形式,38
9,0,書く,動詞,自立,*,*,書く,31
10,0,技術,名詞,一般,*,*,技術,38
11,0,内容,名詞,一般,*,*,内容,38
12,0,書く,動詞,自立,*,*,書く,31
13,0,習慣,名詞,一般,*,*,習慣,38
14,0,論文,名詞,一般,*,*,論文,38
15,0,形式,名詞,一般,*,*,形式,38
16,0,書く,動詞,自立,*,*,書く,31
17,0,技術,名詞,一般,*,*,技術,38
18,0,内容,名詞,一般,*,*,内容,38
19,0,書く,動詞,自立,*,*,書く,31
20,0,習慣,名詞,一般,*,*,習慣,38
21,0,論文,名詞,一般,*,*,論文,38
22,0,形式,名詞,一般,*,*,形式,38
23,0,書く,動詞,自立,*,*,書く,31
24,0,技術,名詞,一般,*,*,技術,38
25,0,内容,名詞,一般,*,*,内容,38
26,0,書く,動詞,自立,*,*,書く,31
27,0,習慣,名詞,一般,*,*,習慣,38
