,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
2,0,講義,名詞,サ変接続,*,*,講義,36
4,0,履修,名詞,サ変接続,*,*,履修,36
9,0,次,名詞,一般,*,*,次,38
11,0,能力,名詞,一般,*,*,能力,38
13,0,習得,名詞,サ変接続,*,*,習得,36
18,1,小説,名詞,一般,*,*,小説,38
20,1,表現,名詞,サ変接続,*,*,表現,36
21,1,形式,名詞,一般,*,*,形式,38
24,1,進化,名詞,サ変接続,*,*,進化,36
26,1,流れ,名詞,一般,*,*,流れ,38
28,1,説明,名詞,サ変接続,*,*,説明,36
29,1,出来る,動詞,自立,*,*,出来る,31
33,2,近代,名詞,一般,*,*,近代,38
34,2,小説,名詞,一般,*,*,小説,38
36,2,現代,名詞,一般,*,*,現代,38
37,2,小説,名詞,一般,*,*,小説,38
39,2,分岐点,名詞,固有名詞,一般,*,分岐点,41
42,2,具体的,名詞,固有名詞,一般,*,具体的,41
43,2,作家,名詞,一般,*,*,作家,38
44,2,名,名詞,接尾,一般,*,名,51
46,2,作品,名詞,一般,*,*,作品,38
48,2,事例,名詞,一般,*,*,事例,38
50,2,持っ,動詞,自立,*,*,持つ,31
52,2,説明,名詞,サ変接続,*,*,説明,36
56,2,出来る,動詞,自立,*,*,出来る,31
60,3,さまざま,名詞,形容動詞語幹,*,*,さまざま,40
62,3,作品,名詞,一般,*,*,作品,38
64,3,触れる,動詞,自立,*,*,触れる,31
68,3,小説,名詞,一般,*,*,小説,38
70,3,芸術,名詞,一般,*,*,芸術,38
73,3,親しみ,名詞,一般,*,*,親しみ,38
77,3,リスペクト,名詞,固有名詞,一般,*,RESPECT,41
80,3,醸成,名詞,サ変接続,*,*,醸成,36
86,4,講義,名詞,サ変接続,*,*,講義,36
88,4,履修,名詞,サ変接続,*,*,履修,36
93,4,次,名詞,一般,*,*,次,38
95,4,能力,名詞,一般,*,*,能力,38
97,4,習得,名詞,サ変接続,*,*,習得,36
102,5,小説,名詞,一般,*,*,小説,38
104,5,表現,名詞,サ変接続,*,*,表現,36
105,5,形式,名詞,一般,*,*,形式,38
108,5,進化,名詞,サ変接続,*,*,進化,36
110,5,流れ,名詞,一般,*,*,流れ,38
112,5,説明,名詞,サ変接続,*,*,説明,36
113,5,出来る,動詞,自立,*,*,出来る,31
117,6,近代,名詞,一般,*,*,近代,38
118,6,小説,名詞,一般,*,*,小説,38
120,6,現代,名詞,一般,*,*,現代,38
121,6,小説,名詞,一般,*,*,小説,38
123,6,分岐点,名詞,固有名詞,一般,*,分岐点,41
126,6,具体的,名詞,固有名詞,一般,*,具体的,41
127,6,作家,名詞,一般,*,*,作家,38
128,6,名,名詞,接尾,一般,*,名,51
130,6,作品,名詞,一般,*,*,作品,38
132,6,事例,名詞,一般,*,*,事例,38
134,6,持っ,動詞,自立,*,*,持つ,31
136,6,説明,名詞,サ変接続,*,*,説明,36
140,6,出来る,動詞,自立,*,*,出来る,31
144,7,さまざま,名詞,形容動詞語幹,*,*,さまざま,40
146,7,作品,名詞,一般,*,*,作品,38
148,7,触れる,動詞,自立,*,*,触れる,31
152,7,小説,名詞,一般,*,*,小説,38
154,7,芸術,名詞,一般,*,*,芸術,38
157,7,親しみ,名詞,一般,*,*,親しみ,38
161,7,リスペクト,名詞,固有名詞,一般,*,RESPECT,41
164,7,醸成,名詞,サ変接続,*,*,醸成,36
170,8,講義,名詞,サ変接続,*,*,講義,36
172,8,履修,名詞,サ変接続,*,*,履修,36
177,8,次,名詞,一般,*,*,次,38
179,8,能力,名詞,一般,*,*,能力,38
181,8,習得,名詞,サ変接続,*,*,習得,36
186,9,小説,名詞,一般,*,*,小説,38
188,9,表現,名詞,サ変接続,*,*,表現,36
189,9,形式,名詞,一般,*,*,形式,38
192,9,進化,名詞,サ変接続,*,*,進化,36
194,9,流れ,名詞,一般,*,*,流れ,38
196,9,説明,名詞,サ変接続,*,*,説明,36
197,9,出来る,動詞,自立,*,*,出来る,31
201,10,近代,名詞,一般,*,*,近代,38
202,10,小説,名詞,一般,*,*,小説,38
204,10,現代,名詞,一般,*,*,現代,38
205,10,小説,名詞,一般,*,*,小説,38
207,10,分岐点,名詞,固有名詞,一般,*,分岐点,41
210,10,具体的,名詞,固有名詞,一般,*,具体的,41
211,10,作家,名詞,一般,*,*,作家,38
212,10,名,名詞,接尾,一般,*,名,51
214,10,作品,名詞,一般,*,*,作品,38
216,10,事例,名詞,一般,*,*,事例,38
218,10,持っ,動詞,自立,*,*,持つ,31
220,10,説明,名詞,サ変接続,*,*,説明,36
224,10,出来る,動詞,自立,*,*,出来る,31
228,11,さまざま,名詞,形容動詞語幹,*,*,さまざま,40
230,11,作品,名詞,一般,*,*,作品,38
232,11,触れる,動詞,自立,*,*,触れる,31
236,11,小説,名詞,一般,*,*,小説,38
238,11,芸術,名詞,一般,*,*,芸術,38
241,11,親しみ,名詞,一般,*,*,親しみ,38
245,11,リスペクト,名詞,固有名詞,一般,*,RESPECT,41
248,11,醸成,名詞,サ変接続,*,*,醸成,36
254,12,講義,名詞,サ変接続,*,*,講義,36
256,12,履修,名詞,サ変接続,*,*,履修,36
261,12,次,名詞,一般,*,*,次,38
263,12,能力,名詞,一般,*,*,能力,38
265,12,習得,名詞,サ変接続,*,*,習得,36
270,13,小説,名詞,一般,*,*,小説,38
272,13,表現,名詞,サ変接続,*,*,表現,36
273,13,形式,名詞,一般,*,*,形式,38
276,13,進化,名詞,サ変接続,*,*,進化,36
278,13,流れ,名詞,一般,*,*,流れ,38
280,13,説明,名詞,サ変接続,*,*,説明,36
281,13,出来る,動詞,自立,*,*,出来る,31
285,14,近代,名詞,一般,*,*,近代,38
