,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
0,0,歴史,名詞,一般,*,*,歴史,38
1,0,主権,名詞,一般,*,*,主権,38
2,0,力,名詞,接尾,一般,*,力,51
3,0,協調,名詞,サ変接続,*,*,協調,36
4,0,冷戦,名詞,一般,*,*,冷戦,38
5,0,テロ,名詞,一般,*,*,テロ,38
6,0,歴史,名詞,一般,*,*,歴史,38
7,0,主権,名詞,一般,*,*,主権,38
8,0,力,名詞,接尾,一般,*,力,51
9,0,協調,名詞,サ変接続,*,*,協調,36
10,0,冷戦,名詞,一般,*,*,冷戦,38
11,0,テロ,名詞,一般,*,*,テロ,38
12,0,歴史,名詞,一般,*,*,歴史,38
13,0,主権,名詞,一般,*,*,主権,38
14,0,力,名詞,接尾,一般,*,力,51
15,0,協調,名詞,サ変接続,*,*,協調,36
16,0,冷戦,名詞,一般,*,*,冷戦,38
17,0,テロ,名詞,一般,*,*,テロ,38
18,0,国際関係,名詞,固有名詞,一般,*,国際関係,41
19,0,異文化,名詞,固有名詞,一般,*,異文化,41
21,0,政治経済,名詞,固有名詞,一般,*,政治・経済,41
22,0,コミュニケーション,名詞,一般,*,*,コミュニケーション,38
23,0,パックン,名詞,固有名詞,一般,*,パックン,41
24,0,歴史,名詞,一般,*,*,歴史,38
25,0,主権,名詞,一般,*,*,主権,38
26,0,力,名詞,接尾,一般,*,力,51
27,0,協調,名詞,サ変接続,*,*,協調,36
28,0,冷戦,名詞,一般,*,*,冷戦,38
29,0,テロ,名詞,一般,*,*,テロ,38
