,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
0,0,新聞,名詞,一般,*,*,新聞,38
2,0,雑誌,名詞,一般,*,*,雑誌,38
4,0,テレビ,名詞,一般,*,*,テレビ,38
6,0,ネット,名詞,一般,*,*,ネット,38
8,0,流れる,動詞,自立,*,*,流れる,31
9,0,さまざま,名詞,形容動詞語幹,*,*,さまざま,40
11,0,ニュース,名詞,一般,*,*,ニュース,38
13,0,理解,名詞,サ変接続,*,*,理解,36
16,0,なおかつ,副詞,一般,*,*,なおかつ,34
19,0,意味,名詞,サ変接続,*,*,意味,36
21,0,背景,名詞,一般,*,*,背景,38
23,0,独自,名詞,形容動詞語幹,*,*,独自,40
25,0,判断,名詞,サ変接続,*,*,判断,36
27,0,評価,名詞,サ変接続,*,*,評価,36
28,0,できる,動詞,自立,*,*,できる,31
29,0,能力,名詞,一般,*,*,能力,38
31,0,獲得,名詞,サ変接続,*,*,獲得,36
34,1,新聞,名詞,一般,*,*,新聞,38
36,1,雑誌,名詞,一般,*,*,雑誌,38
38,1,テレビ,名詞,一般,*,*,テレビ,38
40,1,ネット,名詞,一般,*,*,ネット,38
42,1,流れる,動詞,自立,*,*,流れる,31
43,1,さまざま,名詞,形容動詞語幹,*,*,さまざま,40
45,1,ニュース,名詞,一般,*,*,ニュース,38
47,1,理解,名詞,サ変接続,*,*,理解,36
50,1,なおかつ,副詞,一般,*,*,なおかつ,34
53,1,意味,名詞,サ変接続,*,*,意味,36
55,1,背景,名詞,一般,*,*,背景,38
57,1,独自,名詞,形容動詞語幹,*,*,独自,40
59,1,判断,名詞,サ変接続,*,*,判断,36
61,1,評価,名詞,サ変接続,*,*,評価,36
62,1,できる,動詞,自立,*,*,できる,31
63,1,能力,名詞,一般,*,*,能力,38
65,1,獲得,名詞,サ変接続,*,*,獲得,36
68,2,新聞,名詞,一般,*,*,新聞,38
70,2,雑誌,名詞,一般,*,*,雑誌,38
72,2,テレビ,名詞,一般,*,*,テレビ,38
74,2,ネット,名詞,一般,*,*,ネット,38
76,2,流れる,動詞,自立,*,*,流れる,31
77,2,さまざま,名詞,形容動詞語幹,*,*,さまざま,40
79,2,ニュース,名詞,一般,*,*,ニュース,38
81,2,理解,名詞,サ変接続,*,*,理解,36
84,2,なおかつ,副詞,一般,*,*,なおかつ,34
87,2,意味,名詞,サ変接続,*,*,意味,36
89,2,背景,名詞,一般,*,*,背景,38
91,2,独自,名詞,形容動詞語幹,*,*,独自,40
93,2,判断,名詞,サ変接続,*,*,判断,36
95,2,評価,名詞,サ変接続,*,*,評価,36
96,2,できる,動詞,自立,*,*,できる,31
97,2,能力,名詞,一般,*,*,能力,38
99,2,獲得,名詞,サ変接続,*,*,獲得,36
102,3,新聞,名詞,一般,*,*,新聞,38
104,3,雑誌,名詞,一般,*,*,雑誌,38
106,3,テレビ,名詞,一般,*,*,テレビ,38
108,3,ネット,名詞,一般,*,*,ネット,38
110,3,流れる,動詞,自立,*,*,流れる,31
111,3,さまざま,名詞,形容動詞語幹,*,*,さまざま,40
113,3,ニュース,名詞,一般,*,*,ニュース,38
115,3,理解,名詞,サ変接続,*,*,理解,36
118,3,なおかつ,副詞,一般,*,*,なおかつ,34
121,3,意味,名詞,サ変接続,*,*,意味,36
123,3,背景,名詞,一般,*,*,背景,38
125,3,独自,名詞,形容動詞語幹,*,*,独自,40
127,3,判断,名詞,サ変接続,*,*,判断,36
129,3,評価,名詞,サ変接続,*,*,評価,36
130,3,できる,動詞,自立,*,*,できる,31
131,3,能力,名詞,一般,*,*,能力,38
133,3,獲得,名詞,サ変接続,*,*,獲得,36
136,4,新聞,名詞,一般,*,*,新聞,38
138,4,雑誌,名詞,一般,*,*,雑誌,38
140,4,テレビ,名詞,一般,*,*,テレビ,38
142,4,ネット,名詞,一般,*,*,ネット,38
144,4,流れる,動詞,自立,*,*,流れる,31
145,4,さまざま,名詞,形容動詞語幹,*,*,さまざま,40
147,4,ニュース,名詞,一般,*,*,ニュース,38
149,4,理解,名詞,サ変接続,*,*,理解,36
152,4,なおかつ,副詞,一般,*,*,なおかつ,34
155,4,意味,名詞,サ変接続,*,*,意味,36
157,4,背景,名詞,一般,*,*,背景,38
159,4,独自,名詞,形容動詞語幹,*,*,独自,40
161,4,判断,名詞,サ変接続,*,*,判断,36
163,4,評価,名詞,サ変接続,*,*,評価,36
164,4,できる,動詞,自立,*,*,できる,31
165,4,能力,名詞,一般,*,*,能力,38
167,4,獲得,名詞,サ変接続,*,*,獲得,36
