,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
0,0,社会科学,名詞,固有名詞,一般,*,社会科学,41
1,0,系,名詞,接尾,一般,*,系,51
2,0,ゼミ,名詞,一般,*,*,ゼミ,38
4,0,法学,名詞,一般,*,*,法学,38
5,0,ゼミ,名詞,一般,*,*,ゼミ,38
8,0,社会科学,名詞,固有名詞,一般,*,社会科学,41
9,0,系,名詞,接尾,一般,*,系,51
10,0,ゼミ,名詞,一般,*,*,ゼミ,38
12,0,法学,名詞,一般,*,*,法学,38
13,0,ゼミ,名詞,一般,*,*,ゼミ,38
16,0,社会科学,名詞,固有名詞,一般,*,社会科学,41
17,0,系,名詞,接尾,一般,*,系,51
18,0,ゼミ,名詞,一般,*,*,ゼミ,38
20,0,法学,名詞,一般,*,*,法学,38
21,0,ゼミ,名詞,一般,*,*,ゼミ,38
24,0,社会科学,名詞,固有名詞,一般,*,社会科学,41
25,0,系,名詞,接尾,一般,*,系,51
26,0,ゼミ,名詞,一般,*,*,ゼミ,38
28,0,法学,名詞,一般,*,*,法学,38
29,0,ゼミ,名詞,一般,*,*,ゼミ,38
32,0,法学,名詞,一般,*,*,法学,38
34,0,民事,名詞,一般,*,*,民事,38
35,0,法,名詞,接尾,一般,*,法,51
38,0,法学,名詞,一般,*,*,法学,38
40,0,民事,名詞,一般,*,*,民事,38
41,0,法,名詞,接尾,一般,*,法,51
44,0,法学,名詞,一般,*,*,法学,38
46,0,民事,名詞,一般,*,*,民事,38
47,0,法,名詞,接尾,一般,*,法,51
49,0,知財,名詞,固有名詞,一般,*,知財,41
52,0,社会科学,名詞,固有名詞,一般,*,社会科学,41
53,0,系,名詞,接尾,一般,*,系,51
54,0,ゼミ,名詞,一般,*,*,ゼミ,38
56,0,法学,名詞,一般,*,*,法学,38
57,0,ゼミ,名詞,一般,*,*,ゼミ,38
60,0,社会科学,名詞,固有名詞,一般,*,社会科学,41
61,0,系,名詞,接尾,一般,*,系,51
62,0,ゼミ,名詞,一般,*,*,ゼミ,38
64,0,法学,名詞,一般,*,*,法学,38
65,0,ゼミ,名詞,一般,*,*,ゼミ,38
68,0,社会科学,名詞,固有名詞,一般,*,社会科学,41
