,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
0,0,身体,名詞,一般,*,*,身体,38
2,0,関連,名詞,サ変接続,*,*,関連,36
5,0,現象,名詞,一般,*,*,現象,38
7,0,背景,名詞,一般,*,*,背景,38
9,0,ある,動詞,自立,*,*,ある,31
10,0,様々,名詞,形容動詞語幹,*,*,様々,40
12,0,メカニズム,名詞,一般,*,*,メカニズム,38
14,0,理解,名詞,サ変接続,*,*,理解,36
17,0,科学,名詞,一般,*,*,科学,38
18,0,的,名詞,接尾,形容動詞語幹,*,的,52
20,0,観点,名詞,一般,*,*,観点,38
22,0,身体,名詞,一般,*,*,身体,38
24,0,動き,名詞,一般,*,*,動き,38
27,0,観察,名詞,サ変接続,*,*,観察,36
31,0,できる,動詞,自立,*,*,できる,31
33,0,身体,名詞,一般,*,*,身体,38
35,0,関連,名詞,サ変接続,*,*,関連,36
38,0,現象,名詞,一般,*,*,現象,38
40,0,背景,名詞,一般,*,*,背景,38
42,0,ある,動詞,自立,*,*,ある,31
43,0,様々,名詞,形容動詞語幹,*,*,様々,40
45,0,メカニズム,名詞,一般,*,*,メカニズム,38
47,0,理解,名詞,サ変接続,*,*,理解,36
50,0,科学,名詞,一般,*,*,科学,38
51,0,的,名詞,接尾,形容動詞語幹,*,的,52
53,0,観点,名詞,一般,*,*,観点,38
55,0,身体,名詞,一般,*,*,身体,38
57,0,動き,名詞,一般,*,*,動き,38
60,0,観察,名詞,サ変接続,*,*,観察,36
64,0,できる,動詞,自立,*,*,できる,31
66,0,身体,名詞,一般,*,*,身体,38
68,0,関連,名詞,サ変接続,*,*,関連,36
71,0,現象,名詞,一般,*,*,現象,38
73,0,背景,名詞,一般,*,*,背景,38
75,0,ある,動詞,自立,*,*,ある,31
76,0,様々,名詞,形容動詞語幹,*,*,様々,40
78,0,メカニズム,名詞,一般,*,*,メカニズム,38
80,0,理解,名詞,サ変接続,*,*,理解,36
83,0,科学,名詞,一般,*,*,科学,38
84,0,的,名詞,接尾,形容動詞語幹,*,的,52
86,0,観点,名詞,一般,*,*,観点,38
88,0,身体,名詞,一般,*,*,身体,38
90,0,動き,名詞,一般,*,*,動き,38
93,0,観察,名詞,サ変接続,*,*,観察,36
97,0,できる,動詞,自立,*,*,できる,31
99,0,身体,名詞,一般,*,*,身体,38
101,0,関連,名詞,サ変接続,*,*,関連,36
104,0,現象,名詞,一般,*,*,現象,38
106,0,背景,名詞,一般,*,*,背景,38
108,0,ある,動詞,自立,*,*,ある,31
109,0,様々,名詞,形容動詞語幹,*,*,様々,40
111,0,メカニズム,名詞,一般,*,*,メカニズム,38
113,0,理解,名詞,サ変接続,*,*,理解,36
116,0,科学,名詞,一般,*,*,科学,38
117,0,的,名詞,接尾,形容動詞語幹,*,的,52
119,0,観点,名詞,一般,*,*,観点,38
121,0,身体,名詞,一般,*,*,身体,38
123,0,動き,名詞,一般,*,*,動き,38
126,0,観察,名詞,サ変接続,*,*,観察,36
130,0,できる,動詞,自立,*,*,できる,31
132,0,身体,名詞,一般,*,*,身体,38
134,0,関連,名詞,サ変接続,*,*,関連,36
137,0,現象,名詞,一般,*,*,現象,38
139,0,背景,名詞,一般,*,*,背景,38
141,0,ある,動詞,自立,*,*,ある,31
142,0,様々,名詞,形容動詞語幹,*,*,様々,40
144,0,メカニズム,名詞,一般,*,*,メカニズム,38
146,0,理解,名詞,サ変接続,*,*,理解,36
149,0,科学,名詞,一般,*,*,科学,38
150,0,的,名詞,接尾,形容動詞語幹,*,的,52
152,0,観点,名詞,一般,*,*,観点,38
154,0,身体,名詞,一般,*,*,身体,38
156,0,動き,名詞,一般,*,*,動き,38
159,0,観察,名詞,サ変接続,*,*,観察,36
163,0,できる,動詞,自立,*,*,できる,31
