,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
0,0,ワーキングプア,名詞,固有名詞,一般,*,ワーキングプア,41
1,0,少子化,名詞,一般,*,*,少子化,38
2,0,高齢化,名詞,固有名詞,一般,*,高齢化,41
3,0,エネルギー,名詞,一般,*,*,エネルギー,38
4,0,ワーキングプア,名詞,固有名詞,一般,*,ワーキングプア,41
5,0,少子化,名詞,一般,*,*,少子化,38
6,0,高齢化,名詞,固有名詞,一般,*,高齢化,41
7,0,エネルギー,名詞,一般,*,*,エネルギー,38
8,0,ワーキングプア,名詞,固有名詞,一般,*,ワーキングプア,41
9,0,少子化,名詞,一般,*,*,少子化,38
10,0,高齢化,名詞,固有名詞,一般,*,高齢化,41
11,0,エネルギー,名詞,一般,*,*,エネルギー,38
12,0,ワーキングプア,名詞,固有名詞,一般,*,ワーキングプア,41
13,0,学習,名詞,サ変接続,*,*,学習,36
14,0,自然,名詞,形容動詞語幹,*,*,自然,40
15,0,援助,名詞,サ変接続,*,*,援助,36
