,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
0,0,読み物,名詞,一般,*,*,読み物,38
2,0,読ん,動詞,自立,*,*,読む,31
4,0,理解,名詞,サ変接続,*,*,理解,36
7,0,作者,名詞,一般,*,*,作者,38
9,0,意図,名詞,サ変接続,*,*,意図,36
11,0,読み取る,動詞,自立,*,*,読み取る,31
14,0,できる,動詞,自立,*,*,できる,31
16,1,自分,名詞,一般,*,*,自分,38
18,1,必要,名詞,形容動詞語幹,*,*,必要,40
22,1,関心,名詞,一般,*,*,関心,38
24,1,ある,動詞,自立,*,*,ある,31
26,1,読み物,名詞,一般,*,*,読み物,38
28,1,選び,動詞,自立,*,*,選ぶ,31
30,1,読ん,動詞,自立,*,*,読む,31
35,1,できる,動詞,自立,*,*,できる,31
38,2,内容,名詞,一般,*,*,内容,38
40,2,紹介,名詞,サ変接続,*,*,紹介,36
44,2,議論,名詞,サ変接続,*,*,議論,36
50,2,できる,動詞,自立,*,*,できる,31
52,3,読み物,名詞,一般,*,*,読み物,38
54,3,読ん,動詞,自立,*,*,読む,31
56,3,理解,名詞,サ変接続,*,*,理解,36
59,3,作者,名詞,一般,*,*,作者,38
61,3,意図,名詞,サ変接続,*,*,意図,36
63,3,読み取る,動詞,自立,*,*,読み取る,31
66,3,できる,動詞,自立,*,*,できる,31
68,4,自分,名詞,一般,*,*,自分,38
70,4,必要,名詞,形容動詞語幹,*,*,必要,40
74,4,関心,名詞,一般,*,*,関心,38
76,4,ある,動詞,自立,*,*,ある,31
78,4,読み物,名詞,一般,*,*,読み物,38
80,4,選び,動詞,自立,*,*,選ぶ,31
82,4,読ん,動詞,自立,*,*,読む,31
87,4,できる,動詞,自立,*,*,できる,31
90,5,内容,名詞,一般,*,*,内容,38
92,5,紹介,名詞,サ変接続,*,*,紹介,36
96,5,議論,名詞,サ変接続,*,*,議論,36
102,5,できる,動詞,自立,*,*,できる,31
104,6,JLPT,名詞,固有名詞,一般,*,JLPT,41
106,6,N２,名詞,固有名詞,一般,*,N2,41
107,6,レベル,名詞,一般,*,*,レベル,38
109,6,文法,名詞,一般,*,*,文法,38
110,6,項目,名詞,一般,*,*,項目,38
112,6,理解,名詞,サ変接続,*,*,理解,36
117,6,運用,名詞,サ変接続,*,*,運用,36
118,6,力,名詞,接尾,一般,*,力,51
120,6,育成,名詞,サ変接続,*,*,育成,36
122,6,目指す,動詞,自立,*,*,目指す,31
124,7,JLPT,名詞,固有名詞,一般,*,JLPT,41
126,7,N２,名詞,固有名詞,一般,*,N2,41
127,7,レベル,名詞,一般,*,*,レベル,38
129,7,文法,名詞,一般,*,*,文法,38
130,7,項目,名詞,一般,*,*,項目,38
132,7,理解,名詞,サ変接続,*,*,理解,36
137,7,運用,名詞,サ変接続,*,*,運用,36
138,7,力,名詞,接尾,一般,*,力,51
140,7,育成,名詞,サ変接続,*,*,育成,36
142,7,目指す,動詞,自立,*,*,目指す,31
