,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
0,0,外国,名詞,一般,*,*,外国,38
1,0,語,名詞,接尾,一般,*,語,51
4,0,招待,名詞,サ変接続,*,*,招待,36
6,0,外国,名詞,一般,*,*,外国,38
7,0,語,名詞,接尾,一般,*,語,51
10,0,招待,名詞,サ変接続,*,*,招待,36
12,0,外国,名詞,一般,*,*,外国,38
13,0,語,名詞,接尾,一般,*,語,51
16,0,招待,名詞,サ変接続,*,*,招待,36
18,0,外国,名詞,一般,*,*,外国,38
19,0,語,名詞,接尾,一般,*,語,51
22,0,招待,名詞,サ変接続,*,*,招待,36
24,0,外国,名詞,一般,*,*,外国,38
25,0,語,名詞,接尾,一般,*,語,51
28,0,招待,名詞,サ変接続,*,*,招待,36
30,0,外国,名詞,一般,*,*,外国,38
31,0,語,名詞,接尾,一般,*,語,51
34,0,招待,名詞,サ変接続,*,*,招待,36
36,0,外国,名詞,一般,*,*,外国,38
37,0,語,名詞,接尾,一般,*,語,51
40,0,招待,名詞,サ変接続,*,*,招待,36
42,0,外国,名詞,一般,*,*,外国,38
43,0,語,名詞,接尾,一般,*,語,51
46,0,招待,名詞,サ変接続,*,*,招待,36
48,0,外国,名詞,一般,*,*,外国,38
49,0,語,名詞,接尾,一般,*,語,51
52,0,招待,名詞,サ変接続,*,*,招待,36
54,0,外国,名詞,一般,*,*,外国,38
55,0,語,名詞,接尾,一般,*,語,51
58,0,招待,名詞,サ変接続,*,*,招待,36
60,0,外国,名詞,一般,*,*,外国,38
61,0,語,名詞,接尾,一般,*,語,51
64,0,招待,名詞,サ変接続,*,*,招待,36
66,0,外国,名詞,一般,*,*,外国,38
67,0,語,名詞,接尾,一般,*,語,51
70,0,招待,名詞,サ変接続,*,*,招待,36
72,0,外国,名詞,一般,*,*,外国,38
73,0,語,名詞,接尾,一般,*,語,51
76,0,招待,名詞,サ変接続,*,*,招待,36
78,0,外国,名詞,一般,*,*,外国,38
79,0,語,名詞,接尾,一般,*,語,51
82,0,招待,名詞,サ変接続,*,*,招待,36
84,0,外国,名詞,一般,*,*,外国,38
85,0,語,名詞,接尾,一般,*,語,51
88,0,招待,名詞,サ変接続,*,*,招待,36
90,0,外国,名詞,一般,*,*,外国,38
91,0,語,名詞,接尾,一般,*,語,51
94,0,招待,名詞,サ変接続,*,*,招待,36
96,0,外国,名詞,一般,*,*,外国,38
97,0,語,名詞,接尾,一般,*,語,51
100,0,招待,名詞,サ変接続,*,*,招待,36
102,0,外国,名詞,一般,*,*,外国,38
103,0,語,名詞,接尾,一般,*,語,51
106,0,招待,名詞,サ変接続,*,*,招待,36
108,0,外国,名詞,一般,*,*,外国,38
109,0,語,名詞,接尾,一般,*,語,51
112,0,招待,名詞,サ変接続,*,*,招待,36
114,0,外国,名詞,一般,*,*,外国,38
115,0,語,名詞,接尾,一般,*,語,51
118,0,招待,名詞,サ変接続,*,*,招待,36
120,0,外国,名詞,一般,*,*,外国,38
121,0,語,名詞,接尾,一般,*,語,51
124,0,招待,名詞,サ変接続,*,*,招待,36
126,0,外国,名詞,一般,*,*,外国,38
127,0,語,名詞,接尾,一般,*,語,51
130,0,招待,名詞,サ変接続,*,*,招待,36
132,0,外国,名詞,一般,*,*,外国,38
133,0,語,名詞,接尾,一般,*,語,51
136,0,招待,名詞,サ変接続,*,*,招待,36
138,0,外国,名詞,一般,*,*,外国,38
139,0,語,名詞,接尾,一般,*,語,51
142,0,招待,名詞,サ変接続,*,*,招待,36
144,0,外国,名詞,一般,*,*,外国,38
145,0,語,名詞,接尾,一般,*,語,51
148,0,招待,名詞,サ変接続,*,*,招待,36
150,0,外国,名詞,一般,*,*,外国,38
151,0,語,名詞,接尾,一般,*,語,51
154,0,招待,名詞,サ変接続,*,*,招待,36
156,0,外国,名詞,一般,*,*,外国,38
157,0,語,名詞,接尾,一般,*,語,51
160,0,招待,名詞,サ変接続,*,*,招待,36
162,0,外国,名詞,一般,*,*,外国,38
163,0,語,名詞,接尾,一般,*,語,51
166,0,招待,名詞,サ変接続,*,*,招待,36
168,0,外国,名詞,一般,*,*,外国,38
169,0,語,名詞,接尾,一般,*,語,51
172,0,招待,名詞,サ変接続,*,*,招待,36
174,0,外国,名詞,一般,*,*,外国,38
175,0,語,名詞,接尾,一般,*,語,51
178,0,招待,名詞,サ変接続,*,*,招待,36
180,0,外国,名詞,一般,*,*,外国,38
