,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
0,0,発音,名詞,サ変接続,*,*,発音,36
1,0,指導,名詞,サ変接続,*,*,指導,36
3,0,基本母音,名詞,固有名詞,一般,*,基本母音,41
5,0,練習,名詞,サ変接続,*,*,練習,36
6,0,発音,名詞,サ変接続,*,*,発音,36
7,0,指導,名詞,サ変接続,*,*,指導,36
9,0,複合,名詞,サ変接続,*,*,複合,36
10,0,母音,名詞,一般,*,*,母音,38
12,0,練習,名詞,サ変接続,*,*,練習,36
13,0,発音,名詞,サ変接続,*,*,発音,36
14,0,指導,名詞,サ変接続,*,*,指導,36
16,0,子音,名詞,一般,*,*,子音,38
18,0,練習,名詞,サ変接続,*,*,練習,36
19,0,発音,名詞,サ変接続,*,*,発音,36
21,0,復習,名詞,サ変接続,*,*,復習,36
23,0,挨拶,名詞,サ変接続,*,*,挨拶,36
25,0,挨拶,名詞,サ変接続,*,*,挨拶,36
26,0,言葉,名詞,一般,*,*,言葉,38
28,0,練習,名詞,サ変接続,*,*,練習,36
29,0,会話,名詞,サ変接続,*,*,会話,36
31,0,初対面,名詞,一般,*,*,初対面,38
33,0,挨拶,名詞,サ変接続,*,*,挨拶,36
34,0,自己紹介,名詞,固有名詞,一般,*,自己紹介,41
36,0,練習,名詞,サ変接続,*,*,練習,36
37,0,会話,名詞,サ変接続,*,*,会話,36
39,0,空港,名詞,一般,*,*,空港,38
41,0,出迎え,名詞,サ変接続,*,*,出迎え,36
44,0,動詞,名詞,一般,*,*,動詞,38
46,0,使い方,名詞,一般,*,*,使い方,38
47,0,会話,名詞,サ変接続,*,*,会話,36
49,0,スケジュール,名詞,一般,*,*,スケジュール,38
51,0,表現,名詞,サ変接続,*,*,表現,36
54,0,形容詞,名詞,一般,*,*,形容詞,38
56,0,使い方,名詞,一般,*,*,使い方,38
57,0,復習,名詞,サ変接続,*,*,復習,36
59,0,まとめ,動詞,自立,*,*,まとめる,31
62,0,テスト,名詞,サ変接続,*,*,テスト,36
63,0,発音,名詞,サ変接続,*,*,発音,36
64,0,指導,名詞,サ変接続,*,*,指導,36
66,0,基本母音,名詞,固有名詞,一般,*,基本母音,41
68,0,練習,名詞,サ変接続,*,*,練習,36
69,0,発音,名詞,サ変接続,*,*,発音,36
70,0,指導,名詞,サ変接続,*,*,指導,36
72,0,複合,名詞,サ変接続,*,*,複合,36
73,0,母音,名詞,一般,*,*,母音,38
75,0,練習,名詞,サ変接続,*,*,練習,36
76,0,発音,名詞,サ変接続,*,*,発音,36
77,0,指導,名詞,サ変接続,*,*,指導,36
79,0,子音,名詞,一般,*,*,子音,38
81,0,練習,名詞,サ変接続,*,*,練習,36
82,0,発音,名詞,サ変接続,*,*,発音,36
84,0,復習,名詞,サ変接続,*,*,復習,36
86,0,挨拶,名詞,サ変接続,*,*,挨拶,36
88,0,挨拶,名詞,サ変接続,*,*,挨拶,36
89,0,言葉,名詞,一般,*,*,言葉,38
91,0,練習,名詞,サ変接続,*,*,練習,36
92,0,会話,名詞,サ変接続,*,*,会話,36
94,0,初対面,名詞,一般,*,*,初対面,38
96,0,挨拶,名詞,サ変接続,*,*,挨拶,36
97,0,自己紹介,名詞,固有名詞,一般,*,自己紹介,41
99,0,練習,名詞,サ変接続,*,*,練習,36
