,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
1,0,計画,名詞,サ変接続,*,*,計画,36
3,0,教員,名詞,一般,*,*,教員,38
5,0,履修,名詞,サ変接続,*,*,履修,36
6,0,者,名詞,接尾,一般,*,者,51
8,0,協議,名詞,サ変接続,*,*,協議,36
11,0,決める,動詞,自立,*,*,決める,31
13,1,各回,名詞,一般,*,*,各回,38
17,1,指示,名詞,サ変接続,*,*,指示,36
21,2,計画,名詞,サ変接続,*,*,計画,36
23,2,教員,名詞,一般,*,*,教員,38
25,2,履修,名詞,サ変接続,*,*,履修,36
26,2,者,名詞,接尾,一般,*,者,51
28,2,協議,名詞,サ変接続,*,*,協議,36
31,2,決める,動詞,自立,*,*,決める,31
33,3,各回,名詞,一般,*,*,各回,38
37,3,指示,名詞,サ変接続,*,*,指示,36
41,4,計画,名詞,サ変接続,*,*,計画,36
43,4,教員,名詞,一般,*,*,教員,38
45,4,履修,名詞,サ変接続,*,*,履修,36
46,4,者,名詞,接尾,一般,*,者,51
48,4,協議,名詞,サ変接続,*,*,協議,36
51,4,決める,動詞,自立,*,*,決める,31
53,5,各回,名詞,一般,*,*,各回,38
57,5,指示,名詞,サ変接続,*,*,指示,36
61,6,計画,名詞,サ変接続,*,*,計画,36
63,6,教員,名詞,一般,*,*,教員,38
65,6,履修,名詞,サ変接続,*,*,履修,36
66,6,者,名詞,接尾,一般,*,者,51
68,6,協議,名詞,サ変接続,*,*,協議,36
71,6,決める,動詞,自立,*,*,決める,31
73,7,各回,名詞,一般,*,*,各回,38
77,7,指示,名詞,サ変接続,*,*,指示,36
81,8,計画,名詞,サ変接続,*,*,計画,36
83,8,教員,名詞,一般,*,*,教員,38
85,8,履修,名詞,サ変接続,*,*,履修,36
86,8,者,名詞,接尾,一般,*,者,51
88,8,協議,名詞,サ変接続,*,*,協議,36
91,8,決める,動詞,自立,*,*,決める,31
93,9,各回,名詞,一般,*,*,各回,38
97,9,指示,名詞,サ変接続,*,*,指示,36
