,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
0,0,前置詞,名詞,一般,*,*,前置詞,38
2,0,時間,名詞,副詞可能,*,*,時間,67
4,0,空間,名詞,一般,*,*,空間,38
6,0,関係,名詞,サ変接続,*,*,関係,36
8,0,内,名詞,接尾,一般,*,内,51
10,0,指示,名詞,サ変接続,*,*,指示,36
14,1,形容詞,名詞,一般,*,*,形容詞,38
16,1,変化,名詞,サ変接続,*,*,変化,36
18,1,副詞,名詞,一般,*,*,副詞,38
19,1,比較,名詞,サ変接続,*,*,比較,36
20,1,表現,名詞,サ変接続,*,*,表現,36
21,1,命令,名詞,サ変接続,*,*,命令,36
22,1,文,名詞,一般,*,*,文,38
23,1,話法,名詞,一般,*,*,話法,38
25,1,助動詞,名詞,一般,*,*,助動詞,38
26,1,接続詞,名詞,一般,*,*,接続詞,38
27,1,副文,名詞,一般,*,*,副文,38
28,1,作文,名詞,サ変接続,*,*,作文,36
30,1,読解,名詞,サ変接続,*,*,読解,36
31,1,入門,名詞,サ変接続,*,*,入門,36
32,1,前置詞,名詞,一般,*,*,前置詞,38
34,1,時間,名詞,副詞可能,*,*,時間,67
36,1,空間,名詞,一般,*,*,空間,38
38,1,関係,名詞,サ変接続,*,*,関係,36
40,1,内,名詞,接尾,一般,*,内,51
42,1,指示,名詞,サ変接続,*,*,指示,36
46,2,形容詞,名詞,一般,*,*,形容詞,38
48,2,変化,名詞,サ変接続,*,*,変化,36
50,2,副詞,名詞,一般,*,*,副詞,38
51,2,比較,名詞,サ変接続,*,*,比較,36
52,2,表現,名詞,サ変接続,*,*,表現,36
53,2,命令,名詞,サ変接続,*,*,命令,36
54,2,文,名詞,一般,*,*,文,38
55,2,話法,名詞,一般,*,*,話法,38
57,2,助動詞,名詞,一般,*,*,助動詞,38
58,2,接続詞,名詞,一般,*,*,接続詞,38
59,2,副文,名詞,一般,*,*,副文,38
60,2,作文,名詞,サ変接続,*,*,作文,36
62,2,読解,名詞,サ変接続,*,*,読解,36
63,2,入門,名詞,サ変接続,*,*,入門,36
64,2,前置詞,名詞,一般,*,*,前置詞,38
66,2,時間,名詞,副詞可能,*,*,時間,67
68,2,空間,名詞,一般,*,*,空間,38
70,2,関係,名詞,サ変接続,*,*,関係,36
72,2,内,名詞,接尾,一般,*,内,51
74,2,指示,名詞,サ変接続,*,*,指示,36
78,3,形容詞,名詞,一般,*,*,形容詞,38
80,3,変化,名詞,サ変接続,*,*,変化,36
82,3,副詞,名詞,一般,*,*,副詞,38
83,3,比較,名詞,サ変接続,*,*,比較,36
84,3,表現,名詞,サ変接続,*,*,表現,36
85,3,命令,名詞,サ変接続,*,*,命令,36
86,3,文,名詞,一般,*,*,文,38
87,3,話法,名詞,一般,*,*,話法,38
89,3,助動詞,名詞,一般,*,*,助動詞,38
90,3,接続詞,名詞,一般,*,*,接続詞,38
91,3,副文,名詞,一般,*,*,副文,38
92,3,作文,名詞,サ変接続,*,*,作文,36
94,3,読解,名詞,サ変接続,*,*,読解,36
95,3,入門,名詞,サ変接続,*,*,入門,36
96,3,前置詞,名詞,一般,*,*,前置詞,38
98,3,時間,名詞,副詞可能,*,*,時間,67
100,3,空間,名詞,一般,*,*,空間,38
102,3,関係,名詞,サ変接続,*,*,関係,36
104,3,内,名詞,接尾,一般,*,内,51
106,3,指示,名詞,サ変接続,*,*,指示,36
110,4,形容詞,名詞,一般,*,*,形容詞,38
112,4,変化,名詞,サ変接続,*,*,変化,36
114,4,副詞,名詞,一般,*,*,副詞,38
115,4,比較,名詞,サ変接続,*,*,比較,36
116,4,表現,名詞,サ変接続,*,*,表現,36
117,4,命令,名詞,サ変接続,*,*,命令,36
118,4,文,名詞,一般,*,*,文,38
119,4,話法,名詞,一般,*,*,話法,38
121,4,助動詞,名詞,一般,*,*,助動詞,38
122,4,接続詞,名詞,一般,*,*,接続詞,38
123,4,副文,名詞,一般,*,*,副文,38
124,4,作文,名詞,サ変接続,*,*,作文,36
126,4,読解,名詞,サ変接続,*,*,読解,36
127,4,入門,名詞,サ変接続,*,*,入門,36
128,4,前置詞,名詞,一般,*,*,前置詞,38
130,4,時間,名詞,副詞可能,*,*,時間,67
132,4,空間,名詞,一般,*,*,空間,38
134,4,関係,名詞,サ変接続,*,*,関係,36
136,4,内,名詞,接尾,一般,*,内,51
138,4,指示,名詞,サ変接続,*,*,指示,36
142,5,形容詞,名詞,一般,*,*,形容詞,38
144,5,変化,名詞,サ変接続,*,*,変化,36
146,5,副詞,名詞,一般,*,*,副詞,38
147,5,比較,名詞,サ変接続,*,*,比較,36
148,5,表現,名詞,サ変接続,*,*,表現,36
149,5,命令,名詞,サ変接続,*,*,命令,36
150,5,文,名詞,一般,*,*,文,38
151,5,話法,名詞,一般,*,*,話法,38
153,5,助動詞,名詞,一般,*,*,助動詞,38
154,5,接続詞,名詞,一般,*,*,接続詞,38
155,5,副文,名詞,一般,*,*,副文,38
156,5,作文,名詞,サ変接続,*,*,作文,36
158,5,読解,名詞,サ変接続,*,*,読解,36
159,5,入門,名詞,サ変接続,*,*,入門,36
160,5,前置詞,名詞,一般,*,*,前置詞,38
162,5,時間,名詞,副詞可能,*,*,時間,67
164,5,空間,名詞,一般,*,*,空間,38
166,5,関係,名詞,サ変接続,*,*,関係,36
168,5,内,名詞,接尾,一般,*,内,51
170,5,指示,名詞,サ変接続,*,*,指示,36
174,6,形容詞,名詞,一般,*,*,形容詞,38
176,6,変化,名詞,サ変接続,*,*,変化,36
178,6,副詞,名詞,一般,*,*,副詞,38
179,6,比較,名詞,サ変接続,*,*,比較,36
180,6,表現,名詞,サ変接続,*,*,表現,36
181,6,命令,名詞,サ変接続,*,*,命令,36
182,6,文,名詞,一般,*,*,文,38
183,6,話法,名詞,一般,*,*,話法,38
185,6,助動詞,名詞,一般,*,*,助動詞,38
186,6,接続詞,名詞,一般,*,*,接続詞,38
