,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
0,0,ドイツ語,名詞,一般,*,*,ドイツ語,38
2,0,ドイツ語圏,名詞,固有名詞,一般,*,ドイツ語圏,41
3,0,文化,名詞,一般,*,*,文化,38
4,0,事情,名詞,一般,*,*,事情,38
6,0,ドイツ語,名詞,一般,*,*,ドイツ語,38
7,0,文法,名詞,一般,*,*,文法,38
9,0,コミュニケーション能力,名詞,固有名詞,一般,*,コミュニケーション能力,41
11,0,国際,名詞,一般,*,*,国際,38
12,0,意識,名詞,サ変接続,*,*,意識,36
13,0,醸成,名詞,サ変接続,*,*,醸成,36
15,0,留学,名詞,サ変接続,*,*,留学,36
16,0,ドイツ語,名詞,一般,*,*,ドイツ語,38
18,0,ドイツ語圏,名詞,固有名詞,一般,*,ドイツ語圏,41
19,0,文化,名詞,一般,*,*,文化,38
20,0,事情,名詞,一般,*,*,事情,38
22,0,ドイツ語,名詞,一般,*,*,ドイツ語,38
23,0,文法,名詞,一般,*,*,文法,38
25,0,コミュニケーション能力,名詞,固有名詞,一般,*,コミュニケーション能力,41
27,0,国際,名詞,一般,*,*,国際,38
28,0,意識,名詞,サ変接続,*,*,意識,36
29,0,醸成,名詞,サ変接続,*,*,醸成,36
31,0,留学,名詞,サ変接続,*,*,留学,36
32,0,ドイツ語,名詞,一般,*,*,ドイツ語,38
34,0,ドイツ語圏,名詞,固有名詞,一般,*,ドイツ語圏,41
35,0,文化,名詞,一般,*,*,文化,38
36,0,事情,名詞,一般,*,*,事情,38
38,0,ドイツ語,名詞,一般,*,*,ドイツ語,38
39,0,文法,名詞,一般,*,*,文法,38
41,0,コミュニケーション能力,名詞,固有名詞,一般,*,コミュニケーション能力,41
43,0,国際,名詞,一般,*,*,国際,38
44,0,意識,名詞,サ変接続,*,*,意識,36
45,0,醸成,名詞,サ変接続,*,*,醸成,36
47,0,留学,名詞,サ変接続,*,*,留学,36
48,0,ドイツ語,名詞,一般,*,*,ドイツ語,38
50,0,ドイツ語圏,名詞,固有名詞,一般,*,ドイツ語圏,41
51,0,文化,名詞,一般,*,*,文化,38
52,0,事情,名詞,一般,*,*,事情,38
54,0,ドイツ語,名詞,一般,*,*,ドイツ語,38
55,0,文法,名詞,一般,*,*,文法,38
57,0,コミュニケーション能力,名詞,固有名詞,一般,*,コミュニケーション能力,41
59,0,国際,名詞,一般,*,*,国際,38
60,0,意識,名詞,サ変接続,*,*,意識,36
61,0,醸成,名詞,サ変接続,*,*,醸成,36
63,0,留学,名詞,サ変接続,*,*,留学,36
64,0,ドイツ語,名詞,一般,*,*,ドイツ語,38
66,0,ドイツ語圏,名詞,固有名詞,一般,*,ドイツ語圏,41
67,0,文化,名詞,一般,*,*,文化,38
68,0,事情,名詞,一般,*,*,事情,38
70,0,ドイツ語,名詞,一般,*,*,ドイツ語,38
71,0,文法,名詞,一般,*,*,文法,38
73,0,コミュニケーション能力,名詞,固有名詞,一般,*,コミュニケーション能力,41
75,0,国際,名詞,一般,*,*,国際,38
76,0,意識,名詞,サ変接続,*,*,意識,36
77,0,醸成,名詞,サ変接続,*,*,醸成,36
79,0,留学,名詞,サ変接続,*,*,留学,36
