,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
0,0,スペイン語,名詞,固有名詞,一般,*,スペイン語,41
1,0,初級,名詞,一般,*,*,初級,38
4,0,復習,名詞,サ変接続,*,*,復習,36
6,0,スペイン語,名詞,固有名詞,一般,*,スペイン語,41
9,0,進ん,動詞,自立,*,*,進む,31
11,0,あいさつ,名詞,サ変接続,*,*,あいさつ,36
14,0,指示,名詞,サ変接続,*,*,指示,36
17,0,規則動詞,名詞,固有名詞,一般,*,規則動詞,41
21,0,所有,名詞,サ変接続,*,*,所有,36
22,0,詞,名詞,一般,*,*,詞,38
24,0,指示,名詞,サ変接続,*,*,指示,36
25,0,詞,名詞,一般,*,*,詞,38
27,0,復習,名詞,サ変接続,*,*,復習,36
28,0,規則動詞,名詞,固有名詞,一般,*,規則動詞,41
32,0,目的格代名詞,名詞,固有名詞,一般,*,目的格代名詞,41
36,0,2人,名詞,固有名詞,一般,*,2人,41
37,0,称,名詞,サ変接続,*,*,称,36
39,0,理解度,名詞,固有名詞,一般,*,理解度,41
40,0,確認,名詞,サ変接続,*,*,確認,36
42,0,ため,名詞,非自立,副詞可能,*,ため,66
44,0,中間テスト,名詞,固有名詞,一般,*,中間テスト,41
46,0,規則動詞,名詞,固有名詞,一般,*,規則動詞,41
47,0,中心,名詞,一般,*,*,中心,38
50,0,内容,名詞,一般,*,*,内容,38
52,0,確認,名詞,サ変接続,*,*,確認,36
54,0,目的格代名詞,名詞,固有名詞,一般,*,目的格代名詞,41
56,0,3人,名詞,固有名詞,一般,*,3人,41
57,0,称,名詞,サ変接続,*,*,称,36
58,0,直接,名詞,副詞可能,*,*,直接,67
59,0,目的,名詞,一般,*,*,目的,38
60,0,格,名詞,接尾,一般,*,格,51
62,0,目的格代名詞,名詞,固有名詞,一般,*,目的格代名詞,41
64,0,3人,名詞,固有名詞,一般,*,3人,41
65,0,称,名詞,サ変接続,*,*,称,36
66,0,間接,名詞,一般,*,*,間接,38
67,0,目的,名詞,一般,*,*,目的,38
68,0,格,名詞,接尾,一般,*,格,51
71,0,目的,名詞,一般,*,*,目的,38
72,0,格,名詞,接尾,一般,*,格,51
74,0,代名詞,名詞,一般,*,*,代名詞,38
76,0,使っ,動詞,自立,*,*,使う,31
78,0,言い換え,名詞,一般,*,*,言い換え,38
79,0,動詞,名詞,一般,*,*,動詞,38
80,0,ir,名詞,固有名詞,一般,*,IR,41
84,0,使っ,動詞,自立,*,*,使う,31
86,0,助動詞,名詞,一般,*,*,助動詞,38
87,0,的,名詞,接尾,形容動詞語幹,*,的,52
88,0,表現,名詞,サ変接続,*,*,表現,36
91,0,復習,名詞,サ変接続,*,*,復習,36
92,0,期末テスト,名詞,固有名詞,一般,*,期末テスト,41
94,0,習熟,名詞,サ変接続,*,*,習熟,36
95,0,達成,名詞,サ変接続,*,*,達成,36
96,0,評価,名詞,サ変接続,*,*,評価,36
99,0,スペイン語,名詞,固有名詞,一般,*,スペイン語,41
100,0,圏,名詞,接尾,一般,*,圏,51
102,0,音楽,名詞,一般,*,*,音楽,38
103,0,スペイン語,名詞,固有名詞,一般,*,スペイン語,41
104,0,初級,名詞,一般,*,*,初級,38
107,0,復習,名詞,サ変接続,*,*,復習,36
109,0,スペイン語,名詞,固有名詞,一般,*,スペイン語,41
112,0,進ん,動詞,自立,*,*,進む,31
114,0,あいさつ,名詞,サ変接続,*,*,あいさつ,36
117,0,指示,名詞,サ変接続,*,*,指示,36
120,0,規則動詞,名詞,固有名詞,一般,*,規則動詞,41
124,0,所有,名詞,サ変接続,*,*,所有,36
125,0,詞,名詞,一般,*,*,詞,38
127,0,指示,名詞,サ変接続,*,*,指示,36
128,0,詞,名詞,一般,*,*,詞,38
130,0,復習,名詞,サ変接続,*,*,復習,36
131,0,規則動詞,名詞,固有名詞,一般,*,規則動詞,41
135,0,目的格代名詞,名詞,固有名詞,一般,*,目的格代名詞,41
139,0,2人,名詞,固有名詞,一般,*,2人,41
140,0,称,名詞,サ変接続,*,*,称,36
142,0,理解度,名詞,固有名詞,一般,*,理解度,41
143,0,確認,名詞,サ変接続,*,*,確認,36
145,0,ため,名詞,非自立,副詞可能,*,ため,66
147,0,中間テスト,名詞,固有名詞,一般,*,中間テスト,41
149,0,規則動詞,名詞,固有名詞,一般,*,規則動詞,41
150,0,中心,名詞,一般,*,*,中心,38
153,0,内容,名詞,一般,*,*,内容,38
155,0,確認,名詞,サ変接続,*,*,確認,36
157,0,目的格代名詞,名詞,固有名詞,一般,*,目的格代名詞,41
159,0,3人,名詞,固有名詞,一般,*,3人,41
160,0,称,名詞,サ変接続,*,*,称,36
161,0,直接,名詞,副詞可能,*,*,直接,67
162,0,目的,名詞,一般,*,*,目的,38
163,0,格,名詞,接尾,一般,*,格,51
