,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
0,0,宇宙,名詞,一般,*,*,宇宙,38
1,0,地球科学,名詞,固有名詞,一般,*,地球科学,41
3,0,宇宙,名詞,一般,*,*,宇宙,38
4,0,地球科学,名詞,固有名詞,一般,*,地球科学,41
5,0,基礎,名詞,一般,*,*,基礎,38
6,0,ラボ,名詞,一般,*,*,ラボ,38
8,0,地球,名詞,一般,*,*,地球,38
9,0,物質,名詞,一般,*,*,物質,38
11,0,宇宙,名詞,一般,*,*,宇宙,38
12,0,地球科学,名詞,固有名詞,一般,*,地球科学,41
13,0,基礎,名詞,一般,*,*,基礎,38
14,0,ラボ,名詞,一般,*,*,ラボ,38
16,0,天文,名詞,一般,*,*,天文,38
17,0,宇宙,名詞,一般,*,*,宇宙,38
19,0,宇宙,名詞,一般,*,*,宇宙,38
20,0,地球科学,名詞,固有名詞,一般,*,地球科学,41
22,0,宇宙,名詞,一般,*,*,宇宙,38
23,0,地球科学,名詞,固有名詞,一般,*,地球科学,41
25,0,宇宙,名詞,一般,*,*,宇宙,38
26,0,地球科学,名詞,固有名詞,一般,*,地球科学,41
27,0,基礎,名詞,一般,*,*,基礎,38
28,0,ラボ,名詞,一般,*,*,ラボ,38
30,0,地球,名詞,一般,*,*,地球,38
31,0,物質,名詞,一般,*,*,物質,38
33,0,宇宙,名詞,一般,*,*,宇宙,38
34,0,地球科学,名詞,固有名詞,一般,*,地球科学,41
35,0,基礎,名詞,一般,*,*,基礎,38
36,0,ラボ,名詞,一般,*,*,ラボ,38
38,0,天文,名詞,一般,*,*,天文,38
39,0,宇宙,名詞,一般,*,*,宇宙,38
41,0,宇宙,名詞,一般,*,*,宇宙,38
42,0,地球科学,名詞,固有名詞,一般,*,地球科学,41
44,0,宇宙,名詞,一般,*,*,宇宙,38
45,0,地球科学,名詞,固有名詞,一般,*,地球科学,41
47,0,宇宙,名詞,一般,*,*,宇宙,38
48,0,地球科学,名詞,固有名詞,一般,*,地球科学,41
49,0,基礎,名詞,一般,*,*,基礎,38
50,0,ラボ,名詞,一般,*,*,ラボ,38
52,0,地球,名詞,一般,*,*,地球,38
53,0,物質,名詞,一般,*,*,物質,38
55,0,宇宙,名詞,一般,*,*,宇宙,38
56,0,地球科学,名詞,固有名詞,一般,*,地球科学,41
57,0,基礎,名詞,一般,*,*,基礎,38
58,0,ラボ,名詞,一般,*,*,ラボ,38
60,0,天文,名詞,一般,*,*,天文,38
61,0,宇宙,名詞,一般,*,*,宇宙,38
63,0,宇宙,名詞,一般,*,*,宇宙,38
64,0,地球科学,名詞,固有名詞,一般,*,地球科学,41
66,0,宇宙,名詞,一般,*,*,宇宙,38
67,0,地球科学,名詞,固有名詞,一般,*,地球科学,41
69,0,宇宙,名詞,一般,*,*,宇宙,38
70,0,地球科学,名詞,固有名詞,一般,*,地球科学,41
71,0,基礎,名詞,一般,*,*,基礎,38
72,0,ラボ,名詞,一般,*,*,ラボ,38
74,0,地球,名詞,一般,*,*,地球,38
75,0,物質,名詞,一般,*,*,物質,38
77,0,宇宙,名詞,一般,*,*,宇宙,38
78,0,地球科学,名詞,固有名詞,一般,*,地球科学,41
79,0,基礎,名詞,一般,*,*,基礎,38
80,0,ラボ,名詞,一般,*,*,ラボ,38
82,0,天文,名詞,一般,*,*,天文,38
83,0,宇宙,名詞,一般,*,*,宇宙,38
85,0,宇宙,名詞,一般,*,*,宇宙,38
86,0,地球科学,名詞,固有名詞,一般,*,地球科学,41
88,0,宇宙,名詞,一般,*,*,宇宙,38
89,0,地球科学,名詞,固有名詞,一般,*,地球科学,41
91,0,宇宙,名詞,一般,*,*,宇宙,38
92,0,地球科学,名詞,固有名詞,一般,*,地球科学,41
93,0,基礎,名詞,一般,*,*,基礎,38
94,0,ラボ,名詞,一般,*,*,ラボ,38
96,0,地球,名詞,一般,*,*,地球,38
97,0,物質,名詞,一般,*,*,物質,38
99,0,宇宙,名詞,一般,*,*,宇宙,38
100,0,地球科学,名詞,固有名詞,一般,*,地球科学,41
101,0,基礎,名詞,一般,*,*,基礎,38
