,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
0,0,宇宙,名詞,一般,*,*,宇宙,38
1,0,地球科学,名詞,固有名詞,一般,*,地球科学,41
2,0,基礎,名詞,一般,*,*,基礎,38
3,0,ラボ,名詞,一般,*,*,ラボ,38
5,0,天文,名詞,一般,*,*,天文,38
6,0,宇宙,名詞,一般,*,*,宇宙,38
9,0,宇宙,名詞,一般,*,*,宇宙,38
10,0,地球科学,名詞,固有名詞,一般,*,地球科学,41
11,0,基礎,名詞,一般,*,*,基礎,38
12,0,ラボ,名詞,一般,*,*,ラボ,38
14,0,天文,名詞,一般,*,*,天文,38
15,0,宇宙,名詞,一般,*,*,宇宙,38
18,0,宇宙,名詞,一般,*,*,宇宙,38
19,0,地球科学,名詞,固有名詞,一般,*,地球科学,41
20,0,基礎,名詞,一般,*,*,基礎,38
21,0,ラボ,名詞,一般,*,*,ラボ,38
23,0,天文,名詞,一般,*,*,天文,38
24,0,宇宙,名詞,一般,*,*,宇宙,38
27,0,宇宙,名詞,一般,*,*,宇宙,38
28,0,地球科学,名詞,固有名詞,一般,*,地球科学,41
29,0,基礎,名詞,一般,*,*,基礎,38
30,0,ラボ,名詞,一般,*,*,ラボ,38
32,0,天文,名詞,一般,*,*,天文,38
33,0,宇宙,名詞,一般,*,*,宇宙,38
35,0,宇宙,名詞,一般,*,*,宇宙,38
36,0,地球科学,名詞,固有名詞,一般,*,地球科学,41
37,0,基礎,名詞,一般,*,*,基礎,38
38,0,ラボ,名詞,一般,*,*,ラボ,38
40,0,天文,名詞,一般,*,*,天文,38
41,0,宇宙,名詞,一般,*,*,宇宙,38
