,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
3,0,点,名詞,接尾,一般,*,点,51
5,0,直線,名詞,一般,*,*,直線,38
7,0,投影,名詞,サ変接続,*,*,投影,36
8,0,教科書,名詞,一般,*,*,教科書,38
10,0,pp,名詞,固有名詞,一般,*,PP,41
13,0,-2,名詞,固有名詞,一般,*,−2,41
15,0,演習,名詞,サ変接続,*,*,演習,36
16,0,配布,名詞,サ変接続,*,*,配布,36
17,0,資料,名詞,一般,*,*,資料,38
18,0,第2章,名詞,固有名詞,一般,*,第2章,41
19,0,点,名詞,接尾,一般,*,点,51
21,0,直線,名詞,一般,*,*,直線,38
23,0,基礎的,名詞,固有名詞,一般,*,基礎的,41
24,0,作図,名詞,サ変接続,*,*,作図,36
25,0,教科書,名詞,一般,*,*,教科書,38
27,0,pp,名詞,固有名詞,一般,*,PP,41
30,0,-3,名詞,固有名詞,一般,*,−3,41
32,0,演習,名詞,サ変接続,*,*,演習,36
33,0,配布,名詞,サ変接続,*,*,配布,36
34,0,資料,名詞,一般,*,*,資料,38
38,0,平面,名詞,一般,*,*,平面,38
40,0,投,名詞,一般,*,*,投,38
41,0,象,名詞,一般,*,*,象,38
42,0,教科書,名詞,一般,*,*,教科書,38
44,0,pp,名詞,固有名詞,一般,*,PP,41
47,0,-4,名詞,固有名詞,一般,*,−4,41
49,0,演習,名詞,サ変接続,*,*,演習,36
50,0,配布,名詞,サ変接続,*,*,配布,36
51,0,資料,名詞,一般,*,*,資料,38
55,0,平面,名詞,一般,*,*,平面,38
57,0,基礎的,名詞,固有名詞,一般,*,基礎的,41
58,0,作図,名詞,サ変接続,*,*,作図,36
63,0,-4,名詞,固有名詞,一般,*,−4,41
66,0,教科書,名詞,一般,*,*,教科書,38
68,0,pp,名詞,固有名詞,一般,*,PP,41
73,0,演習,名詞,サ変接続,*,*,演習,36
74,0,配布,名詞,サ変接続,*,*,配布,36
75,0,資料,名詞,一般,*,*,資料,38
79,0,平面,名詞,一般,*,*,平面,38
81,0,基礎的,名詞,固有名詞,一般,*,基礎的,41
82,0,作図,名詞,サ変接続,*,*,作図,36
87,0,-4,名詞,固有名詞,一般,*,−4,41
90,0,教科書,名詞,一般,*,*,教科書,38
92,0,pp,名詞,固有名詞,一般,*,PP,41
97,0,演習,名詞,サ変接続,*,*,演習,36
98,0,配布,名詞,サ変接続,*,*,配布,36
99,0,資料,名詞,一般,*,*,資料,38
103,0,曲面,名詞,一般,*,*,曲面,38
105,0,構成,名詞,サ変接続,*,*,構成,36
107,0,投,名詞,一般,*,*,投,38
108,0,象,名詞,一般,*,*,象,38
109,0,教科書,名詞,一般,*,*,教科書,38
111,0,pp,名詞,固有名詞,一般,*,PP,41
116,0,演習,名詞,サ変接続,*,*,演習,36
117,0,配布,名詞,サ変接続,*,*,配布,36
118,0,資料,名詞,一般,*,*,資料,38
122,0,面,名詞,接尾,一般,*,面,51
124,0,展開,名詞,サ変接続,*,*,展開,36
128,1,立体,名詞,一般,*,*,立体,38
130,1,切断,名詞,サ変接続,*,*,切断,36
131,1,教科書,名詞,一般,*,*,教科書,38
133,1,pp,名詞,固有名詞,一般,*,PP,41
136,1,-1,名詞,固有名詞,一般,*,−1,41
138,1,演習,名詞,サ変接続,*,*,演習,36
139,1,配布,名詞,サ変接続,*,*,配布,36
140,1,資料,名詞,一般,*,*,資料,38
141,1,まとめ,動詞,自立,*,*,まとめる,31
145,1,点,名詞,接尾,一般,*,点,51
147,1,直線,名詞,一般,*,*,直線,38
149,1,投影,名詞,サ変接続,*,*,投影,36
150,1,教科書,名詞,一般,*,*,教科書,38
