,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
2,0,講義,名詞,サ変接続,*,*,講義,36
4,0,履修,名詞,サ変接続,*,*,履修,36
8,0,次,名詞,一般,*,*,次,38
10,0,能力,名詞,一般,*,*,能力,38
12,0,修得,名詞,サ変接続,*,*,修得,36
17,1,空間,名詞,一般,*,*,空間,38
18,1,図形,名詞,一般,*,*,図形,38
20,1,具体,名詞,一般,*,*,具体,38
21,1,的,名詞,接尾,形容動詞語幹,*,的,52
23,1,表現,名詞,サ変接続,*,*,表現,36
24,1,技術,名詞,一般,*,*,技術,38
27,1,工学,名詞,一般,*,*,工学,38
28,1,製図,名詞,サ変接続,*,*,製図,36
30,1,基本,名詞,一般,*,*,基本,38
33,1,的確,名詞,形容動詞語幹,*,*,的確,40
35,1,解法,名詞,一般,*,*,解法,38
37,1,用い,動詞,自立,*,*,用いる,31
39,1,正確,名詞,形容動詞語幹,*,*,正確,40
41,1,美しく,形容詞,自立,*,*,美しい,10
42,1,図面,名詞,一般,*,*,図面,38
44,1,描く,動詞,自立,*,*,描く,31
48,1,講義,名詞,サ変接続,*,*,講義,36
50,1,履修,名詞,サ変接続,*,*,履修,36
54,1,次,名詞,一般,*,*,次,38
56,1,能力,名詞,一般,*,*,能力,38
58,1,修得,名詞,サ変接続,*,*,修得,36
63,2,空間,名詞,一般,*,*,空間,38
64,2,図形,名詞,一般,*,*,図形,38
66,2,具体,名詞,一般,*,*,具体,38
67,2,的,名詞,接尾,形容動詞語幹,*,的,52
69,2,表現,名詞,サ変接続,*,*,表現,36
70,2,技術,名詞,一般,*,*,技術,38
73,2,工学,名詞,一般,*,*,工学,38
74,2,製図,名詞,サ変接続,*,*,製図,36
76,2,基本,名詞,一般,*,*,基本,38
79,2,的確,名詞,形容動詞語幹,*,*,的確,40
81,2,解法,名詞,一般,*,*,解法,38
83,2,用い,動詞,自立,*,*,用いる,31
85,2,正確,名詞,形容動詞語幹,*,*,正確,40
87,2,美しく,形容詞,自立,*,*,美しい,10
88,2,図面,名詞,一般,*,*,図面,38
90,2,描く,動詞,自立,*,*,描く,31
94,2,講義,名詞,サ変接続,*,*,講義,36
96,2,履修,名詞,サ変接続,*,*,履修,36
100,2,次,名詞,一般,*,*,次,38
102,2,能力,名詞,一般,*,*,能力,38
104,2,修得,名詞,サ変接続,*,*,修得,36
109,3,空間,名詞,一般,*,*,空間,38
110,3,図形,名詞,一般,*,*,図形,38
112,3,具体,名詞,一般,*,*,具体,38
113,3,的,名詞,接尾,形容動詞語幹,*,的,52
115,3,表現,名詞,サ変接続,*,*,表現,36
116,3,技術,名詞,一般,*,*,技術,38
119,3,工学,名詞,一般,*,*,工学,38
120,3,製図,名詞,サ変接続,*,*,製図,36
122,3,基本,名詞,一般,*,*,基本,38
125,3,的確,名詞,形容動詞語幹,*,*,的確,40
127,3,解法,名詞,一般,*,*,解法,38
129,3,用い,動詞,自立,*,*,用いる,31
131,3,正確,名詞,形容動詞語幹,*,*,正確,40
133,3,美しく,形容詞,自立,*,*,美しい,10
134,3,図面,名詞,一般,*,*,図面,38
136,3,描く,動詞,自立,*,*,描く,31
140,3,講義,名詞,サ変接続,*,*,講義,36
142,3,履修,名詞,サ変接続,*,*,履修,36
146,3,次,名詞,一般,*,*,次,38
148,3,能力,名詞,一般,*,*,能力,38
150,3,修得,名詞,サ変接続,*,*,修得,36
155,4,空間,名詞,一般,*,*,空間,38
156,4,図形,名詞,一般,*,*,図形,38
158,4,具体,名詞,一般,*,*,具体,38
159,4,的,名詞,接尾,形容動詞語幹,*,的,52
161,4,表現,名詞,サ変接続,*,*,表現,36
162,4,技術,名詞,一般,*,*,技術,38
165,4,工学,名詞,一般,*,*,工学,38
166,4,製図,名詞,サ変接続,*,*,製図,36
168,4,基本,名詞,一般,*,*,基本,38
171,4,的確,名詞,形容動詞語幹,*,*,的確,40
173,4,解法,名詞,一般,*,*,解法,38
175,4,用い,動詞,自立,*,*,用いる,31
177,4,正確,名詞,形容動詞語幹,*,*,正確,40
179,4,美しく,形容詞,自立,*,*,美しい,10
180,4,図面,名詞,一般,*,*,図面,38
182,4,描く,動詞,自立,*,*,描く,31
186,4,講義,名詞,サ変接続,*,*,講義,36
188,4,履修,名詞,サ変接続,*,*,履修,36
192,4,次,名詞,一般,*,*,次,38
194,4,能力,名詞,一般,*,*,能力,38
196,4,修得,名詞,サ変接続,*,*,修得,36
201,5,空間,名詞,一般,*,*,空間,38
202,5,図形,名詞,一般,*,*,図形,38
204,5,具体,名詞,一般,*,*,具体,38
205,5,的,名詞,接尾,形容動詞語幹,*,的,52
207,5,表現,名詞,サ変接続,*,*,表現,36
208,5,技術,名詞,一般,*,*,技術,38
211,5,工学,名詞,一般,*,*,工学,38
212,5,製図,名詞,サ変接続,*,*,製図,36
214,5,基本,名詞,一般,*,*,基本,38
217,5,的確,名詞,形容動詞語幹,*,*,的確,40
219,5,解法,名詞,一般,*,*,解法,38
221,5,用い,動詞,自立,*,*,用いる,31
223,5,正確,名詞,形容動詞語幹,*,*,正確,40
225,5,美しく,形容詞,自立,*,*,美しい,10
226,5,図面,名詞,一般,*,*,図面,38
228,5,描く,動詞,自立,*,*,描く,31
