,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
0,0,三次元,名詞,一般,*,*,三次元,38
1,0,立体,名詞,一般,*,*,立体,38
2,0,曲面,名詞,一般,*,*,曲面,38
3,0,多面体,名詞,一般,*,*,多面体,38
4,0,補間,名詞,サ変接続,*,*,補間,36
5,0,座標,名詞,一般,*,*,座標,38
6,0,変換,名詞,サ変接続,*,*,変換,36
7,0,三次元,名詞,一般,*,*,三次元,38
8,0,立体,名詞,一般,*,*,立体,38
9,0,曲面,名詞,一般,*,*,曲面,38
10,0,多面体,名詞,一般,*,*,多面体,38
11,0,補間,名詞,サ変接続,*,*,補間,36
12,0,座標,名詞,一般,*,*,座標,38
13,0,変換,名詞,サ変接続,*,*,変換,36
14,0,三次元,名詞,一般,*,*,三次元,38
15,0,立体,名詞,一般,*,*,立体,38
16,0,曲面,名詞,一般,*,*,曲面,38
17,0,多面体,名詞,一般,*,*,多面体,38
18,0,補間,名詞,サ変接続,*,*,補間,36
19,0,座標,名詞,一般,*,*,座標,38
20,0,変換,名詞,サ変接続,*,*,変換,36
