,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
0,0,図学,名詞,一般,*,*,図学,38
2,0,図形,名詞,一般,*,*,図形,38
3,0,科学,名詞,一般,*,*,科学,38
5,0,図学,名詞,一般,*,*,図学,38
7,0,図形,名詞,一般,*,*,図形,38
8,0,科学,名詞,一般,*,*,科学,38
10,0,図学,名詞,一般,*,*,図学,38
12,0,図形,名詞,一般,*,*,図形,38
13,0,科学,名詞,一般,*,*,科学,38
15,0,図学,名詞,一般,*,*,図学,38
17,0,図形,名詞,一般,*,*,図形,38
18,0,科学,名詞,一般,*,*,科学,38
20,0,図学,名詞,一般,*,*,図学,38
22,0,図形,名詞,一般,*,*,図形,38
23,0,科学,名詞,一般,*,*,科学,38
25,0,図学,名詞,一般,*,*,図学,38
27,0,図形,名詞,一般,*,*,図形,38
28,0,科学,名詞,一般,*,*,科学,38
30,0,図学,名詞,一般,*,*,図学,38
32,0,図形,名詞,一般,*,*,図形,38
33,0,科学,名詞,一般,*,*,科学,38
35,0,図学,名詞,一般,*,*,図学,38
37,0,図形,名詞,一般,*,*,図形,38
38,0,科学,名詞,一般,*,*,科学,38
40,0,図学,名詞,一般,*,*,図学,38
42,0,図形,名詞,一般,*,*,図形,38
43,0,科学,名詞,一般,*,*,科学,38
45,0,図学,名詞,一般,*,*,図学,38
47,0,図形,名詞,一般,*,*,図形,38
48,0,科学,名詞,一般,*,*,科学,38
50,0,図学,名詞,一般,*,*,図学,38
52,0,図形,名詞,一般,*,*,図形,38
53,0,科学,名詞,一般,*,*,科学,38
55,0,図学,名詞,一般,*,*,図学,38
57,0,図形,名詞,一般,*,*,図形,38
58,0,科学,名詞,一般,*,*,科学,38
