,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
0,0,地球環境問題,名詞,固有名詞,一般,*,地球環境問題,41
2,0,概観,名詞,サ変接続,*,*,概観,36
4,0,日野出,名詞,固有名詞,人名,姓,日野出,43
6,0,洋文,名詞,固有名詞,人名,名,洋文,44
8,0,地球温暖化,名詞,固有名詞,一般,*,地球温暖化,41
11,0,現代,名詞,一般,*,*,現代,38
13,0,地球環境問題,名詞,固有名詞,一般,*,地球環境問題,41
15,0,特徴,名詞,一般,*,*,特徴,38
17,0,理解,名詞,サ変接続,*,*,理解,36
20,1,触媒,名詞,一般,*,*,触媒,38
22,1,環境,名詞,一般,*,*,環境,38
24,1,小松,名詞,固有名詞,人名,姓,小松,43
26,1,隆之,名詞,固有名詞,人名,名,隆之,44
28,1,環境,名詞,一般,*,*,環境,38
30,1,安全,名詞,形容動詞語幹,*,*,安全,40
32,1,配慮,名詞,サ変接続,*,*,配慮,36
36,1,作り,名詞,接尾,一般,*,作り,51
39,1,現状,名詞,一般,*,*,現状,38
41,1,把握,名詞,サ変接続,*,*,把握,36
44,2,環境アセスメント,名詞,固有名詞,一般,*,環境アセスメント,41
46,2,古郡,名詞,固有名詞,地域,一般,古郡,46
48,2,ゆう子,名詞,固有名詞,人名,名,ゆう子,44
50,2,現代,名詞,一般,*,*,現代,38
52,2,環境問題,名詞,固有名詞,一般,*,環境問題,41
53,2,対策,名詞,サ変接続,*,*,対策,36
55,2,環境アセスメント,名詞,固有名詞,一般,*,環境アセスメント,41
56,2,方法,名詞,一般,*,*,方法,38
58,2,理解,名詞,サ変接続,*,*,理解,36
61,3,化学物質,名詞,固有名詞,一般,*,化学物質,41
62,3,リスクアセスメント,名詞,固有名詞,一般,*,リスクアセスメント,41
64,3,篠原,名詞,固有名詞,人名,姓,篠原,43
66,3,直秀,名詞,固有名詞,人名,名,直秀,44
68,3,化学物質,名詞,固有名詞,一般,*,化学物質,41
69,3,リスクアセスメント,名詞,固有名詞,一般,*,リスクアセスメント,41
71,3,理解,名詞,サ変接続,*,*,理解,36
74,4,化学物質,名詞,固有名詞,一般,*,化学物質,41
76,4,人体,名詞,一般,*,*,人体,38
77,4,影響,名詞,サ変接続,*,*,影響,36
79,4,杉山,名詞,固有名詞,人名,姓,杉山,43
81,4,千歳,名詞,固有名詞,地域,一般,千歳,46
