,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
0,0,情報,名詞,一般,*,*,情報,38
1,0,リテラシ,名詞,固有名詞,一般,*,リテラシ,41
2,0,情報,名詞,一般,*,*,情報,38
3,0,リテラシ,名詞,固有名詞,一般,*,リテラシ,41
4,0,情報,名詞,一般,*,*,情報,38
5,0,リテラシ,名詞,固有名詞,一般,*,リテラシ,41
6,0,情報,名詞,一般,*,*,情報,38
7,0,リテラシ,名詞,固有名詞,一般,*,リテラシ,41
8,0,情報,名詞,一般,*,*,情報,38
9,0,リテラシ,名詞,固有名詞,一般,*,リテラシ,41
10,0,情報,名詞,一般,*,*,情報,38
11,0,リテラシ,名詞,固有名詞,一般,*,リテラシ,41
12,0,情報,名詞,一般,*,*,情報,38
13,0,リテラシ,名詞,固有名詞,一般,*,リテラシ,41
14,0,情報,名詞,一般,*,*,情報,38
15,0,リテラシ,名詞,固有名詞,一般,*,リテラシ,41
16,0,情報,名詞,一般,*,*,情報,38
17,0,リテラシ,名詞,固有名詞,一般,*,リテラシ,41
18,0,情報,名詞,一般,*,*,情報,38
19,0,リテラシ,名詞,固有名詞,一般,*,リテラシ,41
20,0,情報,名詞,一般,*,*,情報,38
21,0,リテラシ,名詞,固有名詞,一般,*,リテラシ,41
22,0,情報,名詞,一般,*,*,情報,38
23,0,リテラシ,名詞,固有名詞,一般,*,リテラシ,41
24,0,情報,名詞,一般,*,*,情報,38
25,0,リテラシ,名詞,固有名詞,一般,*,リテラシ,41
26,0,情報,名詞,一般,*,*,情報,38
27,0,リテラシ,名詞,固有名詞,一般,*,リテラシ,41
28,0,情報,名詞,一般,*,*,情報,38
29,0,リテラシ,名詞,固有名詞,一般,*,リテラシ,41
30,0,情報,名詞,一般,*,*,情報,38
31,0,リテラシ,名詞,固有名詞,一般,*,リテラシ,41
32,0,情報,名詞,一般,*,*,情報,38
33,0,リテラシ,名詞,固有名詞,一般,*,リテラシ,41
34,0,情報,名詞,一般,*,*,情報,38
35,0,リテラシ,名詞,固有名詞,一般,*,リテラシ,41
36,0,情報,名詞,一般,*,*,情報,38
37,0,リテラシ,名詞,固有名詞,一般,*,リテラシ,41
38,0,情報,名詞,一般,*,*,情報,38
39,0,リテラシ,名詞,固有名詞,一般,*,リテラシ,41
40,0,情報,名詞,一般,*,*,情報,38
41,0,リテラシ,名詞,固有名詞,一般,*,リテラシ,41
42,0,情報,名詞,一般,*,*,情報,38
43,0,リテラシ,名詞,固有名詞,一般,*,リテラシ,41
44,0,情報,名詞,一般,*,*,情報,38
45,0,リテラシ,名詞,固有名詞,一般,*,リテラシ,41
46,0,情報,名詞,一般,*,*,情報,38
47,0,リテラシ,名詞,固有名詞,一般,*,リテラシ,41
