,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
1,0,講義,名詞,サ変接続,*,*,講義,36
3,0,履修,名詞,サ変接続,*,*,履修,36
8,0,以下,名詞,非自立,副詞可能,*,以下,66
10,0,知識,名詞,一般,*,*,知識,38
12,0,能力,名詞,一般,*,*,能力,38
14,0,修得,名詞,サ変接続,*,*,修得,36
19,1,加速度,名詞,一般,*,*,加速度,38
20,1,運動,名詞,サ変接続,*,*,運動,36
23,1,座標,名詞,一般,*,*,座標,38
24,1,系,名詞,接尾,一般,*,系,51
27,1,慣性,名詞,一般,*,*,慣性,38
28,1,力,名詞,接尾,一般,*,力,51
30,1,コリオリ力,名詞,固有名詞,一般,*,コリオリ力,41
32,1,遠心力,名詞,固有名詞,一般,*,遠心力,41
35,1,概念,名詞,一般,*,*,概念,38
37,1,正しく,形容詞,自立,*,*,正しい,10
38,1,理解,名詞,サ変接続,*,*,理解,36
41,1,数学,名詞,一般,*,*,数学,38
42,1,的,名詞,接尾,形容動詞語幹,*,的,52
44,1,表現,名詞,サ変接続,*,*,表現,36
45,1,できる,動詞,自立,*,*,できる,31
49,2,質点,名詞,一般,*,*,質点,38
50,2,系,名詞,接尾,一般,*,系,51
52,2,運動量,名詞,固有名詞,一般,*,運動量,41
54,2,角運動量,名詞,固有名詞,一般,*,角運動量,41
56,2,エネルギー,名詞,一般,*,*,エネルギー,38
59,2,概念,名詞,一般,*,*,概念,38
61,2,剛体,名詞,一般,*,*,剛体,38
63,2,質量,名詞,一般,*,*,質量,38
64,2,中心,名詞,一般,*,*,中心,38
66,2,慣性モーメント,名詞,固有名詞,一般,*,慣性モーメント,41
70,2,概念,名詞,一般,*,*,概念,38
72,2,正しく,形容詞,自立,*,*,正しい,10
73,2,理解,名詞,サ変接続,*,*,理解,36
76,2,数学,名詞,一般,*,*,数学,38
77,2,的,名詞,接尾,形容動詞語幹,*,的,52
79,2,表現,名詞,サ変接続,*,*,表現,36
80,2,できる,動詞,自立,*,*,できる,31
84,3,剛体,名詞,一般,*,*,剛体,38
86,3,運動,名詞,サ変接続,*,*,運動,36
88,3,つり合い,動詞,自立,*,*,つり合う,31
90,3,正しく,形容詞,自立,*,*,正しい,10
91,3,理解,名詞,サ変接続,*,*,理解,36
96,3,力学,名詞,一般,*,*,力学,38
97,3,問題,名詞,ナイ形容詞語幹,*,*,問題,37
99,3,応用,名詞,サ変接続,*,*,応用,36
100,3,できる,動詞,自立,*,*,できる,31
104,4,方程式,名詞,一般,*,*,方程式,38
106,4,表さ,動詞,自立,*,*,表す,31
109,4,力学,名詞,一般,*,*,力学,38
110,4,問題,名詞,ナイ形容詞語幹,*,*,問題,37
112,4,数学,名詞,一般,*,*,数学,38
113,4,的,名詞,接尾,形容動詞語幹,*,的,52
114,4,解,名詞,サ変接続,*,*,解,36
116,4,求める,動詞,自立,*,*,求める,31
119,4,でき,動詞,自立,*,*,できる,31
121,4,数学,名詞,一般,*,*,数学,38
122,4,的,名詞,接尾,形容動詞語幹,*,的,52
123,4,解,名詞,サ変接続,*,*,解,36
125,4,意味,名詞,サ変接続,*,*,意味,36
127,4,物理,名詞,一般,*,*,物理,38
129,4,説明,名詞,サ変接続,*,*,説明,36
130,4,できる,動詞,自立,*,*,できる,31
133,5,講義,名詞,サ変接続,*,*,講義,36
135,5,履修,名詞,サ変接続,*,*,履修,36
140,5,以下,名詞,非自立,副詞可能,*,以下,66
142,5,知識,名詞,一般,*,*,知識,38
144,5,能力,名詞,一般,*,*,能力,38
146,5,修得,名詞,サ変接続,*,*,修得,36
151,6,加速度,名詞,一般,*,*,加速度,38
152,6,運動,名詞,サ変接続,*,*,運動,36
155,6,座標,名詞,一般,*,*,座標,38
156,6,系,名詞,接尾,一般,*,系,51
159,6,慣性,名詞,一般,*,*,慣性,38
160,6,力,名詞,接尾,一般,*,力,51
162,6,コリオリ力,名詞,固有名詞,一般,*,コリオリ力,41
164,6,遠心力,名詞,固有名詞,一般,*,遠心力,41
167,6,概念,名詞,一般,*,*,概念,38
169,6,正しく,形容詞,自立,*,*,正しい,10
170,6,理解,名詞,サ変接続,*,*,理解,36
173,6,数学,名詞,一般,*,*,数学,38
174,6,的,名詞,接尾,形容動詞語幹,*,的,52
176,6,表現,名詞,サ変接続,*,*,表現,36
177,6,できる,動詞,自立,*,*,できる,31
181,7,質点,名詞,一般,*,*,質点,38
182,7,系,名詞,接尾,一般,*,系,51
184,7,運動量,名詞,固有名詞,一般,*,運動量,41
186,7,角運動量,名詞,固有名詞,一般,*,角運動量,41
188,7,エネルギー,名詞,一般,*,*,エネルギー,38
191,7,概念,名詞,一般,*,*,概念,38
193,7,剛体,名詞,一般,*,*,剛体,38
195,7,質量,名詞,一般,*,*,質量,38
196,7,中心,名詞,一般,*,*,中心,38
198,7,慣性モーメント,名詞,固有名詞,一般,*,慣性モーメント,41
202,7,概念,名詞,一般,*,*,概念,38
204,7,正しく,形容詞,自立,*,*,正しい,10
205,7,理解,名詞,サ変接続,*,*,理解,36
208,7,数学,名詞,一般,*,*,数学,38
209,7,的,名詞,接尾,形容動詞語幹,*,的,52
211,7,表現,名詞,サ変接続,*,*,表現,36
212,7,できる,動詞,自立,*,*,できる,31
216,8,剛体,名詞,一般,*,*,剛体,38
218,8,運動,名詞,サ変接続,*,*,運動,36
220,8,つり合い,動詞,自立,*,*,つり合う,31
222,8,正しく,形容詞,自立,*,*,正しい,10
223,8,理解,名詞,サ変接続,*,*,理解,36
228,8,力学,名詞,一般,*,*,力学,38
229,8,問題,名詞,ナイ形容詞語幹,*,*,問題,37
231,8,応用,名詞,サ変接続,*,*,応用,36
232,8,できる,動詞,自立,*,*,できる,31
236,9,方程式,名詞,一般,*,*,方程式,38
238,9,表さ,動詞,自立,*,*,表す,31
241,9,力学,名詞,一般,*,*,力学,38
242,9,問題,名詞,ナイ形容詞語幹,*,*,問題,37
244,9,数学,名詞,一般,*,*,数学,38
245,9,的,名詞,接尾,形容動詞語幹,*,的,52
246,9,解,名詞,サ変接続,*,*,解,36
248,9,求める,動詞,自立,*,*,求める,31
251,9,でき,動詞,自立,*,*,できる,31
253,9,数学,名詞,一般,*,*,数学,38
254,9,的,名詞,接尾,形容動詞語幹,*,的,52
255,9,解,名詞,サ変接続,*,*,解,36
257,9,意味,名詞,サ変接続,*,*,意味,36
259,9,物理,名詞,一般,*,*,物理,38
261,9,説明,名詞,サ変接続,*,*,説明,36
262,9,できる,動詞,自立,*,*,できる,31
265,10,講義,名詞,サ変接続,*,*,講義,36
267,10,履修,名詞,サ変接続,*,*,履修,36
272,10,以下,名詞,非自立,副詞可能,*,以下,66
274,10,知識,名詞,一般,*,*,知識,38
276,10,能力,名詞,一般,*,*,能力,38
278,10,修得,名詞,サ変接続,*,*,修得,36
283,11,加速度,名詞,一般,*,*,加速度,38
284,11,運動,名詞,サ変接続,*,*,運動,36
287,11,座標,名詞,一般,*,*,座標,38
288,11,系,名詞,接尾,一般,*,系,51
291,11,慣性,名詞,一般,*,*,慣性,38
292,11,力,名詞,接尾,一般,*,力,51
294,11,コリオリ力,名詞,固有名詞,一般,*,コリオリ力,41
296,11,遠心力,名詞,固有名詞,一般,*,遠心力,41
299,11,概念,名詞,一般,*,*,概念,38
301,11,正しく,形容詞,自立,*,*,正しい,10
302,11,理解,名詞,サ変接続,*,*,理解,36
305,11,数学,名詞,一般,*,*,数学,38
306,11,的,名詞,接尾,形容動詞語幹,*,的,52
308,11,表現,名詞,サ変接続,*,*,表現,36
309,11,できる,動詞,自立,*,*,できる,31
313,12,質点,名詞,一般,*,*,質点,38
314,12,系,名詞,接尾,一般,*,系,51
316,12,運動量,名詞,固有名詞,一般,*,運動量,41
318,12,角運動量,名詞,固有名詞,一般,*,角運動量,41
320,12,エネルギー,名詞,一般,*,*,エネルギー,38
323,12,概念,名詞,一般,*,*,概念,38
325,12,剛体,名詞,一般,*,*,剛体,38
327,12,質量,名詞,一般,*,*,質量,38
328,12,中心,名詞,一般,*,*,中心,38
330,12,慣性モーメント,名詞,固有名詞,一般,*,慣性モーメント,41
334,12,概念,名詞,一般,*,*,概念,38
336,12,正しく,形容詞,自立,*,*,正しい,10
337,12,理解,名詞,サ変接続,*,*,理解,36
340,12,数学,名詞,一般,*,*,数学,38
341,12,的,名詞,接尾,形容動詞語幹,*,的,52
343,12,表現,名詞,サ変接続,*,*,表現,36
344,12,できる,動詞,自立,*,*,できる,31
348,13,剛体,名詞,一般,*,*,剛体,38
350,13,運動,名詞,サ変接続,*,*,運動,36
352,13,つり合い,動詞,自立,*,*,つり合う,31
354,13,正しく,形容詞,自立,*,*,正しい,10
355,13,理解,名詞,サ変接続,*,*,理解,36
360,13,力学,名詞,一般,*,*,力学,38
361,13,問題,名詞,ナイ形容詞語幹,*,*,問題,37
363,13,応用,名詞,サ変接続,*,*,応用,36
364,13,できる,動詞,自立,*,*,できる,31
368,14,方程式,名詞,一般,*,*,方程式,38
370,14,表さ,動詞,自立,*,*,表す,31
373,14,力学,名詞,一般,*,*,力学,38
374,14,問題,名詞,ナイ形容詞語幹,*,*,問題,37
376,14,数学,名詞,一般,*,*,数学,38
377,14,的,名詞,接尾,形容動詞語幹,*,的,52
378,14,解,名詞,サ変接続,*,*,解,36
380,14,求める,動詞,自立,*,*,求める,31
383,14,でき,動詞,自立,*,*,できる,31
385,14,数学,名詞,一般,*,*,数学,38
386,14,的,名詞,接尾,形容動詞語幹,*,的,52
387,14,解,名詞,サ変接続,*,*,解,36
389,14,意味,名詞,サ変接続,*,*,意味,36
391,14,物理,名詞,一般,*,*,物理,38
393,14,説明,名詞,サ変接続,*,*,説明,36
394,14,できる,動詞,自立,*,*,できる,31
397,15,講義,名詞,サ変接続,*,*,講義,36
399,15,履修,名詞,サ変接続,*,*,履修,36
404,15,以下,名詞,非自立,副詞可能,*,以下,66
406,15,知識,名詞,一般,*,*,知識,38
408,15,能力,名詞,一般,*,*,能力,38
410,15,修得,名詞,サ変接続,*,*,修得,36
415,16,加速度,名詞,一般,*,*,加速度,38
416,16,運動,名詞,サ変接続,*,*,運動,36
419,16,座標,名詞,一般,*,*,座標,38
420,16,系,名詞,接尾,一般,*,系,51
423,16,慣性,名詞,一般,*,*,慣性,38
424,16,力,名詞,接尾,一般,*,力,51
426,16,コリオリ力,名詞,固有名詞,一般,*,コリオリ力,41
428,16,遠心力,名詞,固有名詞,一般,*,遠心力,41
431,16,概念,名詞,一般,*,*,概念,38
433,16,正しく,形容詞,自立,*,*,正しい,10
434,16,理解,名詞,サ変接続,*,*,理解,36
437,16,数学,名詞,一般,*,*,数学,38
438,16,的,名詞,接尾,形容動詞語幹,*,的,52
440,16,表現,名詞,サ変接続,*,*,表現,36
441,16,できる,動詞,自立,*,*,できる,31
445,17,質点,名詞,一般,*,*,質点,38
446,17,系,名詞,接尾,一般,*,系,51
448,17,運動量,名詞,固有名詞,一般,*,運動量,41
450,17,角運動量,名詞,固有名詞,一般,*,角運動量,41
452,17,エネルギー,名詞,一般,*,*,エネルギー,38
455,17,概念,名詞,一般,*,*,概念,38
457,17,剛体,名詞,一般,*,*,剛体,38
459,17,質量,名詞,一般,*,*,質量,38
460,17,中心,名詞,一般,*,*,中心,38
462,17,慣性モーメント,名詞,固有名詞,一般,*,慣性モーメント,41
466,17,概念,名詞,一般,*,*,概念,38
468,17,正しく,形容詞,自立,*,*,正しい,10
469,17,理解,名詞,サ変接続,*,*,理解,36
472,17,数学,名詞,一般,*,*,数学,38
473,17,的,名詞,接尾,形容動詞語幹,*,的,52
475,17,表現,名詞,サ変接続,*,*,表現,36
476,17,できる,動詞,自立,*,*,できる,31
480,18,剛体,名詞,一般,*,*,剛体,38
482,18,運動,名詞,サ変接続,*,*,運動,36
484,18,つり合い,動詞,自立,*,*,つり合う,31
486,18,正しく,形容詞,自立,*,*,正しい,10
487,18,理解,名詞,サ変接続,*,*,理解,36
492,18,力学,名詞,一般,*,*,力学,38
493,18,問題,名詞,ナイ形容詞語幹,*,*,問題,37
495,18,応用,名詞,サ変接続,*,*,応用,36
496,18,できる,動詞,自立,*,*,できる,31
500,19,方程式,名詞,一般,*,*,方程式,38
502,19,表さ,動詞,自立,*,*,表す,31
505,19,力学,名詞,一般,*,*,力学,38
506,19,問題,名詞,ナイ形容詞語幹,*,*,問題,37
508,19,数学,名詞,一般,*,*,数学,38
509,19,的,名詞,接尾,形容動詞語幹,*,的,52
510,19,解,名詞,サ変接続,*,*,解,36
