,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
0,0,講義,名詞,サ変接続,*,*,講義,36
2,0,目的,名詞,一般,*,*,目的,38
4,0,安全,名詞,形容動詞語幹,*,*,安全,40
5,0,全般,名詞,一般,*,*,全般,38
7,0,講習,名詞,サ変接続,*,*,講習,36
9,0,講義,名詞,サ変接続,*,*,講義,36
11,0,目的,名詞,一般,*,*,目的,38
13,0,説明,名詞,サ変接続,*,*,説明,36
14,0,できる,動詞,自立,*,*,できる,31
17,0,なる,動詞,自立,*,*,なる,31
19,1,3次元,名詞,固有名詞,一般,*,3次元,41
20,1,CAD,名詞,固有名詞,一般,*,CAD,41
22,1,使用方法,名詞,固有名詞,一般,*,使用方法,41
25,1,使用,名詞,サ変接続,*,*,使用,36
27,1,ソフトウェア,名詞,一般,*,*,ソフトウェア,38
29,1,特徴,名詞,一般,*,*,特徴,38
31,1,使用方法,名詞,固有名詞,一般,*,使用方法,41
33,1,3次元,名詞,固有名詞,一般,*,3次元,41
34,1,CAD,名詞,固有名詞,一般,*,CAD,41
36,1,使用方法,名詞,固有名詞,一般,*,使用方法,41
38,1,理解,名詞,サ変接続,*,*,理解,36
41,1,使用,名詞,サ変接続,*,*,使用,36
42,1,法,名詞,接尾,一般,*,法,51
44,1,説明,名詞,サ変接続,*,*,説明,36
45,1,できる,動詞,自立,*,*,できる,31
48,1,なる,動詞,自立,*,*,なる,31
50,2,3次元,名詞,固有名詞,一般,*,3次元,41
51,2,CAD,名詞,固有名詞,一般,*,CAD,41
53,2,使用方法,名詞,固有名詞,一般,*,使用方法,41
56,2,簡単,名詞,形容動詞語幹,*,*,簡単,40
58,2,部品,名詞,一般,*,*,部品,38
60,2,用い,動詞,自立,*,*,用いる,31
62,2,設計,名詞,サ変接続,*,*,設計,36
63,2,練習,名詞,サ変接続,*,*,練習,36
65,2,設計,名詞,サ変接続,*,*,設計,36
66,2,練習,名詞,サ変接続,*,*,練習,36
69,2,3D,名詞,固有名詞,一般,*,3D,41
70,2,CAD,名詞,固有名詞,一般,*,CAD,41
72,2,基本的,名詞,固有名詞,一般,*,基本的,41
73,2,操作,名詞,サ変接続,*,*,操作,36
75,2,できる,動詞,自立,*,*,できる,31
78,2,なる,動詞,自立,*,*,なる,31
80,3,電子工作,名詞,固有名詞,一般,*,電子工作,41
82,3,基礎,名詞,一般,*,*,基礎,38
84,3,回転計,名詞,固有名詞,一般,*,回転計,41
86,3,原理,名詞,一般,*,*,原理,38
88,3,計測,名詞,サ変接続,*,*,計測,36
90,3,プログラミング,名詞,サ変接続,*,*,プログラミング,36
92,3,回転計,名詞,固有名詞,一般,*,回転計,41
94,3,原理,名詞,一般,*,*,原理,38
96,3,計測,名詞,サ変接続,*,*,計測,36
97,3,方法,名詞,一般,*,*,方法,38
99,3,理解,名詞,サ変接続,*,*,理解,36
102,3,計測,名詞,サ変接続,*,*,計測,36
104,3,ため,名詞,非自立,副詞可能,*,ため,66
106,3,プログラミング,名詞,サ変接続,*,*,プログラミング,36
108,3,できる,動詞,自立,*,*,できる,31
111,3,なる,動詞,自立,*,*,なる,31
113,4,機械,名詞,一般,*,*,機械,38
114,4,工作,名詞,サ変接続,*,*,工作,36
116,4,安全,名詞,形容動詞語幹,*,*,安全,40
117,4,講習,名詞,サ変接続,*,*,講習,36
118,4,工作機械,名詞,固有名詞,一般,*,工作機械,41
119,4,各部,名詞,一般,*,*,各部,38
121,4,名称,名詞,一般,*,*,名称,38
123,4,役割,名詞,一般,*,*,役割,38
125,4,理解,名詞,サ変接続,*,*,理解,36
128,4,部品,名詞,一般,*,*,部品,38
130,4,安全,名詞,形容動詞語幹,*,*,安全,40
132,4,加工,名詞,サ変接続,*,*,加工,36
133,4,できる,動詞,自立,*,*,できる,31
136,4,なる,動詞,自立,*,*,なる,31
138,5,機械,名詞,一般,*,*,機械,38
139,5,工作,名詞,サ変接続,*,*,工作,36
140,5,練習,名詞,サ変接続,*,*,練習,36
142,5,ボール盤,名詞,一般,*,*,ボール盤,38
144,5,フライス盤,名詞,一般,*,*,フライス盤,38
146,5,旋盤,名詞,一般,*,*,旋盤,38
148,5,使い方,名詞,一般,*,*,使い方,38
150,5,安全,名詞,形容動詞語幹,*,*,安全,40
152,5,ボール盤,名詞,一般,*,*,ボール盤,38
154,5,フライス盤,名詞,一般,*,*,フライス盤,38
156,5,旋盤,名詞,一般,*,*,旋盤,38
158,5,操作,名詞,サ変接続,*,*,操作,36
159,5,できる,動詞,自立,*,*,できる,31
162,5,なる,動詞,自立,*,*,なる,31
164,6,スターリングエンジン,名詞,固有名詞,組織,*,スターリングエンジン,45
168,6,エンジン,名詞,一般,*,*,エンジン,38
170,6,歴史,名詞,一般,*,*,歴史,38
172,6,熱力学,名詞,固有名詞,一般,*,熱力学,41
174,6,動作,名詞,サ変接続,*,*,動作,36
175,6,原理,名詞,一般,*,*,原理,38
177,6,スターリングエンジン,名詞,固有名詞,組織,*,スターリングエンジン,45
179,6,動作,名詞,サ変接続,*,*,動作,36
180,6,原理,名詞,一般,*,*,原理,38
182,6,理解,名詞,サ変接続,*,*,理解,36
185,6,熱力学,名詞,固有名詞,一般,*,熱力学,41
187,6,使っ,動詞,自立,*,*,使う,31
189,6,説明,名詞,サ変接続,*,*,説明,36
190,6,できる,動詞,自立,*,*,できる,31
193,6,なる,動詞,自立,*,*,なる,31
195,7,機械,名詞,一般,*,*,機械,38
196,7,工作,名詞,サ変接続,*,*,工作,36
197,7,加工,名詞,サ変接続,*,*,加工,36
198,7,手順,名詞,一般,*,*,手順,38
