,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
0,0,乳幼児,名詞,一般,*,*,乳幼児,38
1,0,期,名詞,接尾,一般,*,期,51
2,0,思春期,名詞,一般,*,*,思春期,38
3,0,学習,名詞,サ変接続,*,*,学習,36
4,0,学習科学,名詞,固有名詞,一般,*,学習科学,41
5,0,教育,名詞,サ変接続,*,*,教育,36
6,0,測定,名詞,サ変接続,*,*,測定,36
7,0,乳幼児,名詞,一般,*,*,乳幼児,38
8,0,期,名詞,接尾,一般,*,期,51
9,0,思春期,名詞,一般,*,*,思春期,38
10,0,学習,名詞,サ変接続,*,*,学習,36
11,0,学習科学,名詞,固有名詞,一般,*,学習科学,41
12,0,教育,名詞,サ変接続,*,*,教育,36
13,0,測定,名詞,サ変接続,*,*,測定,36
14,0,学習,名詞,サ変接続,*,*,学習,36
15,0,理論,名詞,一般,*,*,理論,38
16,0,乳幼児,名詞,一般,*,*,乳幼児,38
17,0,期,名詞,接尾,一般,*,期,51
18,0,思春期,名詞,一般,*,*,思春期,38
19,0,壮年,名詞,一般,*,*,壮年,38
20,0,期,名詞,接尾,一般,*,期,51
21,0,学習科学,名詞,固有名詞,一般,*,学習科学,41
22,0,教育,名詞,サ変接続,*,*,教育,36
23,0,測定,名詞,サ変接続,*,*,測定,36
24,0,乳幼児,名詞,一般,*,*,乳幼児,38
25,0,期,名詞,接尾,一般,*,期,51
26,0,思春期,名詞,一般,*,*,思春期,38
27,0,学習,名詞,サ変接続,*,*,学習,36
28,0,学習科学,名詞,固有名詞,一般,*,学習科学,41
29,0,教育,名詞,サ変接続,*,*,教育,36
30,0,測定,名詞,サ変接続,*,*,測定,36
31,0,乳幼児,名詞,一般,*,*,乳幼児,38
32,0,期,名詞,接尾,一般,*,期,51
33,0,思春期,名詞,一般,*,*,思春期,38
34,0,学習,名詞,サ変接続,*,*,学習,36
35,0,学習科学,名詞,固有名詞,一般,*,学習科学,41
36,0,教育,名詞,サ変接続,*,*,教育,36
37,0,測定,名詞,サ変接続,*,*,測定,36
