,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
0,0,到達,名詞,サ変接続,*,*,到達,36
1,0,目標,名詞,一般,*,*,目標,38
4,0,知能,名詞,一般,*,*,知能,38
6,0,理論,名詞,一般,*,*,理論,38
8,0,知能,名詞,一般,*,*,知能,38
10,0,測定,名詞,サ変接続,*,*,測定,36
11,0,法,名詞,接尾,一般,*,法,51
13,0,学ぶ,動詞,自立,*,*,学ぶ,31
15,1,発達,名詞,サ変接続,*,*,発達,36
17,1,理論,名詞,一般,*,*,理論,38
18,1,ならび,動詞,自立,*,*,ならぶ,31
19,1,発達,名詞,サ変接続,*,*,発達,36
21,1,測定,名詞,サ変接続,*,*,測定,36
22,1,法,名詞,接尾,一般,*,法,51
24,1,学ぶ,動詞,自立,*,*,学ぶ,31
27,2,発達障害,名詞,固有名詞,一般,*,発達障害,41
29,2,特別支援教育,名詞,固有名詞,一般,*,特別支援教育,41
32,2,関連,名詞,サ変接続,*,*,関連,36
34,2,中,名詞,非自立,副詞可能,*,中,66
36,2,学ぶ,動詞,自立,*,*,学ぶ,31
38,3,テーマ,名詞,一般,*,*,テーマ,38
40,3,知能,名詞,一般,*,*,知能,38
42,3,理論,名詞,一般,*,*,理論,38
44,3,測定,名詞,サ変接続,*,*,測定,36
46,3,発達,名詞,サ変接続,*,*,発達,36
48,3,理論,名詞,一般,*,*,理論,38
50,3,測定,名詞,サ変接続,*,*,測定,36
52,3,発達障害,名詞,固有名詞,一般,*,発達障害,41
53,3,到達,名詞,サ変接続,*,*,到達,36
54,3,目標,名詞,一般,*,*,目標,38
57,3,知能,名詞,一般,*,*,知能,38
59,3,理論,名詞,一般,*,*,理論,38
61,3,知能,名詞,一般,*,*,知能,38
63,3,測定,名詞,サ変接続,*,*,測定,36
64,3,法,名詞,接尾,一般,*,法,51
66,3,学ぶ,動詞,自立,*,*,学ぶ,31
68,4,発達,名詞,サ変接続,*,*,発達,36
70,4,理論,名詞,一般,*,*,理論,38
71,4,ならび,動詞,自立,*,*,ならぶ,31
72,4,発達,名詞,サ変接続,*,*,発達,36
74,4,測定,名詞,サ変接続,*,*,測定,36
75,4,法,名詞,接尾,一般,*,法,51
77,4,学ぶ,動詞,自立,*,*,学ぶ,31
80,5,発達障害,名詞,固有名詞,一般,*,発達障害,41
82,5,特別支援教育,名詞,固有名詞,一般,*,特別支援教育,41
85,5,関連,名詞,サ変接続,*,*,関連,36
87,5,中,名詞,非自立,副詞可能,*,中,66
89,5,学ぶ,動詞,自立,*,*,学ぶ,31
91,6,テーマ,名詞,一般,*,*,テーマ,38
93,6,知能,名詞,一般,*,*,知能,38
95,6,理論,名詞,一般,*,*,理論,38
97,6,測定,名詞,サ変接続,*,*,測定,36
99,6,発達,名詞,サ変接続,*,*,発達,36
101,6,理論,名詞,一般,*,*,理論,38
103,6,測定,名詞,サ変接続,*,*,測定,36
105,6,発達障害,名詞,固有名詞,一般,*,発達障害,41
106,6,到達,名詞,サ変接続,*,*,到達,36
107,6,目標,名詞,一般,*,*,目標,38
110,6,知能,名詞,一般,*,*,知能,38
112,6,記憶,名詞,サ変接続,*,*,記憶,36
114,6,理論,名詞,一般,*,*,理論,38
116,6,障害,名詞,一般,*,*,障害,38
118,6,様態,名詞,一般,*,*,様態,38
120,6,学ぶ,動詞,自立,*,*,学ぶ,31
122,7,発達,名詞,サ変接続,*,*,発達,36
124,7,理論,名詞,一般,*,*,理論,38
125,7,ならび,動詞,自立,*,*,ならぶ,31
126,7,発達,名詞,サ変接続,*,*,発達,36
128,7,測定,名詞,サ変接続,*,*,測定,36
129,7,法,名詞,接尾,一般,*,法,51
131,7,学ぶ,動詞,自立,*,*,学ぶ,31
134,8,発達障害,名詞,固有名詞,一般,*,発達障害,41
136,8,特別支援教育,名詞,固有名詞,一般,*,特別支援教育,41
139,8,関連,名詞,サ変接続,*,*,関連,36
141,8,中,名詞,非自立,副詞可能,*,中,66
143,8,学ぶ,動詞,自立,*,*,学ぶ,31
145,9,テーマ,名詞,一般,*,*,テーマ,38
147,9,知能,名詞,一般,*,*,知能,38
149,9,理論,名詞,一般,*,*,理論,38
151,9,測定,名詞,サ変接続,*,*,測定,36
153,9,発達,名詞,サ変接続,*,*,発達,36
155,9,理論,名詞,一般,*,*,理論,38
157,9,測定,名詞,サ変接続,*,*,測定,36
159,9,発達障害,名詞,固有名詞,一般,*,発達障害,41
