,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
0,0,発達,名詞,サ変接続,*,*,発達,36
2,0,学習,名詞,サ変接続,*,*,学習,36
4,0,発達,名詞,サ変接続,*,*,発達,36
6,0,学習,名詞,サ変接続,*,*,学習,36
8,0,発達,名詞,サ変接続,*,*,発達,36
10,0,学習,名詞,サ変接続,*,*,学習,36
12,0,発達,名詞,サ変接続,*,*,発達,36
14,0,学習,名詞,サ変接続,*,*,学習,36
16,0,発達,名詞,サ変接続,*,*,発達,36
18,0,学習,名詞,サ変接続,*,*,学習,36
20,0,発達,名詞,サ変接続,*,*,発達,36
22,0,学習,名詞,サ変接続,*,*,学習,36
24,0,発達,名詞,サ変接続,*,*,発達,36
26,0,学習,名詞,サ変接続,*,*,学習,36
28,0,発達,名詞,サ変接続,*,*,発達,36
30,0,学習,名詞,サ変接続,*,*,学習,36
32,0,発達,名詞,サ変接続,*,*,発達,36
34,0,学習,名詞,サ変接続,*,*,学習,36
36,0,発達,名詞,サ変接続,*,*,発達,36
38,0,学習,名詞,サ変接続,*,*,学習,36
40,0,発達,名詞,サ変接続,*,*,発達,36
42,0,学習,名詞,サ変接続,*,*,学習,36
44,0,発達,名詞,サ変接続,*,*,発達,36
46,0,学習,名詞,サ変接続,*,*,学習,36
48,0,発達,名詞,サ変接続,*,*,発達,36
50,0,学習,名詞,サ変接続,*,*,学習,36
