,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
0,0,時代,名詞,一般,*,*,時代,38
1,0,認識,名詞,サ変接続,*,*,認識,36
2,0,社会,名詞,一般,*,*,社会,38
4,0,変化,名詞,サ変接続,*,*,変化,36
6,0,経営管理,名詞,固有名詞,一般,*,経営管理,41
8,0,今日,名詞,副詞可能,*,*,今日,67
9,0,的,名詞,接尾,形容動詞語幹,*,的,52
15,0,経営管理,名詞,固有名詞,一般,*,経営管理,41
17,0,経営管理,名詞,固有名詞,一般,*,経営管理,41
19,0,意義,名詞,一般,*,*,意義,38
20,0,経営管理,名詞,固有名詞,一般,*,経営管理,41
22,0,目的,名詞,一般,*,*,目的,38
27,0,主体,名詞,一般,*,*,主体,38
29,0,誰か,名詞,一般,*,*,誰か,38
30,0,経営管理,名詞,固有名詞,一般,*,経営管理,41
32,0,経営管理,名詞,固有名詞,一般,*,経営管理,41
35,0,経営管理,名詞,固有名詞,一般,*,経営管理,41
37,0,有効,名詞,形容動詞語幹,*,*,有効,40
39,0,機能,名詞,サ変接続,*,*,機能,36
45,0,必要,名詞,形容動詞語幹,*,*,必要,40
47,0,人,名詞,一般,*,*,人,38
49,0,組織,名詞,サ変接続,*,*,組織,36
51,0,組織,名詞,サ変接続,*,*,組織,36
52,0,能力,名詞,一般,*,*,能力,38
53,0,強い,形容詞,自立,*,*,強い,10
54,0,組織,名詞,サ変接続,*,*,組織,36
56,0,弱い,形容詞,自立,*,*,弱い,10
57,0,組織,名詞,サ変接続,*,*,組織,36
60,0,違い,名詞,ナイ形容詞語幹,*,*,違い,37
64,0,人,名詞,一般,*,*,人,38
66,0,組織,名詞,サ変接続,*,*,組織,36
68,0,組織,名詞,サ変接続,*,*,組織,36
69,0,変革,名詞,サ変接続,*,*,変革,36
72,0,組織,名詞,サ変接続,*,*,組織,36
74,0,変われ,動詞,自立,*,*,変わる,31
77,0,人,名詞,一般,*,*,人,38
79,0,組織,名詞,サ変接続,*,*,組織,36
81,0,意欲,名詞,一般,*,*,意欲,38
82,0,人,名詞,接尾,一般,*,人,51
89,0,働く,動詞,自立,*,*,働く,31
92,0,人,名詞,一般,*,*,人,38
94,0,組織,名詞,サ変接続,*,*,組織,36
96,0,意欲,名詞,一般,*,*,意欲,38
98,0,管理,名詞,サ変接続,*,*,管理,36
99,0,報酬,名詞,一般,*,*,報酬,38
101,0,インセンティブ,名詞,固有名詞,一般,*,インセンティブ,41
102,0,施策,名詞,サ変接続,*,*,施策,36
104,0,意欲,名詞,一般,*,*,意欲,38
106,0,高め,動詞,自立,*,*,高める,31
110,0,自己,名詞,一般,*,*,自己,38
112,0,知る,動詞,自立,*,*,知る,31
114,0,自己診断,名詞,固有名詞,一般,*,自己診断,41
115,0,他者,名詞,一般,*,*,他者,38
117,0,理解,名詞,サ変接続,*,*,理解,36
119,0,他者,名詞,一般,*,*,他者,38
120,0,理解,名詞,サ変接続,*,*,理解,36
121,0,リーダーシップ,名詞,一般,*,*,リーダーシップ,38
123,0,リーダーシップ,名詞,一般,*,*,リーダーシップ,38
125,0,意義,名詞,一般,*,*,意義,38
126,0,リーダーシップ,名詞,一般,*,*,リーダーシップ,38
131,0,リーダーシップ,名詞,一般,*,*,リーダーシップ,38
133,0,リーダーシップ,名詞,一般,*,*,リーダーシップ,38
135,0,実践,名詞,サ変接続,*,*,実践,36
136,0,リーダーシップ,名詞,一般,*,*,リーダーシップ,38
139,0,発揮,名詞,サ変接続,*,*,発揮,36
142,0,リーダーシップ,名詞,一般,*,*,リーダーシップ,38
144,0,リーダーシップ,名詞,一般,*,*,リーダーシップ,38
146,0,開発,名詞,サ変接続,*,*,開発,36
147,0,リーダーシップ,名詞,一般,*,*,リーダーシップ,38
150,0,開発,名詞,サ変接続,*,*,開発,36
153,0,職業指導,名詞,固有名詞,一般,*,職業指導,41
155,0,実践,名詞,サ変接続,*,*,実践,36
157,0,人材育成,名詞,固有名詞,一般,*,人材育成,41
158,0,人材育成,名詞,固有名詞,一般,*,人材育成,41
161,0,実践,名詞,サ変接続,*,*,実践,36
164,0,職業指導,名詞,固有名詞,一般,*,職業指導,41
166,0,実践,名詞,サ変接続,*,*,実践,36
168,0,キャリア開発,名詞,固有名詞,一般,*,キャリア開発,41
169,0,キャリア開発,名詞,固有名詞,一般,*,キャリア開発,41
172,0,指導,名詞,サ変接続,*,*,指導,36
175,0,受講,名詞,サ変接続,*,*,受講,36
176,0,生,名詞,接尾,一般,*,生,51
177,0,自身,名詞,一般,*,*,自身,38
179,0,行動,名詞,サ変接続,*,*,行動,36
180,0,プラン,名詞,一般,*,*,プラン,38
182,0,発表,名詞,サ変接続,*,*,発表,36
183,0,受講,名詞,サ変接続,*,*,受講,36
184,0,内容,名詞,一般,*,*,内容,38
186,0,ふまえ,動詞,自立,*,*,ふまえる,31
189,0,今後,名詞,副詞可能,*,*,今後,67
192,0,着眼,名詞,サ変接続,*,*,着眼,36
196,0,行動,名詞,サ変接続,*,*,行動,36
199,0,時代,名詞,一般,*,*,時代,38
200,0,認識,名詞,サ変接続,*,*,認識,36
201,0,社会,名詞,一般,*,*,社会,38
203,0,変化,名詞,サ変接続,*,*,変化,36
205,0,経営管理,名詞,固有名詞,一般,*,経営管理,41
207,0,今日,名詞,副詞可能,*,*,今日,67
208,0,的,名詞,接尾,形容動詞語幹,*,的,52
