,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
0,0,中等教育,名詞,固有名詞,一般,*,中等教育,41
1,0,段階,名詞,一般,*,*,段階,38
3,0,数学科,名詞,固有名詞,一般,*,数学科,41
5,0,教材,名詞,一般,*,*,教材,38
7,0,指導法,名詞,固有名詞,一般,*,指導法,41
9,0,理解,名詞,サ変接続,*,*,理解,36
13,0,到達,名詞,サ変接続,*,*,到達,36
14,0,目標,名詞,一般,*,*,目標,38
18,0,中学校,名詞,一般,*,*,中学校,38
20,0,学科,名詞,一般,*,*,学科,38
22,0,高等学校,名詞,固有名詞,一般,*,高等学校,41
23,0,数,名詞,接尾,一般,*,数,51
24,0,学科,名詞,一般,*,*,学科,38
26,0,教材,名詞,一般,*,*,教材,38
28,0,指導法,名詞,固有名詞,一般,*,指導法,41
30,0,テーマ,名詞,一般,*,*,テーマ,38
34,1,中等教育,名詞,固有名詞,一般,*,中等教育,41
35,1,段階,名詞,一般,*,*,段階,38
37,1,数学科,名詞,固有名詞,一般,*,数学科,41
39,1,教材,名詞,一般,*,*,教材,38
41,1,指導法,名詞,固有名詞,一般,*,指導法,41
43,1,理解,名詞,サ変接続,*,*,理解,36
47,1,到達,名詞,サ変接続,*,*,到達,36
48,1,目標,名詞,一般,*,*,目標,38
52,1,中学校,名詞,一般,*,*,中学校,38
54,1,学科,名詞,一般,*,*,学科,38
56,1,高等学校,名詞,固有名詞,一般,*,高等学校,41
57,1,数,名詞,接尾,一般,*,数,51
58,1,学科,名詞,一般,*,*,学科,38
60,1,教材,名詞,一般,*,*,教材,38
62,1,指導法,名詞,固有名詞,一般,*,指導法,41
64,1,テーマ,名詞,一般,*,*,テーマ,38
68,2,中等教育,名詞,固有名詞,一般,*,中等教育,41
69,2,段階,名詞,一般,*,*,段階,38
71,2,数学科,名詞,固有名詞,一般,*,数学科,41
73,2,教材,名詞,一般,*,*,教材,38
75,2,指導法,名詞,固有名詞,一般,*,指導法,41
77,2,理解,名詞,サ変接続,*,*,理解,36
81,2,到達,名詞,サ変接続,*,*,到達,36
82,2,目標,名詞,一般,*,*,目標,38
86,2,中学校,名詞,一般,*,*,中学校,38
88,2,学科,名詞,一般,*,*,学科,38
90,2,高等学校,名詞,固有名詞,一般,*,高等学校,41
91,2,数,名詞,接尾,一般,*,数,51
92,2,学科,名詞,一般,*,*,学科,38
94,2,教材,名詞,一般,*,*,教材,38
96,2,指導法,名詞,固有名詞,一般,*,指導法,41
98,2,テーマ,名詞,一般,*,*,テーマ,38
102,3,中等教育,名詞,固有名詞,一般,*,中等教育,41
103,3,段階,名詞,一般,*,*,段階,38
105,3,数学科,名詞,固有名詞,一般,*,数学科,41
107,3,教材,名詞,一般,*,*,教材,38
109,3,指導法,名詞,固有名詞,一般,*,指導法,41
111,3,理解,名詞,サ変接続,*,*,理解,36
115,3,到達,名詞,サ変接続,*,*,到達,36
116,3,目標,名詞,一般,*,*,目標,38
120,3,中学校,名詞,一般,*,*,中学校,38
122,3,学科,名詞,一般,*,*,学科,38
124,3,高等学校,名詞,固有名詞,一般,*,高等学校,41
125,3,数,名詞,接尾,一般,*,数,51
126,3,学科,名詞,一般,*,*,学科,38
128,3,教材,名詞,一般,*,*,教材,38
130,3,指導法,名詞,固有名詞,一般,*,指導法,41
132,3,テーマ,名詞,一般,*,*,テーマ,38
136,4,中等教育,名詞,固有名詞,一般,*,中等教育,41
137,4,段階,名詞,一般,*,*,段階,38
139,4,数学科,名詞,固有名詞,一般,*,数学科,41
141,4,教材,名詞,一般,*,*,教材,38
143,4,指導法,名詞,固有名詞,一般,*,指導法,41
145,4,理解,名詞,サ変接続,*,*,理解,36
149,4,到達,名詞,サ変接続,*,*,到達,36
150,4,目標,名詞,一般,*,*,目標,38
154,4,中学校,名詞,一般,*,*,中学校,38
156,4,学科,名詞,一般,*,*,学科,38
158,4,高等学校,名詞,固有名詞,一般,*,高等学校,41
159,4,数,名詞,接尾,一般,*,数,51
160,4,学科,名詞,一般,*,*,学科,38
162,4,教材,名詞,一般,*,*,教材,38
164,4,指導法,名詞,固有名詞,一般,*,指導法,41
166,4,テーマ,名詞,一般,*,*,テーマ,38
