,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
0,0,数学科,名詞,固有名詞,一般,*,数学科,41
1,0,教育法,名詞,固有名詞,一般,*,教育法,41
4,0,学科,名詞,一般,*,*,学科,38
5,0,教育法,名詞,固有名詞,一般,*,教育法,41
8,0,学科,名詞,一般,*,*,学科,38
9,0,教育法,名詞,固有名詞,一般,*,教育法,41
12,0,学科,名詞,一般,*,*,学科,38
13,0,教育法,名詞,固有名詞,一般,*,教育法,41
16,0,学科,名詞,一般,*,*,学科,38
17,0,教育法,名詞,固有名詞,一般,*,教育法,41
20,0,学科,名詞,一般,*,*,学科,38
21,0,教育法,名詞,固有名詞,一般,*,教育法,41
24,0,学科,名詞,一般,*,*,学科,38
25,0,教育法,名詞,固有名詞,一般,*,教育法,41
28,0,学科,名詞,一般,*,*,学科,38
29,0,教育法,名詞,固有名詞,一般,*,教育法,41
32,0,学科,名詞,一般,*,*,学科,38
33,0,教育法,名詞,固有名詞,一般,*,教育法,41
36,0,学科,名詞,一般,*,*,学科,38
37,0,教育法,名詞,固有名詞,一般,*,教育法,41
40,0,学科,名詞,一般,*,*,学科,38
41,0,教育法,名詞,固有名詞,一般,*,教育法,41
44,0,学科,名詞,一般,*,*,学科,38
45,0,教育法,名詞,固有名詞,一般,*,教育法,41
48,0,学科,名詞,一般,*,*,学科,38
49,0,教育法,名詞,固有名詞,一般,*,教育法,41
52,0,学科,名詞,一般,*,*,学科,38
53,0,教育法,名詞,固有名詞,一般,*,教育法,41
56,0,学科,名詞,一般,*,*,学科,38
57,0,教育法,名詞,固有名詞,一般,*,教育法,41
