,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
0,0,理科教育,名詞,固有名詞,一般,*,理科教育,41
1,0,学習指導要領,名詞,固有名詞,一般,*,学習指導要領,41
2,0,教育課程,名詞,固有名詞,一般,*,教育課程,41
3,0,指導,名詞,サ変接続,*,*,指導,36
5,0,評価,名詞,サ変接続,*,*,評価,36
6,0,教材,名詞,一般,*,*,教材,38
7,0,作成,名詞,サ変接続,*,*,作成,36
8,0,理科教育,名詞,固有名詞,一般,*,理科教育,41
9,0,学習指導要領,名詞,固有名詞,一般,*,学習指導要領,41
10,0,教育課程,名詞,固有名詞,一般,*,教育課程,41
11,0,指導,名詞,サ変接続,*,*,指導,36
13,0,評価,名詞,サ変接続,*,*,評価,36
14,0,教材,名詞,一般,*,*,教材,38
15,0,作成,名詞,サ変接続,*,*,作成,36
16,0,理科教育,名詞,固有名詞,一般,*,理科教育,41
17,0,学習指導要領,名詞,固有名詞,一般,*,学習指導要領,41
18,0,教育課程,名詞,固有名詞,一般,*,教育課程,41
19,0,指導,名詞,サ変接続,*,*,指導,36
21,0,評価,名詞,サ変接続,*,*,評価,36
22,0,教材,名詞,一般,*,*,教材,38
23,0,作成,名詞,サ変接続,*,*,作成,36
24,0,理科教育,名詞,固有名詞,一般,*,理科教育,41
25,0,学習指導要領,名詞,固有名詞,一般,*,学習指導要領,41
26,0,教育課程,名詞,固有名詞,一般,*,教育課程,41
27,0,指導,名詞,サ変接続,*,*,指導,36
29,0,評価,名詞,サ変接続,*,*,評価,36
30,0,教材,名詞,一般,*,*,教材,38
31,0,作成,名詞,サ変接続,*,*,作成,36
32,0,理科教育,名詞,固有名詞,一般,*,理科教育,41
33,0,学習指導要領,名詞,固有名詞,一般,*,学習指導要領,41
34,0,教育課程,名詞,固有名詞,一般,*,教育課程,41
35,0,指導,名詞,サ変接続,*,*,指導,36
37,0,評価,名詞,サ変接続,*,*,評価,36
38,0,教材,名詞,一般,*,*,教材,38
39,0,作成,名詞,サ変接続,*,*,作成,36
