,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
0,0,教育,名詞,サ変接続,*,*,教育,36
2,0,課程,名詞,一般,*,*,課程,38
4,0,方法,名詞,一般,*,*,方法,38
6,0,設計,名詞,サ変接続,*,*,設計,36
8,0,改善,名詞,サ変接続,*,*,改善,36
9,0,理科教育,名詞,固有名詞,一般,*,理科教育,41
10,0,法,名詞,接尾,一般,*,法,51
12,0,理科教育,名詞,固有名詞,一般,*,理科教育,41
13,0,法,名詞,接尾,一般,*,法,51
15,0,理科教育,名詞,固有名詞,一般,*,理科教育,41
16,0,法,名詞,接尾,一般,*,法,51
18,0,理科教育,名詞,固有名詞,一般,*,理科教育,41
19,0,法,名詞,接尾,一般,*,法,51
22,0,理科,名詞,一般,*,*,理科,38
25,0,教科,名詞,一般,*,*,教科,38
27,0,科目,名詞,一般,*,*,科目,38
28,0,教育,名詞,サ変接続,*,*,教育,36
30,0,課程,名詞,一般,*,*,課程,38
32,0,方法,名詞,一般,*,*,方法,38
34,0,設計,名詞,サ変接続,*,*,設計,36
36,0,改善,名詞,サ変接続,*,*,改善,36
37,0,理科教育,名詞,固有名詞,一般,*,理科教育,41
38,0,法,名詞,接尾,一般,*,法,51
40,0,理科教育,名詞,固有名詞,一般,*,理科教育,41
41,0,法,名詞,接尾,一般,*,法,51
43,0,理科教育,名詞,固有名詞,一般,*,理科教育,41
44,0,法,名詞,接尾,一般,*,法,51
46,0,理科教育,名詞,固有名詞,一般,*,理科教育,41
47,0,法,名詞,接尾,一般,*,法,51
50,0,理科,名詞,一般,*,*,理科,38
53,0,教科,名詞,一般,*,*,教科,38
55,0,科目,名詞,一般,*,*,科目,38
56,0,教育工学,名詞,固有名詞,一般,*,教育工学,41
57,0,教育課程,名詞,固有名詞,一般,*,教育課程,41
58,0,編成,名詞,サ変接続,*,*,編成,36
60,0,方法,名詞,一般,*,*,方法,38
61,0,理科教育,名詞,固有名詞,一般,*,理科教育,41
62,0,法,名詞,接尾,一般,*,法,51
64,0,理科教育,名詞,固有名詞,一般,*,理科教育,41
65,0,法,名詞,接尾,一般,*,法,51
67,0,理科教育,名詞,固有名詞,一般,*,理科教育,41
68,0,法,名詞,接尾,一般,*,法,51
70,0,理科教育,名詞,固有名詞,一般,*,理科教育,41
71,0,法,名詞,接尾,一般,*,法,51
74,0,理科,名詞,一般,*,*,理科,38
77,0,教科,名詞,一般,*,*,教科,38
79,0,科目,名詞,一般,*,*,科目,38
81,0,改革,名詞,サ変接続,*,*,改革,36
83,0,理論,名詞,一般,*,*,理論,38
84,0,研究授業,名詞,固有名詞,一般,*,研究授業,41
85,0,改革,名詞,サ変接続,*,*,改革,36
87,0,事例,名詞,一般,*,*,事例,38
88,0,研究,名詞,サ変接続,*,*,研究,36
89,0,数,名詞,接尾,一般,*,数,51
90,0,学科,名詞,一般,*,*,学科,38
91,0,教育法,名詞,固有名詞,一般,*,教育法,41
92,0,実践,名詞,サ変接続,*,*,実践,36
93,0,演習,名詞,サ変接続,*,*,演習,36
95,0,教育工学,名詞,固有名詞,一般,*,教育工学,41
96,0,教育課程,名詞,固有名詞,一般,*,教育課程,41
97,0,編成,名詞,サ変接続,*,*,編成,36
99,0,方法,名詞,一般,*,*,方法,38
100,0,理科教育,名詞,固有名詞,一般,*,理科教育,41
101,0,法,名詞,接尾,一般,*,法,51
103,0,理科教育,名詞,固有名詞,一般,*,理科教育,41
104,0,法,名詞,接尾,一般,*,法,51
106,0,理科教育,名詞,固有名詞,一般,*,理科教育,41
107,0,法,名詞,接尾,一般,*,法,51
109,0,理科教育,名詞,固有名詞,一般,*,理科教育,41
110,0,法,名詞,接尾,一般,*,法,51
113,0,理科,名詞,一般,*,*,理科,38
116,0,教科,名詞,一般,*,*,教科,38
118,0,科目,名詞,一般,*,*,科目,38
119,0,教育,名詞,サ変接続,*,*,教育,36
121,0,課程,名詞,一般,*,*,課程,38
123,0,方法,名詞,一般,*,*,方法,38
125,0,設計,名詞,サ変接続,*,*,設計,36
127,0,改善,名詞,サ変接続,*,*,改善,36
128,0,理科教育,名詞,固有名詞,一般,*,理科教育,41
129,0,法,名詞,接尾,一般,*,法,51
131,0,理科教育,名詞,固有名詞,一般,*,理科教育,41
132,0,法,名詞,接尾,一般,*,法,51
134,0,理科教育,名詞,固有名詞,一般,*,理科教育,41
135,0,法,名詞,接尾,一般,*,法,51
137,0,理科教育,名詞,固有名詞,一般,*,理科教育,41
138,0,法,名詞,接尾,一般,*,法,51
141,0,理科,名詞,一般,*,*,理科,38
144,0,教科,名詞,一般,*,*,教科,38
146,0,科目,名詞,一般,*,*,科目,38
