,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
0,0,応用,名詞,サ変接続,*,*,応用,36
1,0,的,名詞,接尾,形容動詞語幹,*,的,52
3,0,戦術,名詞,一般,*,*,戦術,38
5,0,習得,名詞,サ変接続,*,*,習得,36
8,0,ゲーム,名詞,一般,*,*,ゲーム,38
10,0,中,名詞,非自立,副詞可能,*,中,66
12,0,技術,名詞,一般,*,*,技術,38
14,0,正確,名詞,形容動詞語幹,*,*,正確,40
16,0,発揮,名詞,サ変接続,*,*,発揮,36
20,0,目的,名詞,一般,*,*,目的,38
24,0,そのため,名詞,一般,*,*,そのため,38
26,0,必要,名詞,形容動詞語幹,*,*,必要,40
28,0,タフ,名詞,形容動詞語幹,*,*,タフ,40
30,0,心身,名詞,一般,*,*,心身,38
31,0,作り,名詞,接尾,一般,*,作り,51
33,0,目標,名詞,一般,*,*,目標,38
35,0,日々,名詞,副詞可能,*,*,日々,67
37,0,運動,名詞,サ変接続,*,*,運動,36
38,0,習慣,名詞,一般,*,*,習慣,38
40,0,会得,名詞,サ変接続,*,*,会得,36
45,0,リーダー,名詞,一般,*,*,リーダー,38
47,0,必要,名詞,形容動詞語幹,*,*,必要,40
51,0,醸成,名詞,サ変接続,*,*,醸成,36
53,0,目指し,動詞,自立,*,*,目指す,31
56,0,他者,名詞,一般,*,*,他者,38
58,0,評価,名詞,サ変接続,*,*,評価,36
61,0,他者,名詞,一般,*,*,他者,38
64,0,的確,名詞,形容動詞語幹,*,*,的確,40
66,0,アドバイス,名詞,サ変接続,*,*,アドバイス,36
68,0,可能,名詞,形容動詞語幹,*,*,可能,40
70,0,なる,動詞,自立,*,*,なる,31
72,0,開講,名詞,一般,*,*,開講,38
73,0,種目,名詞,一般,*,*,種目,38
77,0,www,名詞,固有名詞,地域,一般,WWW,46
81,0,il,名詞,固有名詞,一般,*,IL,41
82,0,a.t,名詞,固有名詞,一般,*,A.T,41
83,0,itec,名詞,固有名詞,組織,*,アイ・テック,45
84,0,h.,名詞,固有名詞,人名,一般,H.,42
85,0,ac.jp,名詞,固有名詞,一般,*,ac.jp,41
87,0,掲載,名詞,サ変接続,*,*,掲載,36
93,1,履修,名詞,サ変接続,*,*,履修,36
94,1,方法,名詞,一般,*,*,方法,38
97,1,www,名詞,固有名詞,地域,一般,WWW,46
101,1,il,名詞,固有名詞,一般,*,IL,41
102,1,a.t,名詞,固有名詞,一般,*,A.T,41
103,1,itec,名詞,固有名詞,組織,*,アイ・テック,45
104,1,h.,名詞,固有名詞,人名,一般,H.,42
105,1,ac.jp,名詞,固有名詞,一般,*,ac.jp,41
107,1,掲載,名詞,サ変接続,*,*,掲載,36
112,1,実習,名詞,サ変接続,*,*,実習,36
113,1,科目,名詞,一般,*,*,科目,38
114,1,履修,名詞,サ変接続,*,*,履修,36
115,1,手続,名詞,サ変接続,*,*,手続,36
116,1,フローチャート,名詞,一般,*,*,フローチャート,38
119,1,参照,名詞,サ変接続,*,*,参照,36
125,2,心身,名詞,一般,*,*,心身,38
127,2,健康,名詞,形容動詞語幹,*,*,健康,40
129,2,体力,名詞,一般,*,*,体力,38
131,2,維持,名詞,サ変接続,*,*,維持,36
132,2,増進,名詞,サ変接続,*,*,増進,36
134,2,必要,名詞,形容動詞語幹,*,*,必要,40
136,2,実践,名詞,サ変接続,*,*,実践,36
137,2,知識,名詞,一般,*,*,知識,38
139,2,修得,名詞,サ変接続,*,*,修得,36
142,2,自ら,名詞,副詞可能,*,*,自ら,67
143,2,健康,名詞,形容動詞語幹,*,*,健康,40
144,2,管理,名詞,サ変接続,*,*,管理,36
145,2,できる,動詞,自立,*,*,できる,31
148,2,なる,動詞,自立,*,*,なる,31
150,2,基本,名詞,一般,*,*,基本,38
151,2,技術,名詞,一般,*,*,技術,38
153,2,習得,名詞,サ変接続,*,*,習得,36
156,2,ゲーム,名詞,一般,*,*,ゲーム,38
158,2,中,名詞,非自立,副詞可能,*,中,66
160,2,基本,名詞,一般,*,*,基本,38
161,2,技術,名詞,一般,*,*,技術,38
163,2,正確,名詞,形容動詞語幹,*,*,正確,40
165,2,発揮,名詞,サ変接続,*,*,発揮,36
166,2,できる,動詞,自立,*,*,できる,31
169,2,なり,動詞,自立,*,*,なる,31
172,2,スポーツ種目,名詞,固有名詞,一般,*,スポーツ種目,41
174,2,楽しむ,動詞,自立,*,*,楽しむ,31
177,2,できる,動詞,自立,*,*,できる,31
180,2,なる,動詞,自立,*,*,なる,31
183,3,種目,名詞,一般,*,*,種目,38
185,3,生涯スポーツ,名詞,固有名詞,一般,*,生涯スポーツ,41
187,3,一つ,名詞,一般,*,*,一つ,38
190,3,健康,名詞,形容動詞語幹,*,*,健康,40
192,3,維持,名詞,サ変接続,*,*,維持,36
194,3,増進,名詞,サ変接続,*,*,増進,36
196,3,活用,名詞,サ変接続,*,*,活用,36
197,3,できる,動詞,自立,*,*,できる,31
199,3,身体,名詞,一般,*,*,身体,38
200,3,知,名詞,一般,*,*,知,38
203,3,体感,名詞,一般,*,*,体感,38
205,3,理解,名詞,サ変接続,*,*,理解,36
209,3,場,名詞,一般,*,*,場,38
211,3,活性化,名詞,固有名詞,一般,*,活性化,41
213,3,貢献,名詞,サ変接続,*,*,貢献,36
217,3,目指す,動詞,自立,*,*,目指す,31
219,3,開講,名詞,一般,*,*,開講,38
220,3,種目,名詞,一般,*,*,種目,38
224,3,www,名詞,固有名詞,地域,一般,WWW,46
228,3,il,名詞,固有名詞,一般,*,IL,41
229,3,a.t,名詞,固有名詞,一般,*,A.T,41
230,3,itec,名詞,固有名詞,組織,*,アイ・テック,45
231,3,h.,名詞,固有名詞,人名,一般,H.,42
232,3,ac.jp,名詞,固有名詞,一般,*,ac.jp,41
234,3,掲載,名詞,サ変接続,*,*,掲載,36
240,4,履修,名詞,サ変接続,*,*,履修,36
241,4,方法,名詞,一般,*,*,方法,38
244,4,www,名詞,固有名詞,地域,一般,WWW,46
248,4,il,名詞,固有名詞,一般,*,IL,41
249,4,a.t,名詞,固有名詞,一般,*,A.T,41
250,4,itec,名詞,固有名詞,組織,*,アイ・テック,45
251,4,h.,名詞,固有名詞,人名,一般,H.,42
252,4,ac.jp,名詞,固有名詞,一般,*,ac.jp,41
254,4,掲載,名詞,サ変接続,*,*,掲載,36
259,4,実習,名詞,サ変接続,*,*,実習,36
260,4,科目,名詞,一般,*,*,科目,38
261,4,履修,名詞,サ変接続,*,*,履修,36
262,4,手続,名詞,サ変接続,*,*,手続,36
263,4,フローチャート,名詞,一般,*,*,フローチャート,38
266,4,参照,名詞,サ変接続,*,*,参照,36
272,5,応用,名詞,サ変接続,*,*,応用,36
273,5,的,名詞,接尾,形容動詞語幹,*,的,52
275,5,戦術,名詞,一般,*,*,戦術,38
277,5,習得,名詞,サ変接続,*,*,習得,36
280,5,ゲーム,名詞,一般,*,*,ゲーム,38
282,5,中,名詞,非自立,副詞可能,*,中,66
284,5,技術,名詞,一般,*,*,技術,38
286,5,正確,名詞,形容動詞語幹,*,*,正確,40
288,5,発揮,名詞,サ変接続,*,*,発揮,36
292,5,目的,名詞,一般,*,*,目的,38
296,5,そのため,名詞,一般,*,*,そのため,38
298,5,必要,名詞,形容動詞語幹,*,*,必要,40
300,5,タフ,名詞,形容動詞語幹,*,*,タフ,40
302,5,心身,名詞,一般,*,*,心身,38
303,5,作り,名詞,接尾,一般,*,作り,51
305,5,目標,名詞,一般,*,*,目標,38
307,5,日々,名詞,副詞可能,*,*,日々,67
309,5,運動,名詞,サ変接続,*,*,運動,36
310,5,習慣,名詞,一般,*,*,習慣,38
312,5,会得,名詞,サ変接続,*,*,会得,36
317,5,リーダー,名詞,一般,*,*,リーダー,38
319,5,必要,名詞,形容動詞語幹,*,*,必要,40
323,5,醸成,名詞,サ変接続,*,*,醸成,36
325,5,目指し,動詞,自立,*,*,目指す,31
328,5,他者,名詞,一般,*,*,他者,38
330,5,評価,名詞,サ変接続,*,*,評価,36
333,5,他者,名詞,一般,*,*,他者,38
336,5,的確,名詞,形容動詞語幹,*,*,的確,40
338,5,アドバイス,名詞,サ変接続,*,*,アドバイス,36
340,5,可能,名詞,形容動詞語幹,*,*,可能,40
342,5,なる,動詞,自立,*,*,なる,31
344,5,応用,名詞,サ変接続,*,*,応用,36
345,5,的,名詞,接尾,形容動詞語幹,*,的,52
347,5,戦術,名詞,一般,*,*,戦術,38
349,5,習得,名詞,サ変接続,*,*,習得,36
352,5,ゲーム,名詞,一般,*,*,ゲーム,38
354,5,中,名詞,非自立,副詞可能,*,中,66
356,5,技術,名詞,一般,*,*,技術,38
358,5,正確,名詞,形容動詞語幹,*,*,正確,40
360,5,発揮,名詞,サ変接続,*,*,発揮,36
364,5,目的,名詞,一般,*,*,目的,38
368,5,そのため,名詞,一般,*,*,そのため,38
370,5,必要,名詞,形容動詞語幹,*,*,必要,40
372,5,タフ,名詞,形容動詞語幹,*,*,タフ,40
374,5,心身,名詞,一般,*,*,心身,38
375,5,作り,名詞,接尾,一般,*,作り,51
377,5,目標,名詞,一般,*,*,目標,38
379,5,日々,名詞,副詞可能,*,*,日々,67
381,5,運動,名詞,サ変接続,*,*,運動,36
382,5,習慣,名詞,一般,*,*,習慣,38
384,5,会得,名詞,サ変接続,*,*,会得,36
389,5,リーダー,名詞,一般,*,*,リーダー,38
391,5,必要,名詞,形容動詞語幹,*,*,必要,40
395,5,醸成,名詞,サ変接続,*,*,醸成,36
397,5,目指し,動詞,自立,*,*,目指す,31
400,5,他者,名詞,一般,*,*,他者,38
402,5,評価,名詞,サ変接続,*,*,評価,36
405,5,他者,名詞,一般,*,*,他者,38
408,5,的確,名詞,形容動詞語幹,*,*,的確,40
410,5,アドバイス,名詞,サ変接続,*,*,アドバイス,36
412,5,可能,名詞,形容動詞語幹,*,*,可能,40
414,5,なる,動詞,自立,*,*,なる,31
416,5,開講,名詞,一般,*,*,開講,38
417,5,種目,名詞,一般,*,*,種目,38
421,5,www,名詞,固有名詞,地域,一般,WWW,46
425,5,il,名詞,固有名詞,一般,*,IL,41
426,5,a.t,名詞,固有名詞,一般,*,A.T,41
427,5,itec,名詞,固有名詞,組織,*,アイ・テック,45
428,5,h.,名詞,固有名詞,人名,一般,H.,42
429,5,ac.jp,名詞,固有名詞,一般,*,ac.jp,41
431,5,掲載,名詞,サ変接続,*,*,掲載,36
437,6,履修,名詞,サ変接続,*,*,履修,36
438,6,方法,名詞,一般,*,*,方法,38
441,6,www,名詞,固有名詞,地域,一般,WWW,46
445,6,il,名詞,固有名詞,一般,*,IL,41
446,6,a.t,名詞,固有名詞,一般,*,A.T,41
447,6,itec,名詞,固有名詞,組織,*,アイ・テック,45
448,6,h.,名詞,固有名詞,人名,一般,H.,42
449,6,ac.jp,名詞,固有名詞,一般,*,ac.jp,41
451,6,掲載,名詞,サ変接続,*,*,掲載,36
456,6,実習,名詞,サ変接続,*,*,実習,36
457,6,科目,名詞,一般,*,*,科目,38
458,6,履修,名詞,サ変接続,*,*,履修,36
459,6,手続,名詞,サ変接続,*,*,手続,36
460,6,フローチャート,名詞,一般,*,*,フローチャート,38
463,6,参照,名詞,サ変接続,*,*,参照,36
469,7,応用,名詞,サ変接続,*,*,応用,36
470,7,的,名詞,接尾,形容動詞語幹,*,的,52
472,7,戦術,名詞,一般,*,*,戦術,38
474,7,習得,名詞,サ変接続,*,*,習得,36
477,7,ゲーム,名詞,一般,*,*,ゲーム,38
479,7,中,名詞,非自立,副詞可能,*,中,66
481,7,技術,名詞,一般,*,*,技術,38
483,7,正確,名詞,形容動詞語幹,*,*,正確,40
485,7,発揮,名詞,サ変接続,*,*,発揮,36
489,7,目的,名詞,一般,*,*,目的,38
493,7,そのため,名詞,一般,*,*,そのため,38
495,7,必要,名詞,形容動詞語幹,*,*,必要,40
