,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
0,0,選択,名詞,サ変接続,*,*,選択,36
2,0,クラス,名詞,一般,*,*,クラス,38
3,0,分け,名詞,接尾,サ変接続,*,分け,50
5,0,ガイダンス,名詞,一般,*,*,ガイダンス,38
6,0,種目,名詞,一般,*,*,種目,38
7,0,選択,名詞,サ変接続,*,*,選択,36
8,0,技能,名詞,一般,*,*,技能,38
9,0,テスト,名詞,サ変接続,*,*,テスト,36
10,0,自分,名詞,一般,*,*,自分,38
12,0,目標,名詞,一般,*,*,目標,38
15,0,設定,名詞,サ変接続,*,*,設定,36
16,0,基本,名詞,一般,*,*,基本,38
17,0,ストローク,名詞,一般,*,*,ストローク,38
18,0,復習,名詞,サ変接続,*,*,復習,36
19,0,半面,名詞,一般,*,*,半面,38
20,0,シングルス,名詞,一般,*,*,シングルス,38
21,0,技術,名詞,一般,*,*,技術,38
23,0,習得,名詞,サ変接続,*,*,習得,36
25,0,復習,名詞,サ変接続,*,*,復習,36
26,0,シングルス,名詞,一般,*,*,シングルス,38
28,0,試合,名詞,サ変接続,*,*,試合,36
29,0,方法,名詞,一般,*,*,方法,38
30,0,シングルス,名詞,一般,*,*,シングルス,38
32,0,試合,名詞,サ変接続,*,*,試合,36
34,0,運営,名詞,サ変接続,*,*,運営,36
35,0,ダブルス,名詞,一般,*,*,ダブルス,38
37,0,試合,名詞,サ変接続,*,*,試合,36
38,0,方法,名詞,一般,*,*,方法,38
39,0,スポーツ科学,名詞,固有名詞,一般,*,スポーツ科学,41
40,0,的,名詞,接尾,形容動詞語幹,*,的,52
41,0,アプローチ,名詞,サ変接続,*,*,アプローチ,36
42,2,ダブルス,名詞,一般,*,*,ダブルス,38
44,2,試合,名詞,サ変接続,*,*,試合,36
46,2,運営,名詞,サ変接続,*,*,運営,36
49,3,まとめ,名詞,一般,*,*,まとめ,38
50,3,選択,名詞,サ変接続,*,*,選択,36
52,3,クラス,名詞,一般,*,*,クラス,38
53,3,分け,名詞,接尾,サ変接続,*,分け,50
55,3,ガイダンス,名詞,一般,*,*,ガイダンス,38
56,4,種目,名詞,一般,*,*,種目,38
57,4,選択,名詞,サ変接続,*,*,選択,36
58,4,基本,名詞,一般,*,*,基本,38
59,4,的,名詞,接尾,形容動詞語幹,*,的,52
61,4,スキル,名詞,一般,*,*,スキル,38
64,4,練習,名詞,サ変接続,*,*,練習,36
67,4,ボレー,名詞,一般,*,*,ボレー,38
70,5,基礎,名詞,一般,*,*,基礎,38
71,5,技術,名詞,一般,*,*,技術,38
73,5,練習,名詞,サ変接続,*,*,練習,36
74,5,基本,名詞,一般,*,*,基本,38
75,5,的,名詞,接尾,形容動詞語幹,*,的,52
77,5,スキル,名詞,一般,*,*,スキル,38
79,5,復習,名詞,サ変接続,*,*,復習,36
81,5,ストローク,名詞,一般,*,*,ストローク,38
85,5,設定,名詞,サ変接続,*,*,設定,36
87,5,応用技術,名詞,固有名詞,組織,*,応用技術,45
89,5,練習,名詞,サ変接続,*,*,練習,36
91,5,サービス,名詞,サ変接続,*,*,サービス,36
94,6,自分,名詞,一般,*,*,自分,38
96,6,目標,名詞,一般,*,*,目標,38
99,6,設定,名詞,サ変接続,*,*,設定,36
101,7,到達,名詞,サ変接続,*,*,到達,36
103,7,必要,名詞,形容動詞語幹,*,*,必要,40
105,7,技術,名詞,一般,*,*,技術,38
107,7,確認,名詞,サ変接続,*,*,確認,36
109,7,シングルス,名詞,一般,*,*,シングルス,38
110,7,ゲーム,名詞,一般,*,*,ゲーム,38
