,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
0,0,海外,名詞,一般,*,*,海外,38
1,0,派遣,名詞,サ変接続,*,*,派遣,36
3,0,実績,名詞,一般,*,*,実績,38
5,0,実績,名詞,一般,*,*,実績,38
7,0,評価,名詞,サ変接続,*,*,評価,36
9,0,科目,名詞,一般,*,*,科目,38
11,1,N/A,名詞,固有名詞,人名,一般,N/A,42
12,1,海外,名詞,一般,*,*,海外,38
13,1,派遣,名詞,サ変接続,*,*,派遣,36
15,1,実績,名詞,一般,*,*,実績,38
17,1,実績,名詞,一般,*,*,実績,38
19,1,評価,名詞,サ変接続,*,*,評価,36
21,1,科目,名詞,一般,*,*,科目,38
23,2,N/A,名詞,固有名詞,人名,一般,N/A,42
24,2,海外,名詞,一般,*,*,海外,38
25,2,派遣,名詞,サ変接続,*,*,派遣,36
27,2,実績,名詞,一般,*,*,実績,38
29,2,実績,名詞,一般,*,*,実績,38
31,2,評価,名詞,サ変接続,*,*,評価,36
33,2,科目,名詞,一般,*,*,科目,38
35,3,N/A,名詞,固有名詞,人名,一般,N/A,42
36,3,海外,名詞,一般,*,*,海外,38
37,3,派遣,名詞,サ変接続,*,*,派遣,36
39,3,実績,名詞,一般,*,*,実績,38
41,3,実績,名詞,一般,*,*,実績,38
43,3,評価,名詞,サ変接続,*,*,評価,36
45,3,科目,名詞,一般,*,*,科目,38
47,4,N/A,名詞,固有名詞,人名,一般,N/A,42
48,4,海外,名詞,一般,*,*,海外,38
49,4,派遣,名詞,サ変接続,*,*,派遣,36
51,4,実績,名詞,一般,*,*,実績,38
53,4,単位,名詞,一般,*,*,単位,38
54,4,付与,名詞,サ変接続,*,*,付与,36
56,4,行う,動詞,自立,*,*,行う,31
57,4,ため,名詞,非自立,副詞可能,*,ため,66
59,4,科目,名詞,一般,*,*,科目,38
60,4,N/A,名詞,固有名詞,人名,一般,N/A,42
