,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
0,0,社会,名詞,一般,*,*,社会,38
2,0,記録,名詞,サ変接続,*,*,記録,36
4,0,質,名詞,一般,*,*,質,38
5,0,的,名詞,接尾,形容動詞語幹,*,的,52
6,0,調査,名詞,サ変接続,*,*,調査,36
8,0,春,名詞,一般,*,*,春,38
9,0,フィールドワーク,名詞,一般,*,*,フィールドワーク,38
10,0,記録,名詞,サ変接続,*,*,記録,36
12,0,質,名詞,一般,*,*,質,38
13,0,的,名詞,接尾,形容動詞語幹,*,的,52
14,0,調査,名詞,サ変接続,*,*,調査,36
16,0,秋,名詞,固有名詞,人名,姓,秋,43
17,0,英語,名詞,一般,*,*,英語,38
19,0,語る,動詞,自立,*,*,語る,31
20,0,科学,名詞,一般,*,*,科学,38
22,0,技術,名詞,一般,*,*,技術,38
24,0,社会,名詞,一般,*,*,社会,38
25,0,融合,名詞,サ変接続,*,*,融合,36
26,0,理工学,名詞,固有名詞,一般,*,理工学,41
27,0,基礎,名詞,一般,*,*,基礎,38
