,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
0,0,グローバル,名詞,一般,*,*,グローバル,38
1,0,理工,名詞,一般,*,*,理工,38
2,0,人,名詞,接尾,一般,*,人,51
3,0,研修,名詞,サ変接続,*,*,研修,36
4,0,入門,名詞,サ変接続,*,*,入門,36
9,0,グローバル,名詞,一般,*,*,グローバル,38
10,0,理工,名詞,一般,*,*,理工,38
11,0,人,名詞,接尾,一般,*,人,51
12,0,研修,名詞,サ変接続,*,*,研修,36
13,0,入門,名詞,サ変接続,*,*,入門,36
18,0,グローバル,名詞,一般,*,*,グローバル,38
19,0,理工,名詞,一般,*,*,理工,38
20,0,人,名詞,接尾,一般,*,人,51
21,0,研修,名詞,サ変接続,*,*,研修,36
22,0,入門,名詞,サ変接続,*,*,入門,36
27,0,グローバル,名詞,一般,*,*,グローバル,38
28,0,理工,名詞,一般,*,*,理工,38
29,0,人,名詞,接尾,一般,*,人,51
30,0,研修,名詞,サ変接続,*,*,研修,36
31,0,入門,名詞,サ変接続,*,*,入門,36
36,0,グローバル,名詞,一般,*,*,グローバル,38
37,0,理工,名詞,一般,*,*,理工,38
38,0,人,名詞,接尾,一般,*,人,51
39,0,研修,名詞,サ変接続,*,*,研修,36
40,0,入門,名詞,サ変接続,*,*,入門,36
