,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
0,0,物理化学,名詞,固有名詞,一般,*,物理化学,41
1,0,第一,名詞,固有名詞,一般,*,第一,41
3,0,熱力学,名詞,固有名詞,一般,*,熱力学,41
5,0,反応速度,名詞,固有名詞,一般,*,反応速度,41
7,0,物理化学,名詞,固有名詞,一般,*,物理化学,41
8,0,第一,名詞,固有名詞,一般,*,第一,41
10,0,熱力学,名詞,固有名詞,一般,*,熱力学,41
12,0,反応速度,名詞,固有名詞,一般,*,反応速度,41
14,0,物理化学,名詞,固有名詞,一般,*,物理化学,41
15,0,第一,名詞,固有名詞,一般,*,第一,41
17,0,熱力学,名詞,固有名詞,一般,*,熱力学,41
19,0,反応速度,名詞,固有名詞,一般,*,反応速度,41
21,0,物理化学,名詞,固有名詞,一般,*,物理化学,41
22,0,第一,名詞,固有名詞,一般,*,第一,41
24,0,熱力学,名詞,固有名詞,一般,*,熱力学,41
26,0,反応速度,名詞,固有名詞,一般,*,反応速度,41
28,0,物理化学,名詞,固有名詞,一般,*,物理化学,41
29,0,第一,名詞,固有名詞,一般,*,第一,41
31,0,熱力学,名詞,固有名詞,一般,*,熱力学,41
33,0,反応速度,名詞,固有名詞,一般,*,反応速度,41
