,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
0,0,有機,名詞,一般,*,*,有機,38
1,0,分子,名詞,一般,*,*,分子,38
3,0,構造,名詞,一般,*,*,構造,38
5,0,結合,名詞,サ変接続,*,*,結合,36
6,0,構造,名詞,一般,*,*,構造,38
8,0,反応,名詞,サ変接続,*,*,反応,36
9,0,性,名詞,接尾,一般,*,性,51
11,0,酸,名詞,一般,*,*,酸,38
13,0,塩基,名詞,一般,*,*,塩基,38
14,0,極性分子,名詞,固有名詞,一般,*,極性分子,41
17,0,極性分子,名詞,固有名詞,一般,*,極性分子,41
19,0,アルカン,名詞,固有名詞,人名,一般,アルカン,42
21,0,反応,名詞,サ変接続,*,*,反応,36
22,0,シクロアルカン,名詞,固有名詞,一般,*,シクロアルカン,41
23,0,立体異性体,名詞,固有名詞,一般,*,立体異性体,41
26,0,性質,名詞,一般,*,*,性質,38
28,0,反応,名詞,サ変接続,*,*,反応,36
31,0,分子,名詞,一般,*,*,分子,38
32,0,求核置換反応,名詞,固有名詞,一般,*,求核置換反応,41
36,0,反応,名詞,サ変接続,*,*,反応,36
39,0,分子,名詞,一般,*,*,分子,38
40,0,求核置換反応,名詞,固有名詞,一般,*,求核置換反応,41
42,0,脱離反応,名詞,固有名詞,一般,*,脱離反応,41
44,0,経路,名詞,一般,*,*,経路,38
46,0,有機,名詞,一般,*,*,有機,38
47,0,分子,名詞,一般,*,*,分子,38
49,0,構造,名詞,一般,*,*,構造,38
51,0,結合,名詞,サ変接続,*,*,結合,36
52,0,構造,名詞,一般,*,*,構造,38
54,0,反応,名詞,サ変接続,*,*,反応,36
55,0,性,名詞,接尾,一般,*,性,51
57,0,酸,名詞,一般,*,*,酸,38
59,0,塩基,名詞,一般,*,*,塩基,38
60,0,極性分子,名詞,固有名詞,一般,*,極性分子,41
63,0,極性分子,名詞,固有名詞,一般,*,極性分子,41
65,0,アルカン,名詞,固有名詞,人名,一般,アルカン,42
67,0,反応,名詞,サ変接続,*,*,反応,36
68,0,シクロアルカン,名詞,固有名詞,一般,*,シクロアルカン,41
69,0,立体異性体,名詞,固有名詞,一般,*,立体異性体,41
72,0,性質,名詞,一般,*,*,性質,38
74,0,反応,名詞,サ変接続,*,*,反応,36
77,0,分子,名詞,一般,*,*,分子,38
78,0,求核置換反応,名詞,固有名詞,一般,*,求核置換反応,41
82,0,反応,名詞,サ変接続,*,*,反応,36
85,0,分子,名詞,一般,*,*,分子,38
86,0,求核置換反応,名詞,固有名詞,一般,*,求核置換反応,41
88,0,脱離反応,名詞,固有名詞,一般,*,脱離反応,41
90,0,経路,名詞,一般,*,*,経路,38
92,0,有機,名詞,一般,*,*,有機,38
93,0,分子,名詞,一般,*,*,分子,38
95,0,構造,名詞,一般,*,*,構造,38
97,0,結合,名詞,サ変接続,*,*,結合,36
98,0,構造,名詞,一般,*,*,構造,38
100,0,反応,名詞,サ変接続,*,*,反応,36
101,0,性,名詞,接尾,一般,*,性,51
103,0,酸,名詞,一般,*,*,酸,38
105,0,塩基,名詞,一般,*,*,塩基,38
106,0,極性分子,名詞,固有名詞,一般,*,極性分子,41
109,0,極性分子,名詞,固有名詞,一般,*,極性分子,41
111,0,アルカン,名詞,固有名詞,人名,一般,アルカン,42
113,0,反応,名詞,サ変接続,*,*,反応,36
114,0,シクロアルカン,名詞,固有名詞,一般,*,シクロアルカン,41
115,0,立体異性体,名詞,固有名詞,一般,*,立体異性体,41
118,0,性質,名詞,一般,*,*,性質,38
120,0,反応,名詞,サ変接続,*,*,反応,36
123,0,分子,名詞,一般,*,*,分子,38
124,0,求核置換反応,名詞,固有名詞,一般,*,求核置換反応,41
128,0,反応,名詞,サ変接続,*,*,反応,36
131,0,分子,名詞,一般,*,*,分子,38
132,0,求核置換反応,名詞,固有名詞,一般,*,求核置換反応,41
134,0,脱離反応,名詞,固有名詞,一般,*,脱離反応,41
136,0,経路,名詞,一般,*,*,経路,38
138,0,有機,名詞,一般,*,*,有機,38
139,0,分子,名詞,一般,*,*,分子,38
141,0,構造,名詞,一般,*,*,構造,38
143,0,結合,名詞,サ変接続,*,*,結合,36
144,0,構造,名詞,一般,*,*,構造,38
146,0,反応,名詞,サ変接続,*,*,反応,36
147,0,性,名詞,接尾,一般,*,性,51
149,0,酸,名詞,一般,*,*,酸,38
151,0,塩基,名詞,一般,*,*,塩基,38
152,0,極性分子,名詞,固有名詞,一般,*,極性分子,41
155,0,極性分子,名詞,固有名詞,一般,*,極性分子,41
157,0,アルカン,名詞,固有名詞,人名,一般,アルカン,42
159,0,反応,名詞,サ変接続,*,*,反応,36
160,0,シクロアルカン,名詞,固有名詞,一般,*,シクロアルカン,41
161,0,立体異性体,名詞,固有名詞,一般,*,立体異性体,41
164,0,性質,名詞,一般,*,*,性質,38
166,0,反応,名詞,サ変接続,*,*,反応,36
169,0,分子,名詞,一般,*,*,分子,38
170,0,求核置換反応,名詞,固有名詞,一般,*,求核置換反応,41
174,0,反応,名詞,サ変接続,*,*,反応,36
177,0,分子,名詞,一般,*,*,分子,38
178,0,求核置換反応,名詞,固有名詞,一般,*,求核置換反応,41
180,0,脱離反応,名詞,固有名詞,一般,*,脱離反応,41
182,0,経路,名詞,一般,*,*,経路,38
184,0,有機,名詞,一般,*,*,有機,38
185,0,分子,名詞,一般,*,*,分子,38
187,0,構造,名詞,一般,*,*,構造,38
189,0,結合,名詞,サ変接続,*,*,結合,36
190,0,構造,名詞,一般,*,*,構造,38
192,0,反応,名詞,サ変接続,*,*,反応,36
193,0,性,名詞,接尾,一般,*,性,51
195,0,酸,名詞,一般,*,*,酸,38
197,0,塩基,名詞,一般,*,*,塩基,38
198,0,極性分子,名詞,固有名詞,一般,*,極性分子,41
201,0,極性分子,名詞,固有名詞,一般,*,極性分子,41
203,0,アルカン,名詞,固有名詞,人名,一般,アルカン,42
205,0,反応,名詞,サ変接続,*,*,反応,36
206,0,シクロアルカン,名詞,固有名詞,一般,*,シクロアルカン,41
207,0,立体異性体,名詞,固有名詞,一般,*,立体異性体,41
210,0,性質,名詞,一般,*,*,性質,38
212,0,反応,名詞,サ変接続,*,*,反応,36
215,0,分子,名詞,一般,*,*,分子,38
216,0,求核置換反応,名詞,固有名詞,一般,*,求核置換反応,41
220,0,反応,名詞,サ変接続,*,*,反応,36
223,0,分子,名詞,一般,*,*,分子,38
224,0,求核置換反応,名詞,固有名詞,一般,*,求核置換反応,41
226,0,脱離反応,名詞,固有名詞,一般,*,脱離反応,41
228,0,経路,名詞,一般,*,*,経路,38
