,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
0,0,生物,名詞,一般,*,*,生物,38
1,0,化学,名詞,一般,*,*,化学,38
3,0,一分子生物学,名詞,固有名詞,一般,*,一分子生物学,41
6,0,生物,名詞,一般,*,*,生物,38
7,0,化学,名詞,一般,*,*,化学,38
10,0,生物,名詞,一般,*,*,生物,38
11,0,化学,名詞,一般,*,*,化学,38
13,0,一分子生物学,名詞,固有名詞,一般,*,一分子生物学,41
16,0,生物,名詞,一般,*,*,生物,38
17,0,化学,名詞,一般,*,*,化学,38
20,0,生物,名詞,一般,*,*,生物,38
21,0,化学,名詞,一般,*,*,化学,38
23,0,一分子生物学,名詞,固有名詞,一般,*,一分子生物学,41
26,0,生物,名詞,一般,*,*,生物,38
27,0,化学,名詞,一般,*,*,化学,38
30,0,生物,名詞,一般,*,*,生物,38
31,0,化学,名詞,一般,*,*,化学,38
33,0,一分子生物学,名詞,固有名詞,一般,*,一分子生物学,41
36,0,生物,名詞,一般,*,*,生物,38
37,0,化学,名詞,一般,*,*,化学,38
40,0,生物,名詞,一般,*,*,生物,38
41,0,化学,名詞,一般,*,*,化学,38
43,0,一分子生物学,名詞,固有名詞,一般,*,一分子生物学,41
46,0,生物,名詞,一般,*,*,生物,38
47,0,化学,名詞,一般,*,*,化学,38
50,0,生物,名詞,一般,*,*,生物,38
51,0,化学,名詞,一般,*,*,化学,38
53,0,一分子生物学,名詞,固有名詞,一般,*,一分子生物学,41
56,0,生物,名詞,一般,*,*,生物,38
57,0,化学,名詞,一般,*,*,化学,38
60,0,生物,名詞,一般,*,*,生物,38
61,0,化学,名詞,一般,*,*,化学,38
63,0,一分子生物学,名詞,固有名詞,一般,*,一分子生物学,41
66,0,生物,名詞,一般,*,*,生物,38
67,0,化学,名詞,一般,*,*,化学,38
70,0,生物,名詞,一般,*,*,生物,38
71,0,化学,名詞,一般,*,*,化学,38
73,0,一分子生物学,名詞,固有名詞,一般,*,一分子生物学,41
76,0,生物,名詞,一般,*,*,生物,38
77,0,化学,名詞,一般,*,*,化学,38
80,0,生物,名詞,一般,*,*,生物,38
81,0,化学,名詞,一般,*,*,化学,38
83,0,一分子生物学,名詞,固有名詞,一般,*,一分子生物学,41
86,0,生物,名詞,一般,*,*,生物,38
87,0,化学,名詞,一般,*,*,化学,38
