,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
0,0,アルキン,名詞,固有名詞,一般,*,アルキン,41
2,0,合成,名詞,サ変接続,*,*,合成,36
4,0,化学,名詞,一般,*,*,化学,38
5,0,的,名詞,接尾,形容動詞語幹,*,的,52
6,0,性質,名詞,一般,*,*,性質,38
7,0,合成,名詞,サ変接続,*,*,合成,36
9,0,生理活性,名詞,固有名詞,一般,*,生理活性,41
12,0,化学,名詞,一般,*,*,化学,38
13,0,的,名詞,接尾,形容動詞語幹,*,的,52
14,0,性質,名詞,一般,*,*,性質,38
16,0,反応,名詞,サ変接続,*,*,反応,36
17,0,二つ,名詞,一般,*,*,二つ,38
20,0,結合,名詞,サ変接続,*,*,結合,36
22,0,求電子付加反応,名詞,固有名詞,一般,*,求電子付加反応,41
23,0,アルキン,名詞,固有名詞,一般,*,アルキン,41
25,0,反応,名詞,サ変接続,*,*,反応,36
26,0,ヒドロホウ素化,名詞,固有名詞,一般,*,ヒドロホウ素化,41
28,0,ハロゲン,名詞,一般,*,*,ハロゲン,38
29,0,化,名詞,接尾,サ変接続,*,化,50
32,0,化学,名詞,一般,*,*,化学,38
33,0,的,名詞,接尾,形容動詞語幹,*,的,52
34,0,性質,名詞,一般,*,*,性質,38
36,0,カップリング,名詞,一般,*,*,カップリング,38
37,0,反応,名詞,サ変接続,*,*,反応,36
38,0,アリル,名詞,固有名詞,一般,*,アリル,41
39,0,系,名詞,接尾,一般,*,系,51
41,0,共役,名詞,一般,*,*,共役,38
42,0,ジエン,名詞,固有名詞,一般,*,ジエン,41
43,0,系,名詞,接尾,一般,*,系,51
44,0,安定性,名詞,固有名詞,一般,*,安定性,41
46,0,化学,名詞,一般,*,*,化学,38
47,0,的,名詞,接尾,形容動詞語幹,*,的,52
48,0,性質,名詞,一般,*,*,性質,38
50,0,反応,名詞,サ変接続,*,*,反応,36
52,0,局在,名詞,サ変接続,*,*,局在,36
53,0,化,名詞,接尾,サ変接続,*,化,50
57,0,電子,名詞,一般,*,*,電子,38
58,0,系,名詞,接尾,一般,*,系,51
62,0,拡張,名詞,サ変接続,*,*,拡張,36
64,0,電子,名詞,一般,*,*,電子,38
65,0,系,名詞,接尾,一般,*,系,51
67,0,化学,名詞,一般,*,*,化学,38
68,0,的,名詞,接尾,形容動詞語幹,*,的,52
69,0,性質,名詞,一般,*,*,性質,38
71,0,反応,名詞,サ変接続,*,*,反応,36
76,0,反応,名詞,サ変接続,*,*,反応,36
78,0,局在,名詞,サ変接続,*,*,局在,36
79,0,化,名詞,接尾,サ変接続,*,化,50
83,0,電子,名詞,一般,*,*,電子,38
84,0,系,名詞,接尾,一般,*,系,51
89,0,ベンゼン,名詞,一般,*,*,ベンゼン,38
91,0,芳香,名詞,一般,*,*,芳香,38
92,0,属性,名詞,一般,*,*,属性,38
94,0,電子,名詞,一般,*,*,電子,38
95,0,系,名詞,接尾,一般,*,系,51
97,0,安定性,名詞,固有名詞,一般,*,安定性,41
99,0,ヒュッケル則,名詞,固有名詞,一般,*,ヒュッケル則,41
100,0,芳香,名詞,一般,*,*,芳香,38
101,0,属,名詞,サ変接続,*,*,属,36
102,0,化合,名詞,サ変接続,*,*,化合,36
103,0,物,名詞,接尾,一般,*,物,51
105,0,反応,名詞,サ変接続,*,*,反応,36
106,0,芳香族求電子置換反応,名詞,固有名詞,一般,*,芳香族求電子置換反応,41
111,0,反応,名詞,サ変接続,*,*,反応,36
112,0,ベンゼン,名詞,一般,*,*,ベンゼン,38
113,0,誘導体,名詞,一般,*,*,誘導体,38
116,0,求,名詞,固有名詞,地域,一般,求,46
117,0,電子,名詞,一般,*,*,電子,38
118,0,攻撃,名詞,サ変接続,*,*,攻撃,36
122,0,置換,名詞,サ変接続,*,*,置換,36
123,0,基,名詞,一般,*,*,基,38
125,0,活性化,名詞,固有名詞,一般,*,活性化,41
127,0,不活性化,名詞,固有名詞,一般,*,不活性化,41
128,0,ベンゼン,名詞,一般,*,*,ベンゼン,38
129,0,誘導体,名詞,一般,*,*,誘導体,38
132,0,求,名詞,固有名詞,地域,一般,求,46
133,0,電子,名詞,一般,*,*,電子,38
134,0,攻撃,名詞,サ変接続,*,*,攻撃,36
138,0,置換,名詞,サ変接続,*,*,置換,36
