,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
0,0,物理化学,名詞,固有名詞,一般,*,物理化学,41
1,0,実験,名詞,サ変接続,*,*,実験,36
2,0,有機化学,名詞,固有名詞,一般,*,有機化学,41
3,0,実験,名詞,サ変接続,*,*,実験,36
4,0,生,名詞,接尾,一般,*,生,51
5,0,化学実験,名詞,固有名詞,一般,*,化学実験,41
6,0,分子生物学,名詞,一般,*,*,分子生物学,38
7,0,実験,名詞,サ変接続,*,*,実験,36
8,0,物理,名詞,一般,*,*,物理,38
9,0,化学実験,名詞,固有名詞,一般,*,化学実験,41
10,0,有機化学,名詞,固有名詞,一般,*,有機化学,41
11,0,実験,名詞,サ変接続,*,*,実験,36
12,0,生,名詞,接尾,一般,*,生,51
13,0,化学実験,名詞,固有名詞,一般,*,化学実験,41
14,0,分子生物学,名詞,一般,*,*,分子生物学,38
15,0,実験,名詞,サ変接続,*,*,実験,36
16,0,物理,名詞,一般,*,*,物理,38
17,0,化学実験,名詞,固有名詞,一般,*,化学実験,41
18,0,有機化学,名詞,固有名詞,一般,*,有機化学,41
19,0,実験,名詞,サ変接続,*,*,実験,36
20,0,生,名詞,接尾,一般,*,生,51
21,0,化学実験,名詞,固有名詞,一般,*,化学実験,41
22,0,分子生物学,名詞,一般,*,*,分子生物学,38
23,0,実験,名詞,サ変接続,*,*,実験,36
24,0,物理,名詞,一般,*,*,物理,38
25,0,化学実験,名詞,固有名詞,一般,*,化学実験,41
26,0,有機化学,名詞,固有名詞,一般,*,有機化学,41
27,0,実験,名詞,サ変接続,*,*,実験,36
28,0,生,名詞,接尾,一般,*,生,51
29,0,化学実験,名詞,固有名詞,一般,*,化学実験,41
30,0,分子生物学,名詞,一般,*,*,分子生物学,38
31,0,実験,名詞,サ変接続,*,*,実験,36
32,0,物理,名詞,一般,*,*,物理,38
33,0,化学実験,名詞,固有名詞,一般,*,化学実験,41
34,0,有機化学,名詞,固有名詞,一般,*,有機化学,41
35,0,実験,名詞,サ変接続,*,*,実験,36
36,0,生,名詞,接尾,一般,*,生,51
37,0,化学実験,名詞,固有名詞,一般,*,化学実験,41
38,0,分子生物学,名詞,一般,*,*,分子生物学,38
39,0,実験,名詞,サ変接続,*,*,実験,36
40,0,物理,名詞,一般,*,*,物理,38
41,0,化学実験,名詞,固有名詞,一般,*,化学実験,41
42,0,有機化学,名詞,固有名詞,一般,*,有機化学,41
43,0,実験,名詞,サ変接続,*,*,実験,36
44,0,生,名詞,接尾,一般,*,生,51
45,0,化学実験,名詞,固有名詞,一般,*,化学実験,41
46,0,分子生物学,名詞,一般,*,*,分子生物学,38
47,0,実験,名詞,サ変接続,*,*,実験,36
48,0,物理,名詞,一般,*,*,物理,38
49,0,化学実験,名詞,固有名詞,一般,*,化学実験,41
50,0,有機化学,名詞,固有名詞,一般,*,有機化学,41
51,0,実験,名詞,サ変接続,*,*,実験,36
52,0,生,名詞,接尾,一般,*,生,51
53,0,化学実験,名詞,固有名詞,一般,*,化学実験,41
54,0,分子生物学,名詞,一般,*,*,分子生物学,38
55,0,実験,名詞,サ変接続,*,*,実験,36
56,0,物理,名詞,一般,*,*,物理,38
57,0,化学実験,名詞,固有名詞,一般,*,化学実験,41
58,0,有機化学,名詞,固有名詞,一般,*,有機化学,41
59,0,実験,名詞,サ変接続,*,*,実験,36
60,0,生,名詞,接尾,一般,*,生,51
61,0,化学実験,名詞,固有名詞,一般,*,化学実験,41
62,0,分子生物学,名詞,一般,*,*,分子生物学,38
63,0,実験,名詞,サ変接続,*,*,実験,36
64,0,物理,名詞,一般,*,*,物理,38
65,0,化学実験,名詞,固有名詞,一般,*,化学実験,41
66,0,有機化学,名詞,固有名詞,一般,*,有機化学,41
67,0,実験,名詞,サ変接続,*,*,実験,36
68,0,生,名詞,接尾,一般,*,生,51
69,0,化学実験,名詞,固有名詞,一般,*,化学実験,41
70,0,分子生物学,名詞,一般,*,*,分子生物学,38
71,0,実験,名詞,サ変接続,*,*,実験,36
72,0,物理,名詞,一般,*,*,物理,38
73,0,化学実験,名詞,固有名詞,一般,*,化学実験,41
74,0,有機化学,名詞,固有名詞,一般,*,有機化学,41
75,0,実験,名詞,サ変接続,*,*,実験,36
76,0,生,名詞,接尾,一般,*,生,51
77,0,化学実験,名詞,固有名詞,一般,*,化学実験,41
78,0,分子生物学,名詞,一般,*,*,分子生物学,38
79,0,実験,名詞,サ変接続,*,*,実験,36
80,0,物理,名詞,一般,*,*,物理,38
81,0,化学実験,名詞,固有名詞,一般,*,化学実験,41
82,0,有機化学,名詞,固有名詞,一般,*,有機化学,41
83,0,実験,名詞,サ変接続,*,*,実験,36
84,0,生,名詞,接尾,一般,*,生,51
85,0,化学実験,名詞,固有名詞,一般,*,化学実験,41
86,0,分子生物学,名詞,一般,*,*,分子生物学,38
87,0,実験,名詞,サ変接続,*,*,実験,36
88,0,物理,名詞,一般,*,*,物理,38
89,0,化学実験,名詞,固有名詞,一般,*,化学実験,41
90,0,有機化学,名詞,固有名詞,一般,*,有機化学,41
91,0,実験,名詞,サ変接続,*,*,実験,36
92,0,生,名詞,接尾,一般,*,生,51
93,0,化学実験,名詞,固有名詞,一般,*,化学実験,41
94,0,分子生物学,名詞,一般,*,*,分子生物学,38
95,0,実験,名詞,サ変接続,*,*,実験,36
