,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
0,0,生物,名詞,一般,*,*,生物,38
1,0,化学,名詞,一般,*,*,化学,38
3,0,一生物,名詞,固有名詞,一般,*,一生物,41
4,0,化学,名詞,一般,*,*,化学,38
7,0,植物生理学,名詞,固有名詞,一般,*,植物生理学,41
8,0,生物,名詞,一般,*,*,生物,38
9,0,化学,名詞,一般,*,*,化学,38
11,0,一生物,名詞,固有名詞,一般,*,一生物,41
12,0,化学,名詞,一般,*,*,化学,38
15,0,植物生理学,名詞,固有名詞,一般,*,植物生理学,41
16,0,生物,名詞,一般,*,*,生物,38
17,0,化学,名詞,一般,*,*,化学,38
19,0,一生物,名詞,固有名詞,一般,*,一生物,41
20,0,化学,名詞,一般,*,*,化学,38
23,0,植物生理学,名詞,固有名詞,一般,*,植物生理学,41
24,0,生物,名詞,一般,*,*,生物,38
25,0,化学,名詞,一般,*,*,化学,38
27,0,一生物,名詞,固有名詞,一般,*,一生物,41
28,0,化学,名詞,一般,*,*,化学,38
