,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
0,0,クーロンの法則,名詞,固有名詞,一般,*,クーロンの法則,41
2,0,電界,名詞,一般,*,*,電界,38
4,0,電界,名詞,一般,*,*,電界,38
5,0,分布,名詞,サ変接続,*,*,分布,36
6,0,電磁気学,名詞,固有名詞,一般,*,電磁気学,41
8,0,基礎,名詞,一般,*,*,基礎,38
12,0,クーロンの法則,名詞,固有名詞,一般,*,クーロンの法則,41
14,0,電界,名詞,一般,*,*,電界,38
16,0,電界,名詞,一般,*,*,電界,38
17,0,分布,名詞,サ変接続,*,*,分布,36
19,0,理解,名詞,サ変接続,*,*,理解,36
22,0,ガウスの法則,名詞,固有名詞,一般,*,ガウスの法則,41
24,0,静,名詞,固有名詞,地域,一般,静,46
25,0,電界,名詞,一般,*,*,電界,38
27,0,電位,名詞,一般,*,*,電位,38
28,0,電荷,名詞,サ変接続,*,*,電荷,36
30,0,出る,動詞,自立,*,*,出る,31
31,0,電束,名詞,固有名詞,一般,*,電束,41
33,0,作る,動詞,自立,*,*,作る,31
34,0,静,名詞,一般,*,*,静,38
35,0,電界,名詞,一般,*,*,電界,38
37,0,電位,名詞,一般,*,*,電位,38
39,0,表す,動詞,自立,*,*,表す,31
40,0,ガウスの法則,名詞,固有名詞,一般,*,ガウスの法則,41
42,0,理解,名詞,サ変接続,*,*,理解,36
45,0,導体,名詞,一般,*,*,導体,38
47,0,ラプラス,名詞,固有名詞,組織,*,ラプラス,45
49,0,ポアソン,名詞,一般,*,*,ポアソン,38
51,0,方程式,名詞,一般,*,*,方程式,38
53,0,境界条件,名詞,固有名詞,一般,*,境界条件,41
54,0,導体,名詞,一般,*,*,導体,38
57,0,電荷,名詞,サ変接続,*,*,電荷,36
59,0,ある,動詞,自立,*,*,ある,31
60,0,場合,名詞,副詞可能,*,*,場合,67
62,0,無い,形容詞,自立,*,*,無い,10
63,0,場合,名詞,副詞可能,*,*,場合,67
65,0,静,名詞,一般,*,*,静,38
66,0,電界,名詞,一般,*,*,電界,38
68,0,与える,動詞,自立,*,*,与える,31
69,0,ラプラス,名詞,固有名詞,組織,*,ラプラス,45
71,0,ポアソン方程式,名詞,固有名詞,一般,*,ポアソン方程式,41
73,0,理解,名詞,サ変接続,*,*,理解,36
76,0,境界条件,名詞,固有名詞,一般,*,境界条件,41
78,0,入れ,動詞,自立,*,*,入れる,31
80,0,解ける,動詞,自立,*,*,解ける,31
85,0,誘電体,名詞,固有名詞,一般,*,誘電体,41
87,0,静,名詞,固有名詞,地域,一般,静,46
88,0,電界,名詞,一般,*,*,電界,38
89,0,絶縁,名詞,サ変接続,*,*,絶縁,36
90,0,性,名詞,接尾,一般,*,性,51
92,0,材料,名詞,一般,*,*,材料,38
94,0,なる,動詞,自立,*,*,なる,31
95,0,誘電体,名詞,固有名詞,一般,*,誘電体,41
97,0,物性,名詞,一般,*,*,物性,38
99,0,誘電体,名詞,固有名詞,一般,*,誘電体,41
100,0,内,名詞,接尾,一般,*,内,51
102,0,形成,名詞,サ変接続,*,*,形成,36
105,0,静,名詞,一般,*,*,静,38
106,0,電界,名詞,一般,*,*,電界,38
108,0,理解,名詞,サ変接続,*,*,理解,36
111,0,静,名詞,一般,*,*,静,38
112,0,電,名詞,接尾,一般,*,電,51
113,0,エネルギー,名詞,一般,*,*,エネルギー,38
115,0,力,名詞,一般,*,*,力,38
116,0,コンデンサー,名詞,一般,*,*,コンデンサー,38
118,0,蓄え,動詞,自立,*,*,蓄える,31
120,0,エネルギー,名詞,一般,*,*,エネルギー,38
122,0,相当,名詞,サ変接続,*,*,相当,36
124,0,静,名詞,一般,*,*,静,38
125,0,電,名詞,接尾,一般,*,電,51
126,0,エネルギー,名詞,一般,*,*,エネルギー,38
128,0,電荷,名詞,サ変接続,*,*,電荷,36
130,0,加わる,動詞,自立,*,*,加わる,31
131,0,静電気,名詞,一般,*,*,静電気,38
132,0,力,名詞,接尾,一般,*,力,51
134,0,理解,名詞,サ変接続,*,*,理解,36
137,0,静,名詞,一般,*,*,静,38
138,0,磁界,名詞,一般,*,*,磁界,38
140,0,アンペール,名詞,固有名詞,一般,*,アンペール,41
142,0,法則,名詞,一般,*,*,法則,38
146,0,法則,名詞,一般,*,*,法則,38
147,0,定常,名詞,一般,*,*,定常,38
148,0,電流,名詞,一般,*,*,電流,38
150,0,形成,名詞,サ変接続,*,*,形成,36
152,0,静磁場,名詞,固有名詞,一般,*,静磁場,41
154,0,電流,名詞,一般,*,*,電流,38
156,0,流れる,動詞,自立,*,*,流れる,31
157,0,方向,名詞,一般,*,*,方向,38
159,0,右,名詞,一般,*,*,右,38
160,0,ネジ,名詞,一般,*,*,ネジ,38
162,0,進む,動詞,自立,*,*,進む,31
163,0,方向,名詞,一般,*,*,方向,38
166,0,右,名詞,一般,*,*,右,38
167,0,ネジ,名詞,一般,*,*,ネジ,38
169,0,回る,動詞,自立,*,*,回る,31
170,0,方向,名詞,一般,*,*,方向,38
172,0,磁場,名詞,一般,*,*,磁場,38
174,0,生じる,動詞,自立,*,*,生じる,31
177,0,示す,動詞,自立,*,*,示す,31
178,0,アンペール,名詞,固有名詞,一般,*,アンペール,41
180,0,法則,名詞,一般,*,*,法則,38
182,0,電流,名詞,一般,*,*,電流,38
184,0,周り,名詞,一般,*,*,周り,38
186,0,生じる,動詞,自立,*,*,生じる,31
187,0,磁場,名詞,一般,*,*,磁場,38
189,0,与える,動詞,自立,*,*,与える,31
192,0,法則,名詞,一般,*,*,法則,38
194,0,理解,名詞,サ変接続,*,*,理解,36
197,0,時間的,名詞,固有名詞,一般,*,時間的,41
199,0,変化,名詞,サ変接続,*,*,変化,36
201,0,場,名詞,一般,*,*,場,38
203,0,電磁誘導,名詞,固有名詞,一般,*,電磁誘導,41
205,0,変位電流,名詞,固有名詞,一般,*,変位電流,41
206,0,時間的,名詞,固有名詞,一般,*,時間的,41
208,0,変化,名詞,サ変接続,*,*,変化,36
210,0,場,名詞,一般,*,*,場,38
213,0,磁束,名詞,一般,*,*,磁束,38
215,0,時間的,名詞,固有名詞,一般,*,時間的,41
217,0,変化,名詞,サ変接続,*,*,変化,36
219,0,際,名詞,非自立,副詞可能,*,際,66
221,0,導体,名詞,一般,*,*,導体,38
223,0,生じる,動詞,自立,*,*,生じる,31
224,0,電位差,名詞,一般,*,*,電位差,38
226,0,表す,動詞,自立,*,*,表す,31
227,0,電磁誘導,名詞,固有名詞,一般,*,電磁誘導,41
229,0,電束密度,名詞,固有名詞,一般,*,電束密度,41
231,0,時間的,名詞,固有名詞,一般,*,時間的,41
233,0,変化,名詞,サ変接続,*,*,変化,36
235,0,際,名詞,非自立,副詞可能,*,際,66
237,0,発生,名詞,サ変接続,*,*,発生,36
239,0,電流,名詞,一般,*,*,電流,38
241,0,表す,動詞,自立,*,*,表す,31
242,0,変位電流,名詞,固有名詞,一般,*,変位電流,41
244,0,理解,名詞,サ変接続,*,*,理解,36
247,0,電磁波,名詞,一般,*,*,電磁波,38
248,0,空間,名詞,一般,*,*,空間,38
250,0,電場,名詞,一般,*,*,電場,38
