,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
0,0,材料,名詞,一般,*,*,材料,38
1,0,科学,名詞,一般,*,*,科学,38
2,0,実験,名詞,サ変接続,*,*,実験,36
6,0,P,名詞,固有名詞,一般,*,P,41
12,0,材料,名詞,一般,*,*,材料,38
13,0,科学,名詞,一般,*,*,科学,38
14,0,実験,名詞,サ変接続,*,*,実験,36
18,0,P,名詞,固有名詞,一般,*,P,41
24,0,材料,名詞,一般,*,*,材料,38
25,0,科学,名詞,一般,*,*,科学,38
26,0,実験,名詞,サ変接続,*,*,実験,36
30,0,P,名詞,固有名詞,一般,*,P,41
36,0,材料,名詞,一般,*,*,材料,38
37,0,科学,名詞,一般,*,*,科学,38
38,0,実験,名詞,サ変接続,*,*,実験,36
42,0,P,名詞,固有名詞,一般,*,P,41
48,0,材料,名詞,一般,*,*,材料,38
49,0,科学,名詞,一般,*,*,科学,38
50,0,実験,名詞,サ変接続,*,*,実験,36
54,0,P,名詞,固有名詞,一般,*,P,41
